"id","name","image_name","text","text_1","default_text","levelup_text","attribute","invoke_chain","level_up_reduction","type","positive_state","negative_state","multiplier","point","percent","absorptance","range","turn","blow_off_distance","hp_attack_percent","hp_down_percent","type_attribute","type_attribute_multiplier","effect_point","multi_attack","max_level","skill_value"
"ASK00009","复国之焰","SIM00017","对十字范围(12格)内的敌人造成火属性的大量伤害。","对十字范围(12格)内的敌人造成火属性###点伤害。","6000","13.3333333","1","120","3","SKT00001","0","0","0","12000","0","0","3","0","0","0","0","0","0","0","1","90","15"
"ASK00103","背叛烈焰","SIM00021","对周围(8格)内的敌人造成火属性的大量伤害。","对周围(8格)内的敌人造成火属性###点伤害。","6000","13.3333333","1","120","3","SKT00003","0","0","0","12000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00265","力量祝福","SIM00029","3回合内玩家角色攻击力增加为2倍。","3回合内玩家角色攻击力增加为###%。","200",".4444444","0","120","2","SKT00012","1","0","0","0","0","0","0","3","0","0","0","0","0","200000","1","90","15"
"ASK00316","自然缠绕","SIM00016","对十字范围(8格)内的敌人造成自己攻击力10倍的森属性伤害。","对十字范围(8格)内的敌人造成自己攻击力###%的森属性伤害。","1000","2.2222222","4","90","2","SKT00001","0","0","10","0","0","0","2","0","0","0","0","0","0","0","1","90","15"
"ASK00419","天下无双","SIM00027","对全部敌人造成火属性自身攻击力10倍的伤害。","对全部敌人造成自身攻击力###%的火属性伤害。","1000","2.2222222","1","180","4","SKT00004","0","0","10","0","0","0","1","0","0","0","0","0","0","0","0","90","20"
"ASK00741","暗影伏击","SIM00017","对十字范围(12格)内的敌人造成火属性的大量伤害并回复伤害量20%的生命。","对十字范围(12格)内的敌人造成火属性###点伤害并回复伤害量20%的生命。","6000","13.3333333","1","150","5","SKT00001","0","0","0","12000","0","20000","3","0","0","0","0","0","0","0","1","90","15"
"ASK00765","雷霆漩涡","SIM00027","将水属性元素方块转换成雷属性(最多7个)。","将水属性元素方块转换成雷属性(最多7个)。","0","0","2|3","120","5","SKT00010","0","0","0","7","0","0","0","0","0","0","0","0","0","0","1","0","1350"
"ASK00776","戏命之息","SIM00027","将雷属性元素方块转换成水属性(最多7个)。","将雷属性元素方块转换成水属性(最多7个)。","0","0","3|2","120","3","SKT00010","0","0","0","7","0","0","0","0","0","0","0","0","0","0","1","0","1350"
"ASK00795","冰霜之环","SIM00027","对所有敌人造成水属性的中量伤害，高机率昏迷。","对所有敌人造成水属性###点伤害，高机率昏迷。","3500","7.7777778","2","150","5","SKT00004","0","6","0","7000","60000","0","1","2","0","0","0","0","0","0","0","90","15"
"ASK00809","强效治疗","SIM00029","恢复玩家生命的25%。","恢复玩家生命的###%。","25",".0555556","0","150","2","SKT00011","0","0","0","0","25000","0","0","0","0","0","0","0","0","0","1","90","15"
