"id","no","for_pic","set_id","guard_family","name","grow_type","limit_grow_type","rarity","attribute","sold_price","exp","limit_exp","attack_grow_type","limit_attack_grow_type","defense_grow_type","limit_defense_grow_type","max_level","max_limit","passive_skill_id","miss","default_attack","max_attack","limit_max_attack","default_defense","max_defense","limit_max_defense","evolution","coming_soon","hash"
"AMR10001","30001","AMR10001","1","1","蛮力铠甲","800","3000","3","1","0","0","0","0","0","2","2","90","3","PSK10030","1000","0","0","0","120.96","428","100","1","0",""
"AMR10002","30001","AMR10002","1","1","蛮力铠甲","800","3000","4","1","0","0","0","0","0","2","2","90","4","PSK10031","1000","0","0","0","235.62","648.45","150","1","0",""
"AMR10003","30001","AMR10003","1","1","蛮力铠甲","800","3000","5","1","0","0","0","0","0","2","2","90","5","PSK10032","1000","0","0","0","475.3","856.35","200","0","0",""
"AMR10004","30002","AMR10004","2","1","剑士装甲","800","3000","3","1","0","0","0","0","0","2","2","90","3","PSK10048","1000","0","0","0","132.3","462.24","100","1","0",""
"AMR10005","30002","AMR10005","2","1","剑士装甲","800","3000","4","1","0","0","0","0","0","2","2","90","4","PSK10049","1000","0","0","0","242.55","687.75","150","1","0",""
"AMR10006","30002","AMR10006","2","1","剑士装甲","800","3000","5","1","0","0","0","0","0","2","2","90","5","PSK10050","1000","0","0","0","518.95","916.9","200","0","0",""
"AMR10007","30003","AMR10007","3","1","恶魔长袍","800","3000","3","1","0","0","0","0","0","2","2","90","3","PSK10013","1000","0","0","0","114.66","398.04","100","1","0",""
"AMR10008","30003","AMR10008","3","1","恶魔长袍","800","3000","4","1","0","0","0","0","0","2","2","90","4","PSK10014","1000","0","0","0","214.83","589.5","150","1","0",""
"AMR10009","30003","AMR10009","3","1","恶魔长袍","800","3000","5","1","0","0","0","0","0","2","2","90","5","PSK10015","1000","0","0","0","441.35","795.8","200","0","0",""
"AMR20001","30004","AMR20001","4","1","执行者胸甲","800","3000","3","2","0","0","0","0","0","2","2","90","3","PSK10051","1000","0","0","0","137.34","453.68","100","1","0",""
"AMR20002","30004","AMR20002","4","1","执行者胸甲","800","3000","4","2","0","0","0","0","0","2","2","90","4","PSK10052","1000","0","0","0","244.86","694.3","150","1","0",""
"AMR20003","30004","AMR20003","4","1","执行者胸甲","800","3000","5","2","0","0","0","0","0","2","2","90","5","PSK10053","1000","0","0","0","518.95","916.9","200","0","0",""
"AMR20004","30005","AMR20004","5","1","迅捷外套","800","3000","3","2","0","0","0","0","0","2","2","90","3","PSK10016","1000","0","0","0","114.66","398.04","100","1","0",""
"AMR20005","30005","AMR20005","5","1","迅捷外套","800","3000","4","2","0","0","0","0","0","2","2","90","4","PSK10017","1000","0","0","0","214.83","622.25","150","1","0",""
"AMR20006","30005","AMR20006","5","1","迅捷外套","800","3000","5","2","0","0","0","0","0","2","2","90","5","PSK10018","1000","0","0","0","441.35","813.1","200","0","0",""
"AMR20007","30006","AMR20007","6","1","秩序铠甲","800","3000","3","2","0","0","0","0","0","2","2","90","3","PSK10054","1000","0","0","0","119.7","428","100","1","0",""
"AMR20008","30006","AMR20008","6","1","秩序铠甲","800","3000","4","2","0","0","0","0","0","2","2","90","4","PSK10055","1000","0","0","0","240.24","641.9","150","1","0",""
"AMR20009","30006","AMR20009","6","1","秩序铠甲","800","3000","5","2","0","0","0","0","0","2","2","90","5","PSK10056","1000","0","0","0","470.45","865","200","0","0",""
"AMR30001","30007","AMR30001","7","1","奥法师长袍","800","3000","3","3","0","0","0","0","0","2","2","90","3","PSK10022","1000","0","0","0","115.92","402.32","100","1","0",""
"AMR30002","30007","AMR30002","7","1","奥法师长袍","800","3000","4","3","0","0","0","0","0","2","2","90","4","PSK10023","1000","0","0","0","210.21","602.6","150","1","0",""
"AMR30003","30007","AMR30003","7","1","奥法师长袍","800","3000","5","3","0","0","0","0","0","2","2","90","5","PSK10024","1000","0","0","0","441.35","813.1","200","0","0",""
"AMR30004","30008","AMR30004","8","1","真言束衣","800","3000","3","3","0","0","0","0","0","2","2","90","3","PSK10085","1000","0","0","0","131.04","423.72","100","1","0",""
"AMR30005","30008","AMR30005","8","1","真言束衣","800","3000","4","3","0","0","0","0","0","2","2","90","4","PSK10086","1000","0","0","0","221.76","635.35","150","1","0",""
"AMR30006","30008","AMR30006","8","1","真言束衣","800","3000","5","3","0","0","0","0","0","2","2","90","5","PSK10087","1000","0","0","0","504.4","830.4","200","0","0",""
"AMR30007","30009","AMR30007","9","1","雷霆战裙","800","3000","3","3","0","0","0","0","0","2","2","90","3","PSK10019","1000","0","0","0","133.56","466.52","100","1","0",""
"AMR30008","30009","AMR30008","9","1","雷霆战裙","800","3000","4","3","0","0","0","0","0","2","2","90","4","PSK10020","1000","0","0","0","254.1","700.85","150","1","0",""
"AMR30009","30009","AMR30009","9","1","雷霆战裙","800","3000","5","3","0","0","0","0","0","2","2","90","5","PSK10021","1000","0","0","0","528.65","908.25","200","0","0",""
"AMR40001","30010","AMR40001","10","1","巨人胸甲","800","3000","3","4","0","0","0","0","0","2","2","90","3","PSK10007","1000","0","0","0","136.08","457.96","100","1","0",""
"AMR40002","30010","AMR40002","10","1","巨人胸甲","800","3000","4","4","0","0","0","0","0","2","2","90","4","PSK10008","1000","0","0","0","244.86","700.85","150","1","0",""
"AMR40003","30010","AMR40003","10","1","巨人胸甲","800","3000","5","4","0","0","0","0","0","2","2","90","5","PSK10009","1000","0","0","0","518.95","916.9","200","0","0",""
"AMR40004","30011","AMR40004","11","1","野兽外套","800","3000","3","4","0","0","0","0","0","2","2","90","3","PSK10010","1000","0","0","0","114.66","389.48","100","1","0",""
"AMR40005","30011","AMR40005","11","1","野兽外套","800","3000","4","4","0","0","0","0","0","2","2","90","4","PSK10011","1000","0","0","0","214.83","589.5","150","1","0",""
"AMR40006","30011","AMR40006","11","1","野兽外套","800","3000","5","4","0","0","0","0","0","2","2","90","5","PSK10012","1000","0","0","0","451.05","795.8","200","0","0",""
"AMR40007","30012","AMR40007","12","1","平衡胸甲","800","3000","3","4","0","0","0","0","0","2","2","90","3","PSK10025","1000","0","0","0","128.52","410.88","100","1","0",""
"AMR40008","30012","AMR40008","12","1","平衡胸甲","800","3000","4","4","0","0","0","0","0","2","2","90","4","PSK10026","1000","0","0","0","231","681.2","150","1","0",""
"AMR40009","30012","AMR40009","12","1","平衡胸甲","800","3000","5","4","0","0","0","0","0","2","2","90","5","PSK10027","1000","0","0","0","470.45","873.65","200","0","0",""
