"id","name","sort_id","type","rarity","monster","transition_able","transition","req_fragment_number","req_gold","grade0","grade1","grade2","grade3","grade4","grade5","grade6","grade7","grade8","grade9","description","price"
"10001","火卡碎片","1","1","3|4|5","MON10054|MON10055|MON10056","1","ELD00005","30|50|80","5000|25000|100000","EQP00008|EQP00007|EQP00006|EQP00005|EQP00004|EQP00001","EQP00017|EQP00013|EQP00012|EQP00011|EQP00010|EQP00008","EQP00032|EQP00024|EQP00022|EQP00016|EQP00015|EQP00008","EQP00046|EQP00044|EQP00039|EQP00036|EQP00032|EQP00024","EQP00064|EQP00055|EQP00051|EQP00047|EQP00039|EQP00032","EQP00078|EQP00074|EQP00068|EQP00060|EQP00056|EQP00051","EQP00085|EQP00080|EQP00079|EQP00076|EQP00072|EQP00051","EQP00094|EQP00093|EQP00092|EQP00090|EQP00086|EQP00072","EQP00101|EQP00099|EQP00096|EQP00094|EQP00093|EQP00092","EQP00115|EQP00105|EQP00103|EQP00100|EQP00093|EQP00092","对于你们来说，我居然不如一只凤凰重要！","10000"
"10002","光明王子碎片","2","1","3|4|5","MON20054|MON20055|MON20056","1","ELD00010|ELD00037","30|50|80","5000|25000|100000","EQP00012|EQP00010|EQP00006|EQP00005|EQP00004|EQP00001","EQP00018|EQP00017|EQP00016|EQP00015|EQP00014|EQP00012","EQP00031|EQP00028|EQP00027|EQP00024|EQP00022|EQP00018","EQP00040|EQP00039|EQP00038|EQP00034|EQP00031|EQP00024","EQP00060|EQP00059|EQP00056|EQP00055|EQP00049|EQP00044","EQP00077|EQP00073|EQP00068|EQP00062|EQP00049|EQP00044","EQP00085|EQP00080|EQP00079|EQP00077|EQP00068|EQP00049","EQP00097|EQP00094|EQP00093|EQP00088|EQP00085|EQP00068","EQP00100|EQP00099|EQP00097|EQP00092|EQP00088|EQP00061","EQP00110|EQP00108|EQP00103|EQP00101|EQP00093|EQP00092","只有信仰圣光的人才知道，在漆黑的夜晚它是多么的重要。","10000"
"10003","团长碎片","3","1","3|4|5","MON30054|MON30055|MON30056","1","ELD00015|ELD00068","30|50|80","5000|25000|100000","EQP00009|EQP00008|EQP00007|EQP00004|EQP00002|EQP00001","EQP00021|EQP00019|EQP00013|EQP00011|EQP00010|EQP00009","EQP00031|EQP00030|EQP00029|EQP00026|EQP00025|EQP00021","EQP00045|EQP00043|EQP00034|EQP00031|EQP00025|EQP00021","EQP00058|EQP00054|EQP00053|EQP00052|EQP00048|EQP00045","EQP00073|EQP00071|EQP00066|EQP00054|EQP00052|EQP00044","EQP00082|EQP00081|EQP00073|EQP00071|EQP00052|EQP00044","EQP00084|EQP00083|EQP00082|EQP00081|EQP00078|EQP00003","EQP00101|EQP00098|EQP00096|EQP00089|EQP00083|EQP00071","EQP00114|EQP00107|EQP00101|EQP00098|EQP00096|EQP00093","正义将得到伸张，邪恶将得到我的耳光。","10000"
"10004","巫医碎片","4","1","3|4|5","MON40054|MON40055|MON40056","1","ELD00020|ELD00073","30|50|80","5000|25000|100000","EQP00011|EQP00006|EQP00005|EQP00004|EQP00002|EQP00001","EQP00016|EQP00015|EQP00014|EQP00013|EQP00010|EQP00004","EQP00032|EQP00029|EQP00028|EQP00026|EQP00024|EQP00021","EQP00040|EQP00036|EQP00035|EQP00032|EQP00028|EQP00024","EQP00061|EQP00055|EQP00051|EQP00048|EQP00035|EQP00032","EQP00075|EQP00074|EQP00071|EQP00070|EQP00059|EQP00028","EQP00085|EQP00077|EQP00075|EQP00069|EQP00070|EQP00051","EQP00085|EQP00083|EQP00082|EQP00076|EQP00069|EQP00070","EQP00101|EQP00099|EQP00097|EQP00096|EQP00088|EQP00069","EQP00107|EQP00106|EQP00101|EQP00099|EQP00088|EQP00086","那个兽人术士居然捡了我的断牙做收藏，这是多奇怪的癖好。","10000"
"10005","地狱吼碎片","5","1","3|4|5","MON10057|MON10058|MON10059","1","ELD00033|ELD00057","30|50|80","5000|25000|100000","EQP00011|EQP00010|EQP00007|EQP00006|EQP00002|EQP00001","EQP00014|EQP00013|EQP00012|EQP00011|EQP00010|EQP00009","EQP00032|EQP00030|EQP00029|EQP00027|EQP00026|EQP00025","EQP00044|EQP00040|EQP00038|EQP00034|EQP00032|EQP00025","EQP00063|EQP00058|EQP00053|EQP00051|EQP00047|EQP00045","EQP00074|EQP00063|EQP00068|EQP00064|EQP00053|EQP00051","EQP00082|EQP00081|EQP00078|EQP00074|EQP00071|EQP00051","EQP00090|EQP00086|EQP00083|EQP00082|EQP00081|EQP00078","EQP00096|EQP00090|EQP00084|EQP00074|EQP00071|EQP00063","EQP00114|EQP00106|EQP00097|EQP00095|EQP00090|EQP00084","你们不会明白！他的最终形态能有多话痨！","10000"
"10006","女王碎片","6","1","3|4|5","MON20057|MON20058|MON20059","1","ELD00063","30|50|80","5000|25000|100000","EQP00008|EQP00007|EQP00006|EQP00004|EQP00002|EQP00001","EQP00016|EQP00015|EQP00014|EQP00013|EQP00010|EQP00006","EQP00033|EQP00027|EQP00023|EQP00022|EQP00020|EQP00016","EQP00047|EQP00045|EQP00038|EQP00023|EQP00020|EQP00033","EQP00062|EQP00059|EQP00056|EQP00050|EQP00044|EQP00038","EQP00003|EQP00074|EQP00072|EQP00065|EQP00053|EQP00050","EQP00080|EQP00074|EQP00072|EQP00065|EQP00060|EQP00050","EQP00087|EQP00086|EQP00084|EQP00082|EQP00078|EQP00072","EQP00097|EQP00096|EQP00092|EQP00087|EQP00086|EQP00080","EQP00111|EQP00103|EQP00097|EQP00087|EQP00086|EQP00082","不，我可不会为你唱歌。我是无情的亡灵统治者，不是音乐盒！","10000"
"10007","世界萨碎片","7","1","3|4|5","MON30057|MON30058|MON30059","1","ELD00043|ELD00067","30|50|80","5000|25000|100000","EQP00008|EQP00007|EQP00006|EQP00005|EQP00002|EQP00001","EQP00017|EQP00016|EQP00014|EQP00006|EQP00004|EQP00001","EQP00031|EQP00030|EQP00029|EQP00026|EQP00024|EQP00014","EQP00054|EQP00041|EQP00035|EQP00034|EQP00031|EQP00024","EQP00052|EQP00048|EQP00047|EQP00041|EQP00040|EQP00035","EQP00003|EQP00073|EQP00068|EQP00064|EQP00052|EQP00048","EQP00082|EQP00081|EQP00068|EQP00065|EQP00056|EQP00052","EQP00094|EQP00089|EQP00085|EQP00083|EQP00081|EQP00068","EQP00095|EQP00094|EQP00092|EQP00089|EQP00081|EQP00069","EQP00109|EQP00108|EQP00097|EQP00094|EQP00089|EQP00079","谁敢找你麻烦你就来找酋长，然后他就麻烦了。","10000"
"10008","白虎碎片","8","1","3|4|5","MON40057|MON40058|MON40059","1","ELD00047","30|50|80","5000|25000|100000","EQP00013|EQP00010|EQP00008|EQP00006|EQP00004|EQP00001","EQP00015|EQP00014|EQP00013|EQP00011|EQP00010|EQP00008","EQP00033|EQP00029|EQP00026|EQP00023|EQP00020|EQP00016","EQP00047|EQP00042|EQP00041|EQP00037|EQP00023|EQP00020","EQP00060|EQP00059|EQP00056|EQP00055|EQP00049|EQP00044","EQP00076|EQP00070|EQP00067|EQP00066|EQP00058|EQP00049","EQP00086|EQP00077|EQP00075|EQP00070|EQP00067|EQP00049","EQP00093|EQP00091|EQP00086|EQP00076|EQP00075|EQP00070","EQP00101|EQP00099|EQP00096|EQP00093|EQP00091|EQP00077","EQP00111|EQP00103|EQP00101|EQP00099|EQP00091|EQP00086","我和他有个约定，那就是他绝对不能变形，我受不了。","10000"
"10009","蛋总碎片","9","1","3|4|5","MON10060|MON10061|MON10062","1","ELD00008|ELD00078","30|50|80","5000|25000|100000","EQP00009|EQP00008|EQP00007|EQP00004|EQP00002|EQP00002","EQP00022|EQP00015|EQP00011|EQP00009|EQP00008|EQP00004","EQP00032|EQP00030|EQP00027|EQP00023|EQP00022|EQP00019","EQP00047|EQP00046|EQP00045|EQP00043|EQP00042|EQP00023","EQP00061|EQP00058|EQP00057|EQP00056|EQP00051|EQP00042","EQP00074|EQP00003|EQP00070|EQP00064|EQP00058|EQP00051","EQP00083|EQP00081|EQP00080|EQP00070|EQP00057|EQP00051","EQP00090|EQP00086|EQP00074|EQP00070|EQP00066|EQP00058","EQP00093|EQP00092|EQP00090|EQP00083|EQP00082|EQP00074","EQP00112|EQP00112|EQP00101|EQP00096|EQP00090|EQP00086","好极了，我准备好了，现在你只需告诉我靶子在哪?","10000"
"10010","堕落王子碎片","10","1","3|4|5","MON20060|MON20061|MON20062","1","ELD00013|ELD00062","30|50|80","5000|25000|100000","EQP00008|EQP00007|EQP00006|EQP00004|EQP00002|EQP00001","EQP00025|EQP00019|EQP00014|EQP00013|EQP00006|EQP00002","EQP00032|EQP00030|EQP00029|EQP00027|EQP00026|EQP00025","EQP00047|EQP00046|EQP00043|EQP00038|EQP00017|EQP00025","EQP00059|EQP00058|EQP00057|EQP00050|EQP00040|EQP00030","EQP00074|EQP00071|EQP00066|EQP00057|EQP00053|EQP00050","EQP00080|EQP00079|EQP00073|EQP00071|EQP00061|EQP00050","EQP00087|EQP00083|EQP00080|EQP00077|EQP00058|EQP00057","EQP00095|EQP00092|EQP00087|EQP00084|EQP00003|EQP00071","EQP00114|EQP00102|EQP00096|EQP00092|EQP00087|EQP00078","很多人觉得我坐在冰封王座上一动不动的样子很酷，但实际上是因为我的屁股被冻住了。","10000"
