"id","area_id","name","sub_name","sub_disp_name","attribute","lost_block_attribute","integrate_release_condition","next_dungeon_id1","next_dungeon_id2","next_dungeon_id3","next_dungeon_id4","stamina","floor_count","reward_stone_type","reward_stone_free","boss_bgm","guerilla_boss_bgm","daily_limit","sync_id","max_skip_ticket","skip_drop_rate","boss_icon1","boss_icon2","daily_limit","material_drop1","material_drop2","material_drop3","material_drop4","quest1","quest2","quest3"
"ELD00019","ELA00005","1-1 新的起点","","2015/2/1","4","3","","ELD00020","","","","9","3","","","","","","SYD0019","1","33333","MON40002","","3","MTR00001","MTR10175","MTR10176","MTR10266","DSR05001","DSR07001","DSR14004"
"ELD00020","ELA00005","1-2 寸步难行","","2015/2/2","4","3","","ELD00021","","","","9","3","","","","","","SYD0020","1","33333","MON40054","","3","MOP10004","MTR10036","MTR10118","MTR10041","DSR05001","DSR07001","DSR14004"
"ELD00021","ELA00005","1-3 血战撼地者","","2015/2/3","4","3","","ELD00022","","","","9","3","","","","","","SYD0021","1","33333","MON40015","","3","MTR00001","MTR10177","MTR10023","MTR10123","DSR05001","DSR07001","DSR14004"
"ELD00022","ELA00005","1-4 骷髅的箭法","","2015/2/4","4","0","","ELD00023","","","","9","3","","","","","","SYD0022","1","33333","MON40010","","3","MTR00010","MTR10031","MTR10178","MTR10179","DSR05001","DSR07001","DSR14004"
"ELD00023","ELA00005","1-5 苏醒的古树","","2015/2/5","4","0","","ELD00014","","","","9","3","","","","","","SYD0023","2","25000","MON40073","","3","MTR00001","MTR10264","MTR10038","MTR10180","DSR05001","DSR07001","DSR14004"
"ELD00014","ELA00004","2-1 越过山丘","","2015/3/1","3","2","","ELD00015","","","","9","3","","","","","","SYD0014","1","33333","MON30002","","3","MTR00004","MTR10139","MTR10181","MTR10026","DSR06001","DSR07013","DSR15001"
"ELD00015","ELA00004","2-2 白银之手","","2015/3/2","3","2","","ELD00016","","","","9","3","","","","","","SYD0015","1","33333","MON30054","","3","MOP10003","MTR10042","MTR10154","MTR10182","DSR06001","DSR07013","DSR15001"
"ELD00016","ELA00004","2-3 唤雷者登场","","2015/3/3","3","2","","ELD00017","","","","9","3","","","","","","SYD0016","1","33333","MON30015","","3","MTR00004","MTR10183","MTR10127","MTR10022","DSR06001","DSR07013","DSR15001"
"ELD00017","ELA00004","2-4 大法师的魔法","","2015/3/4","3","0","","ELD00018","","","","9","3","","","","","","SYD0017","1","33333","MON30067","","3","MOP10011","MTR10148","MTR10157","MTR10184","DSR06002","DSR07013","DSR15001"
"ELD00018","ELA00004","2-5 古神的宠物","","2015/3/5","3","0","","ELD00009","","","","9","3","","","","","","SYD0018","2","25000","MON30038","","3","MTR00004","MTR10260","MTR10066","MTR10124","DSR06002","DSR07013","DSR15001"
"ELD00009","ELA00003","3-1 下水道探险","","2015/4/1","2","1","","ELD00010","","","","9","3","","","","","","SYD0009","1","33333","MON20002","","3","MTR00002","MTR10043","MTR10185","MTR10136","DSR12001","DSR09001","DSR13003"
