"id","no","for_pic","set_id","guard_family","name","grow_type","limit_grow_type","rarity","attribute","sold_price","exp","limit_exp","attack_grow_type","limit_attack_grow_type","defense_grow_type","limit_defense_grow_type","max_level","max_limit","passive_skill_id","miss","default_attack","max_attack","limit_max_attack","default_defense","max_defense","limit_max_defense","evolution","coming_soon","hash"
"HEL10001","20001","HEL10001","1","1","蛮力面甲","800","3000","3","1","0","0","0","0","0","2","2","90","3","PSK00030","1000","0","0","0","102","348.84","260","1","0",""
"HEL10002","20001","HEL10002","1","1","蛮力面甲","800","3000","4","1","0","0","0","0","0","2","2","90","4","PSK00031","1000","0","0","0","207.9","557.37","360","1","0",""
"HEL10003","20001","HEL10003","1","1","蛮力面甲","800","3000","5","1","0","0","0","0","0","2","2","90","5","PSK00032","1000","0","0","0","312","755.52","480","0","0",""
"HEL10004","20002","HEL10004","2","1","剑士头盔","800","3000","3","1","0","0","0","0","0","2","2","90","3","PSK00057","1000","0","0","0","109","369.36","260","1","0",""
"HEL10005","20002","HEL10005","2","1","剑士头盔","800","3000","4","1","0","0","0","0","0","2","2","90","4","PSK00058","1000","0","0","0","215.82","602.41","360","1","0",""
"HEL10006","20002","HEL10006","2","1","剑士头盔","800","3000","5","1","0","0","0","0","0","2","2","90","5","PSK00059","1000","0","0","0","354.25","842.09","480","0","0",""
"HEL10007","20003","HEL10007","3","1","恶魔角饰","800","3000","3","1","0","0","0","0","0","2","2","90","3","PSK00033","1000","0","0","0","91","307.8","260","1","0",""
"HEL10008","20003","HEL10008","3","1","恶魔角饰","800","3000","4","1","0","0","0","0","0","2","2","90","4","PSK00034","1000","0","0","0","186.12","523.59","360","1","0",""
"HEL10009","20003","HEL10009","3","1","恶魔角饰","800","3000","5","1","0","0","0","0","0","2","2","90","5","PSK00035","1000","0","0","0","308.75","739.78","480","0","0",""
"HEL20001","20004","HEL20001","4","1","执行者头巾","800","3000","3","2","0","0","0","0","0","2","2","90","3","PSK00063","1000","0","0","0","109","362.52","260","1","0",""
"HEL20002","20004","HEL20002","4","1","执行者头巾","800","3000","4","2","0","0","0","0","0","2","2","90","4","PSK00064","1000","0","0","0","215.82","613.67","360","1","0",""
"HEL20003","20004","HEL20003","4","1","执行者头巾","800","3000","5","2","0","0","0","0","0","2","2","90","5","PSK00065","1000","0","0","0","351","849.96","480","0","0",""
"HEL20004","20005","HEL20004","5","1","迅捷之帽","800","3000","3","2","0","0","0","0","0","2","2","90","3","PSK00036","1000","0","0","0","93","311.22","260","1","0",""
"HEL20005","20005","HEL20005","5","1","迅捷之帽","800","3000","4","2","0","0","0","0","0","2","2","90","4","PSK00037","1000","0","0","0","180.18","506.7","360","1","0",""
"HEL20006","20005","HEL20006","5","1","迅捷之帽","800","3000","5","2","0","0","0","0","0","2","2","90","5","PSK00038","1000","0","0","0","305.5","747.65","480","0","0",""
"HEL20007","20006","HEL20007","6","1","秩序头盔","800","3000","3","2","0","0","0","0","0","2","2","90","3","PSK00045","1000","0","0","0","103","345.42","260","1","0",""
"HEL20008","20006","HEL20008","6","1","秩序头盔","800","3000","4","2","0","0","0","0","0","2","2","90","4","PSK00046","1000","0","0","0","203.94","557.37","360","1","0",""
"HEL20009","20006","HEL20009","6","1","秩序头盔","800","3000","5","2","0","0","0","0","0","2","2","90","5","PSK00047","1000","0","0","0","315.25","771.26","480","0","0",""
"HEL30001","20007","HEL30001","7","1","奥法师头冠","800","3000","3","3","0","0","0","0","0","2","2","90","3","PSK00039","1000","0","0","0","93","311.22","260","1","0",""
"HEL30002","20007","HEL30002","7","1","奥法师头冠","800","3000","4","3","0","0","0","0","0","2","2","90","4","PSK00040","1000","0","0","0","182.16","517.96","360","1","0",""
"HEL30003","20007","HEL30003","7","1","奥法师头冠","800","3000","5","3","0","0","0","0","0","2","2","90","5","PSK00041","1000","0","0","0","292.5","708.3","480","0","0",""
"HEL30004","20008","HEL30004","8","1","真言头饰","800","3000","3","3","0","0","0","0","0","2","2","90","3","PSK00048","1000","0","0","0","98","355.68","260","1","0",""
"HEL30005","20008","HEL30005","8","1","真言头饰","800","3000","4","3","0","0","0","0","0","2","2","90","4","PSK00049","1000","0","0","0","205.92","557.37","360","1","0",""
"HEL30006","20008","HEL30006","8","1","真言头饰","800","3000","5","3","0","0","0","0","0","2","2","90","5","PSK00050","1000","0","0","0","308.75","771.26","480","0","0",""
"HEL30007","20009","HEL30007","9","1","雷霆面甲","800","3000","3","3","0","0","0","0","0","2","2","90","3","PSK00060","1000","0","0","0","109","372.78","260","1","0",""
"HEL30008","20009","HEL30008","9","1","雷霆面甲","800","3000","4","3","0","0","0","0","0","2","2","90","4","PSK00061","1000","0","0","0","215.82","596.78","360","1","0",""
"HEL30009","20009","HEL30009","9","1","雷霆面甲","800","3000","5","3","0","0","0","0","0","2","2","90","5","PSK00062","1000","0","0","0","347.75","834.22","480","0","0",""
"HEL40001","20010","HEL40001","10","1","巨人头盔","800","3000","3","4","0","0","0","0","0","2","2","90","3","PSK00066","1000","0","0","0","107","365.94","260","1","0",""
"HEL40002","20010","HEL40002","10","1","巨人头盔","800","3000","4","4","0","0","0","0","0","2","2","90","4","PSK00067","1000","0","0","0","209.88","596.78","360","1","0",""
"HEL40003","20010","HEL40003","10","1","巨人头盔","800","3000","5","4","0","0","0","0","0","2","2","90","5","PSK00068","1000","0","0","0","354.25","842.09","480","0","0",""
"HEL40004","20011","HEL40004","11","1","野兽罩帽","800","3000","3","4","0","0","0","0","0","2","2","90","3","PSK00042","1000","0","0","0","95","311.22","260","1","0",""
"HEL40005","20011","HEL40005","11","1","野兽罩帽","800","3000","4","4","0","0","0","0","0","2","2","90","4","PSK00043","1000","0","0","0","184.14","534.85","360","1","0",""
"HEL40006","20011","HEL40006","11","1","野兽罩帽","800","3000","5","4","0","0","0","0","0","2","2","90","5","PSK00044","1000","0","0","0","305.5","708.3","480","0","0",""
"HEL40007","20012","HEL40007","12","1","平衡头盔","800","3000","3","4","0","0","0","0","0","2","2","90","3","PSK00085","1000","0","0","0","105","342","260","1","0",""
"HEL40008","20012","HEL40008","12","1","平衡头盔","800","3000","4","4","0","0","0","0","0","2","2","90","4","PSK00086","1000","0","0","0","205.92","585.52","360","1","0",""
"HEL40009","20012","HEL40009","12","1","平衡头盔","800","3000","5","4","0","0","0","0","0","2","2","90","5","PSK00087","1000","0","0","0","331.5","763.39","480","0","0",""
