"material_no","type","sort_id","name","rarity","transition1","transition2","transition3","transition4","transition5","transition6","compose_equipment1","compose_equipment2","compose_equipment3","compose_equipment4","compose_equipment5","compose_equipment6","description","price"
"STS00001","2","1","强化石","2","","","","","","","","","","","","","能够给予装备1000点经验。","100"
"STS00002","2","2","高级强化石","3","","","","","","","","","","","","","能够给予装备10000点经验。","850"
"STS00003","2","3","超级强化石","4","","","","","","","","","","","","","能够给予装备50000点经验。","6500"
"PUM10001","3","1","小型燃烧南瓜","2","","","","","","","","","","","","","旅者从派对里拿走的纪念品，给予火系英雄1000点经验。","100"
"PUM10002","3","2","大型燃烧南瓜","3","","","","","","","","","","","","","燃烧自己，点亮他人，给予火系英雄10000点经验。","850"
"PUM10003","3","3","巨型燃烧南瓜","4","","","","","","","","","","","","","一个热烈的长者，给予火系英雄50000点经验。","6500"
"PUM20001","3","4","小型冰冷南瓜","2","","","","","","","","","","","","","旅者从派对里拿走的纪念品，给予水系英雄1000点经验。","100"
"PUM20002","3","5","大型冰冷南瓜","3","","","","","","","","","","","","","冷峻的表情下也有颗炽热的心，给予水系英雄10000点经验。","1050"
"PUM20003","3","6","巨型冰冷南瓜","4","","","","","","","","","","","","","一个冷静的长者，给予水系英雄50000点经验。","6500"
"PUM30001","3","7","小型雷鸣南瓜","2","","","","","","","","","","","","","旅者从派对里拿走的纪念品，给予雷系英雄1000点经验。","100"
"PUM30002","3","8","大型雷鸣南瓜","3","","","","","","","","","","","","","现在向你吹来的是智慧的风，给予雷系英雄10000点经验。","850"
"PUM30003","3","9","巨型雷鸣南瓜","4","","","","","","","","","","","","","一个睿智的长者，给予雷系英雄50000点经验。","6500"
"PUM40001","3","10","小型石化南瓜","2","","","","","","","","","","","","","旅者从派对里拿走的纪念品，给予森系英雄1000点经验。","100"
"PUM40002","3","11","大型石化南瓜","3","","","","","","","","","","","","","徐如林，不动如山，给予森系英雄10000点经验。","1050"
"PUM40003","3","12","巨型石化南瓜","4","","","","","","","","","","","","","一个长寿的长者，给予森系英雄50000点经验。","6500"
"MTR00001","0","13","永恒生命","2","NMD00019","NMD00021","NMD00023","ELD00019","ELD00021","ELD00023","","","","","","","打造森系装备的必需品。","500"
"MTR00002","0","14","永恒之水","2","NMD00009","NMD00011","NMD00012","ELD00009","ELD00011","ELD00012","","","","","","","打造水系装备的必需品。","500"
"MTR00003","0","15","永恒之火","2","NMD00004","NMD00006","NMD00007","ELD00004","ELD00006","ELD00007","","","","","","","打造火系装备的必需品。","500"
"MTR00004","0","16","永恒空气","2","NMD00014","NMD00016","NMD00018","ELD00014","ELD00016","ELD00018","","","","","","","打造雷系装备的必需品。","500"
"MTR00005","0","17","战败头盔","1","NMD00015","NMD00024","NMD00037","ELD00015","ELD00024","ELD00037","","","","","","","过去勇者的头盔残件，被现在的工匠拿来作为设计参考。","3500"
"MTR00006","0","18","战败胸甲","1","NMD00005","NMD00026","NMD00043","ELD00005","ELD00026","ELD00043","","","","","","","过去勇者的铠甲残件，被现在的工匠拿来作为设计参考。","3500"
"MTR00007","0","19","战败魔杖","1","NMD00010","NMD00038","NMD00076","ELD00010","ELD00038","ELD00076","","","","","","","过去勇者的法杖残件，被现在的工匠拿来作为设计参考。","6000"
"MTR00008","0","20","战败匕首","1","NMD00008","NMD00032","NMD00075","ELD00008","ELD00032","ELD00075","","","","","","","过去勇者的匕首残件，被现在的工匠拿来作为设计参考。","6000"
"MTR00009","0","21","战败巨斧","1","NMD00025","NMD00033","NMD00057","ELD00025","ELD00033","ELD00057","","","","","","","过去勇者的斧头残件，被现在的工匠拿来作为设计参考。","6000"
"MTR00010","0","22","战败强弓","1","NMD00022","NMD00047","NMD00073","ELD00022","ELD00047","ELD00073","","","","","","","过去勇者的弓箭残件，被现在的工匠拿来作为设计参考。","6000"
"MTR00011","0","23","战败长剑","1","NMD00013","NMD00049","NMD00063","ELD00013","ELD00049","ELD00063","","","","","","","过去勇者的长剑残件，被现在的工匠拿来作为设计参考。","6000"
"MTR00012","0","24","顽强勋章","2","NMD00017","NMD00020","NMD00027","ELD00017","ELD00020","ELD00027","","","","","","","经历过英勇战斗的勋章，用来打造三星装备。","15000"
"MTR00013","0","25","好战勋章","3","NMD00028","NMD00051","NMD00053","ELD00028","ELD00051","ELD00053","","","","","","","经历过生死抉择的证明，用来打造四星装备。","18800"
"MTR00014","0","26","残酷勋章","4","NMD00078","ELD00078","","","","","","","","","","","在战场上决定其他人命运的印记，用来打造五星装备。","36600"
"MTR10001","1","26","元素之核","1","NMD00021","","","","","","EQP00006","EQP00015","","","","","","1000"
"MTR10002","1","27","火元素残渣","2","NMD00048","ELD00012","","","","","EQP00052","","","","","","","800"
"MTR10003","1","28","水元素残渣","2","NMD00048","ELD00012","","","","","EQP00049","","","","","","","750"
"MTR10004","1","29","雷元素残渣","2","NMD00048","ELD00013","","","","","EQP00051","","","","","","","800"
"MTR10005","1","30","森元素残渣","2","NMD00039","ELD00013","","","","","EQP00050","","","","","","","800"
"MTR10006","1","31","元素核心","3","NMD00073","ELD00037","","","","","EQP00080","","","","","","","2150"
"MTR10007","1","32","元素火焰","3","NMD00030","ELD00044","","","","","EQP00072","","","","","","","2500"
"MTR10008","1","33","元素之水","3","NMD00030","ELD00044","","","","","EQP00071","","","","","","","1900"
"MTR10009","1","34","元素空气","3","NMD00030","ELD00045","","","","","EQP00068","","","","","","","2150"
"MTR10010","1","35","元素之土","3","NMD00031","ELD00045","","","","","EQP00070","","","","","","","2500"
"MTR10011","1","36","铁矿石","1","NMD00022","","","","","","EQP00009","EQP00013","","","","","","1000"
"MTR10012","1","37","布料","1","NMD00020","","","","","","EQP00001","EQP00011","","","","","","1000"
"MTR10013","1","38","武器碎片","1","NMD00021","","","","","","EQP00002","EQP00019","","","","","","1000"
"MTR10014","1","39","狂怒之心","2","NMD00004","","","","","","EQP00035","","","","","","","2300"
"MTR10015","1","40","蝙蝠之牙","1","NMD00023","","","","","","EQP00012","","","","","","","1000"
"MTR10016","1","41","蝙蝠之毛","1","NMD00015","","","","","","EQP00012","EQP00018","","","","","","1000"
"MTR10017","1","42","蝙蝠之翅","2","NMD00010","","","","","","EQP00027","","","","","","","1000"
"MTR10018","1","43","蝙蝠之耳","2","NMD00022","","","","","","EQP00011","","","","","","","1000"
"MTR10019","1","44","漂浮的宝珠","1","NMD00019","","","","","","EQP00004","EQP00006","","","","","","1000"
"MTR10020","1","45","火炎之喙","1","NMD00021","","","","","","EQP00002","EQP00015","","","","","","1000"
"MTR10021","1","46","冰结之羽","3","NMD00052","ELD00041","","","","","EQP00075","","","","","","","1600"
"MTR10022","1","47","雷电之囊","2","NMD00027","ELD00016","","","","","EQP00040","EQP00047","","","","","","500"
"MTR10023","1","48","阴影之爪","2","NMD00007","ELD00021","","","","","EQP00030","EQP00042","","","","","","700"
"MTR10024","1","49","强盗口罩","1","NMD00015","","","","","","EQP00016","","","","","","","1000"
"MTR10025","1","50","战斗法杖残片","3","NMD00067","ELD00031","","","","","EQP00085","","","","","","","3500"
"MTR10026","1","51","食人魔的幸运币","2","NMD00025","ELD00014","","","","","EQP00022","EQP00059","","","","","","1000"
"MTR10027","1","52","破旧食人魔法杖","2","NMD00004","","","","","","EQP00028","EQP00039","","","","","","1000"
"MTR10028","1","53","鹰身人羽毛","2","NMD00016","","","","","","EQP00020","EQP00023","","","","","","1000"
"MTR10029","1","54","锋利的鹰爪","1","NMD00014","","","","","","EQP00009","EQP00017","","","","","","1000"
"MTR10030","1","55","亡者骸骨","1","NMD00015","","","","","","EQP00014","EQP00016","","","","","","1000"
"MTR10031","1","56","淬毒之骨","2","NMD00007","ELD00022","SPD00010","","","","EQP00035","EQP00041","","","","","","1000"
"MTR10032","1","57","熔岩矿石","4","ELD00055","","","","","","EQP00104","EQP00107","","","","","","1000"
"MTR10033","1","58","傀儡的护腕","4","NMD00078","ELD00067","SPD00012","","","","EQP00095","EQP00107","","","","","","1000"
"MTR10034","1","59","动力核心","3","NMD00057","ELD00071","","","","","EQP00093","EQP00101","","","","","","6500"
"MTR10035","1","60","断骨残片","1","NMD00022","","","","","","EQP00005","EQP00017","","","","","","1000"
"MTR10036","1","61","红色龙人鳞片","2","NMD00005","ELD00020","","","","","EQP00025","EQP00045","","","","","","1000"
"MTR10037","1","62","变异之爪","1","NMD00023","","","","","","EQP00008","EQP00018","","","","","","1000"
"MTR10038","1","63","碎裂的鳞片","2","NMD00024","ELD00023","","","","","EQP00024","EQP00054","","","","","","1000"
"MTR10039","1","64","变异之尾","2","NMD00017","","","","","","EQP00020","EQP00027","","","","","","1000"
"MTR10040","1","65","亚麻布","1","NMD00019","","","","","","EQP00001","EQP00010","","","","","","1000"
"MTR10041","1","66","丝绸","2","NMD00006","ELD00020","SPD00010","","","","EQP00037","","","","","","","1000"
"MTR10042","1","67","魔纹布","2","NMD00025","ELD00015","","","","","EQP00037","EQP00046","","","","","","1000"
"MTR10043","1","68","符文布","1","NMD00044","ELD00009","","","","","EQP00044","EQP00046","","","","","","250"
"MTR10044","1","69","灵纹布","3","NMD00038","ELD00027","","","","","EQP00067","","","","","","","1100"
"MTR10046","1","70","烬丝布","3","NMD00049","ELD00048","","","","","EQP00073","","","","","","","400"
"MTR10047","1","71","风绒布","2","NMD00029","ELD00028","","","","","EQP00067","EQP00068","","","","","","4350"
"MTR10048","1","72","妖纹布","4","NMD00062","ELD00052","SPD00009","","","","EQP00093","","","","","","","1000"
"MTR10049","1","73","恶魔布","4","NMD00055","ELD00069","SPD00009","","","","EQP00095","","","","","","","1000"
"MTR10050","1","74","月布","4","NMD00056","ELD00071","SPD00012","","","","EQP00094","EQP00097","","","","","","1000"
"MTR10051","1","75","神纹布","4","NMD00054","ELD00053","","","","","EQP00087","EQP00098","","","","","","9150"
"MTR10052","1","76","银矿石","1","NMD00023","","","","","","EQP00004","EQP00019","","","","","","1000"
"MTR10053","1","77","铜矿石","1","NMD00012","SPD00007","","","","","EQP00031","EQP00032","EQP00033","EQP00091","EQP00091","EQP00091","","1000"
"MTR10054","1","78","金矿石","2","NMD00064","ELD00029","","","","","EQP00078","EQP00079","EQP00083","EQP00091","EQP00091","EQP00091","","4900"
"MTR10055","1","79","秘银矿石","2","NMD00029","ELD00044","SPD00011","","","","EQP00062","EQP00065","EQP00077","EQP00091","EQP00091","EQP00091","","1000"
"MTR10056","1","80","邪铁矿石","2","NMD00051","ELD00040","","","","","EQP00063","EQP00070","EQP00081","EQP00091","EQP00091","EQP00091","","3700"
"MTR10057","1","81","钴矿石","4","ELD00063","","","","","","EQP00102","EQP00109","","","","","","12500"
"MTR10058","1","82","恨金矿石","4","ELD00062","","","","","","EQP00100","EQP00106","","","","","","1000"
"MTR10059","1","83","幽冥铁矿石","4","ELD00063","","","","","","EQP00102","EQP00109","","","","","","13000"
"MTR10060","1","84","黑色延极矿","4","ELD00060","SPD00012","","","","","EQP00095","EQP00113","","","","","","1000"
"MTR10061","1","85","黑石矿石","4","NMD00075","ELD00065","","","","","EQP00098","EQP00100","","","","","","1000"
