"id","name","text","type","attribute","type_attribute","positive_state","negative_state","point","persent","atk_persent","active_persent","chain_persent","tolerance","skill_value"
"PSK00001","火焰防护结界I","遭受火属性敌人攻击时伤害减少7%","PST00042","1","0","0","0","0","7000","","","","0","600"
"PSK00002","火焰防护结界II","遭受火属性敌人攻击时伤害减少12%","PST00042","1","0","0","0","0","12000","","","","0","600"
"PSK00003","火焰防护结界III","遭受火属性敌人攻击时伤害减少17%","PST00042","1","0","0","0","0","17000","","","","0","600"
"PSK00004","冰霜防护结界I","遭受水属性敌人攻击时伤害减少7%","PST00042","2","0","0","0","0","7000","","","","0","600"
"PSK00005","冰霜防护结界II","遭受水属性敌人攻击时伤害减少12%","PST00042","2","0","0","0","0","12000","","","","0","600"
"PSK00006","冰霜防护结界III","遭受水属性敌人攻击时伤害减少17%","PST00042","2","0","0","0","0","17000","","","","0","600"
"PSK00007","闪电防护结界I","遭受雷属性敌人攻击时伤害减少7%","PST00042","2","0","0","0","0","7000","","","","0","600"
"PSK00008","闪电防护结界II","遭受雷属性敌人攻击时伤害减少12%","PST00042","3","0","0","0","0","12000","","","","0","600"
"PSK00009","闪电防护结界III","遭受雷属性敌人攻击时伤害减少17%","PST00042","3","0","0","0","0","17000","","","","0","600"
"PSK00010","大地防护结界I","遭受森属性敌人攻击时伤害减少7%","PST00042","4","0","0","0","0","7000","","","","0","600"
"PSK00011","大地防护结界II","遭受森属性敌人攻击时伤害减少12%","PST00042","4","0","0","0","0","12000","","","","0","600"
"PSK00012","大地防护结界III","遭受森属性敌人攻击时伤害减少17%","PST00042","4","0","0","0","0","17000","","","","0","600"
"PSK00013","赤焰之灵I","火属性英雄生命提升8%","PST00007","1","0","0","0","0","8000","","","","0","600"
"PSK00014","赤焰之灵II","火属性英雄生命提升18%","PST00007","1","0","0","0","0","18000","","","","0","600"
"PSK00015","赤焰之灵III","火属性英雄生命提升23%","PST00007","1","0","0","0","0","23000","","","","0","600"
"PSK00016","寒冰之灵I","水属性英雄生命提升8%","PST00007","2","0","0","0","0","8000","","","","0","600"
"PSK00017","寒冰之灵II","水属性英雄生命提升18%","PST00007","2","0","0","0","0","18000","","","","0","600"
"PSK00018","寒冰之灵III","水属性英雄生命提升23%","PST00007","2","0","0","0","0","23000","","","","0","600"
"PSK00019","雷电之灵I","雷属性英雄生命提升8%","PST00007","3","0","0","0","0","8000","","","","0","600"
"PSK00020","雷电之灵II","雷属性英雄生命提升18%","PST00007","3","0","0","0","0","18000","","","","0","600"
"PSK00021","雷电之灵III","雷属性英雄生命提升23%","PST00007","3","0","0","0","0","23000","","","","0","600"
"PSK00022","大地之灵I","森属性英雄生命提升8%","PST00007","4","0","0","0","0","8000","","","","0","600"
"PSK00023","大地之灵II","森属性英雄生命提升18%","PST00007","4","0","0","0","0","18000","","","","0","600"
"PSK00024","大地之灵III","森属性英雄生命提升23%","PST00007","4","0","0","0","0","23000","","","","0","600"
"PSK00025","生命祝福 I","主角生命+480","PST00006","0","0","0","0","480","0","","","","0","600"
"PSK00026","生命祝福II","主角生命+980","PST00006","0","0","0","0","980","0","","","","0","600"
"PSK00027","生命祝福III","主角生命+1480","PST00006","0","0","0","0","1480","0","","","","0","600"
"PSK00028","生命祝福IV","主角生命+1980","PST00006","0","0","0","0","1980","0","","","","0","600"
"PSK00029","圣灵之恩赐","队伍全体成员生命提升18%","PST00001","0","0","0","0","0","18000","","","","0","600"
"PSK00030","狂暴之力I","主角暴击率提升3%","PST00002","0","0","0","0","0","3000","","","","0","400"
"PSK00031","狂暴之力II","主角暴击率提升8%","PST00002","0","0","0","0","0","8000","","","","0","800"
"PSK00032","狂暴之力III","主角暴击率提升13%","PST00002","0","0","0","0","0","13000","","","","0","1200"
"PSK00033","熔岩之力I","火属性英雄攻击力提升7%","PST00003","1","0","1","0","0","7000","7000","7000","7000","0","400"
"PSK00034","熔岩之力II","火属性英雄攻击力提升12%","PST00003","1","0","1","0","0","12000","12000","12000","12000","0","800"
"PSK00035","熔岩之力III","火属性英雄攻击力提升17%","PST00003","1","0","1","0","0","17000","17000","17000","17000","0","1200"
"PSK00036","潮汐之力I","水属性英雄攻击力提升7%","PST00003","2","0","1","0","0","7000","7000","7000","7000","0","400"
"PSK00037","潮汐之力II","水属性英雄攻击力提升12%","PST00003","2","0","1","0","0","12000","12000","12000","12000","0","800"
"PSK00038","潮汐之力III","水属性英雄攻击力提升17%","PST00003","2","0","1","0","0","17000","17000","17000","17000","0","1200"
"PSK00039","时光之力I","雷属性英雄攻击力提升7%","PST00003","3","0","1","0","0","7000","7000","7000","7000","0","400"
"PSK00040","时光之力II","雷属性英雄攻击力提升12%","PST00003","3","0","1","0","0","12000","12000","12000","12000","0","800"
"PSK00041","时光之力III","雷属性英雄攻击力提升17%","PST00003","3","0","1","0","0","17000","17000","17000","17000","0","1200"
"PSK00042","生命之力I","森属性英雄攻击力提升7%","PST00003","4","0","1","0","0","7000","7000","7000","7000","0","400"
"PSK00043","生命之力II","森属性英雄攻击力提升12%","PST00003","4","0","1","0","0","12000","12000","12000","12000","0","800"
"PSK00044","生命之力III","森属性英雄攻击力提升17%","PST00003","4","0","1","0","0","17000","17000","17000","17000","0","1200"
"PSK00045","神恩术I","7连锁以上时己方全体成员攻击力提高10%","PST00011","0","0","1","0","7","10000","","","","0","400"
"PSK00046","神恩术II","7连锁以上时己方全体成员攻击力提高23%","PST00011","0","0","1","0","7","23000","","","","0","800"
"PSK00047","神恩术III","7连锁以上时己方全体成员攻击力提高30%","PST00011","0","0","1","0","7","30000","","","","0","1200"
"PSK00048","圣佑术I","满血时，己方全体成员攻击力提高25%","PST00013","0","0","1","0","0","25000","","","","0","400"
"PSK00049","圣佑术II","满血时，己方全体成员攻击力提高40%","PST00013","0","0","1","0","0","40000","","","","0","800"
"PSK00050","圣佑术III","满血时，己方全体成员攻击力提高60%","PST00013","0","0","1","0","0","60000","","","","0","1200"
"PSK00051","蛮力之击I","主角技能伤害提升13%","PST00015","0","0","1","0","0","13000","","","","0","600"
"PSK00052","蛮力之击II","主角技能伤害提升20%","PST00015","0","0","1","0","0","20000","","","","0","600"
"PSK00053","蛮力之击III","主角技能伤害提升30%","PST00015","0","0","1","0","0","30000","","","","0","600"
"PSK00054","连锁专精I","主角连锁技能伤害提升15%","PST00014","0","0","1","0","0","15000","","","","0","600"
"PSK00055","连锁专精II","主角连锁技能伤害提升30%","PST00014","0","0","1","0","0","30000","","","","0","600"
"PSK00056","连锁专精III","主角连锁技能伤害提升40%","PST00014","0","0","1","0","0","40000","","","","0","600"
"PSK00057","剑技专精I","剑系攻击力提升12%","PST00043","0","0","1","0","0","12000","","","","0","400"
"PSK00058","剑技专精II","剑系攻击力提升17%","PST00043","0","0","1","0","0","17000","","","","0","800"
"PSK00059","剑技专精III","剑系攻击力提升22%","PST00043","0","0","1","0","0","22000","","","","0","1200"
"PSK00060","斧技专精I","斧系攻击力提升12%","PST00044","0","0","1","0","0","12000","","","","0","400"
"PSK00061","斧技专精II","斧系攻击力提升17%","PST00044","0","0","1","0","0","17000","","","","0","800"
"PSK00062","斧技专精III","斧系攻击力提升22%","PST00044","0","0","1","0","0","22000","","","","0","1200"
"PSK00063","匕首技专精I","匕首系的攻击力提升12%","PST00045","0","0","1","0","0","12000","","","","0","400"
"PSK00064","匕首技专精II","匕首系的攻击力提升17%","PST00045","0","0","1","0","0","17000","","","","0","800"
"PSK00065","匕首技专精III","匕首系的攻击力提升22%","PST00045","0","0","1","0","0","22000","","","","0","1200"
"PSK00066","弓技专精I","弓系攻击力提升12%","PST00046","0","0","1","0","0","12000","","","","0","400"
"PSK00067","弓技专精II","弓系攻击力提升17%","PST00046","0","0","1","0","0","17000","","","","0","800"
"PSK00068","弓技专精III","弓系攻击力提升22%","PST00046","0","0","1","0","0","22000","","","","0","1200"
"PSK00069","法杖专精I","杖系攻击力提升12%","PST00047","0","0","1","0","0","12000","","","","0","600"
"PSK00070","法杖专精II","杖系攻击力提升17%","PST00047","0","0","1","0","0","17000","","","","0","600"
"PSK00071","法杖专精III","杖系攻击力提升22%","PST00047","0","0","1","0","0","22000","","","","0","600"
"PSK00072","无法撼动之力","无法被击飞","PST00032","0","0","0","0","0","0","","","","0","600"
"PSK00073","战争补给","通过单层副本时，生命恢复5%","PST00050","0","0","0","0","0","5000","","","","0","600"
"PSK00074","无坚不摧之力(测试)","无视兽夹的效果","PST00051","0","0","0","0","0","0","","","","0","600"
"PSK00075","炎龙之力IV","火属性英雄攻击力提升25%","PST00003","1","0","1","0","0","25000","25000","25000","25000","0","600"
"PSK00076","水龙之力IV","水属性英雄攻击力提升25%","PST00003","2","0","1","0","0","25000","25000","25000","25000","0","600"
"PSK00077","时光之力IV","雷属性英雄攻击力提升25%","PST00003","3","0","1","0","0","25000","25000","25000","25000","0","600"
"PSK00078","生命之力IV","森属性英雄攻击力提升25%","PST00003","4","0","1","0","0","25000","25000","25000","25000","0","600"
"PSK00079","神的极致I","满血时，己方全体成员攻击力提升45%","PST00013","0","0","1","0","0","45000","","","","0","600"
"PSK00080","神的极致II","满血时，己方全体成员攻击力提升70%","PST00013","0","0","1","0","0","70000","","","","0","600"
"PSK00081","雷神祝福","雷属性英雄生命提高25%","PST00007","3","0","0","0","0","25000","","","","0","600"
"PSK00082","神之祝福","队伍中全体成员的生命提升23%","PST00001","0","0","0","0","0","23000","","","","0","600"
"PSK00083","水妖祝福","水属性英雄生命提升25%","PST00007","2","0","0","0","0","25000","","","","0","600"
"PSK00084","石母祝福","森属性英雄生命提升25%","PST00007","4","0","0","0","0","25000","","","","0","600"
"PSK00085","荒野知识I","通过单层副本时，生命恢复5%","PST00050","0","0","0","0","0","5000","","","","0","400"
"PSK00086","荒野知识II","通过单层副本时，生命恢复7%","PST00050","0","0","0","0","0","7000","","","","0","800"
"PSK00087","荒野知识III","通过单层副本时，生命恢复10%","PST00050","0","0","0","0","0","10000","","","","0","1200"
"PSK00088","新年如意","关卡结算时额外获得48%的金币","PST00053","0","0","0","0","0","48000","","","","0","600"
"PSK00089","火焰抗性","不受烧伤的伤害","PST00055","0","0","0","12","0","0","","","","0","600"
"PSK00090","自然抗性","中毒的伤害减半","PST00055","0","0","0","1","0","0","","","","0","600"
