"id","no","name","platform","item_id1","item_num1","item_id2","item_num2","item_id3","item_num3","item_id4","item_num4","item_id5","item_num5","item_id6","item_num6","item_id7","item_num7","item_id8","item_num8"
"1","PST00001","1级VIP礼包","1","CON00001","10000","STS10003","3","PUM10002","3","PUM20002","3","PUM30002","3","PUM40002","3","","","",""
"2","PST00002","2级VIP礼包","1","CON00001","20000","STS10003","3","PUM10003","2","PUM20003","2","PUM30003","2","PUM40003","2","","","",""
"3","PST00003","3级VIP礼包","1","CON00001","30000","STS10003","3","PUM10003","5","PUM20003","5","PUM30003","5","PUM40003","5","","","",""
"4","PST00004","4级VIP礼包","1","CON00001","40000","STS10003","3","PUM10003","10","PUM20003","10","PUM30003","10","PUM40003","10","","","",""
"5","PST00005","5级VIP礼包","1","CON00001","50000","STS10003","5","MOP10001","20","","","","","","","","","",""
"6","PST00006","6级VIP礼包","1","CON00001","60000","STS10003","5","PUM10002","3","PUM20002","3","PUM30002","3","PUM40002","3","","","",""
"7","PST00007","7级VIP礼包","1","CON00001","70000","STS10003","5","PUM10003","2","PUM20003","2","PUM30003","2","PUM40003","2","","","",""
"8","PST00008","8级VIP礼包","1","CON00001","80000","STS10003","5","PUM10003","5","PUM20003","5","PUM30003","5","PUM40003","5","","","",""
"9","PST00009","9级VIP礼包","1","CON00001","90000","STS10003","5","PUM10003","10","PUM20003","10","PUM30003","10","PUM40003","10","","","",""
"10","PST00010","10级VIP礼包","1","CON00001","100000","STS10003","5","MOP10002","30","","","","","","","","","",""
"11","PST00011","11级VIP礼包","1","CON00001","110000","STS10003","5","PUM10002","3","PUM20002","3","PUM30002","3","PUM40002","3","","","",""
"12","PST00012","12级VIP礼包","1","CON00001","120000","STS10003","5","PUM10003","2","PUM20003","2","PUM30003","2","PUM40003","2","","","",""
"13","PST00013","13级VIP礼包","1","CON00001","130000","STS10003","5","PUM10003","5","PUM20003","5","PUM30003","5","PUM40003","5","","","",""
"14","PST00014","14级VIP礼包","1","CON00001","140000","STS10003","5","PUM10003","10","PUM20003","10","PUM30003","10","PUM40003","10","","","",""
"15","PST00015","15级VIP礼包","1","CON00001","150000","STS10003","10","MOP10003","40","","","","","","","","","",""
"22","PST00016","无克礼包1","1","CON00001","10000","STS10003","1","","","","","","","","","","","",""
"23","PST00017","无克礼包2","1","CON00001","20000","STS10003","2","","","","","","","","","","","",""
"24","PST00018","无克礼包3","1","CON00001","30000","STS10003","3","","","","","","","","","","","",""
