"level","necessary_exp","diff_exp","accumulate_exp","attack","defense","hp","max_friend_num","max_stamina_num"
"1","20","10","0","30","30","500","200","30"
"2","30","10","20","35","33","525","200","31"
"3","40","10","50","40","36","550","200","32"
"4","50","10","90","45","39","575","200","33"
"5","60","10","140","50","42","600","200","34"
"6","70","10","200","55","45","625","200","35"
"7","80","10","270","60","48","650","200","36"
"8","90","10","350","65","51","675","200","37"
"9","100","10","440","70","54","700","200","38"
"10","110","10","540","75","57","725","200","39"
"11","125","15","650","80","60","750","200","40"
"12","140","15","775","85","63","775","200","41"
"13","155","15","915","90","66","800","200","42"
"14","170","15","1070","95","69","825","200","43"
"15","185","15","1240","100","72","850","200","44"
"16","205","20","1425","105","75","875","200","45"
"17","225","20","1630","110","78","900","200","46"
"18","245","20","1855","115","81","925","200","47"
"19","265","20","2100","120","84","950","200","48"
"20","285","20","2365","125","87","975","200","49"
"21","315","30","2650","130","90","1000","200","50"
"22","345","30","2965","135","93","1025","200","51"
"23","375","30","3310","140","96","1050","200","52"
"24","405","30","3685","145","99","1075","200","53"
"25","435","30","4090","150","102","1100","200","54"
"26","475","40","4525","155","105","1125","200","55"
"27","515","40","5000","160","108","1150","200","56"
"28","555","40","5515","165","111","1175","200","57"
"29","595","40","6070","170","114","1200","200","58"
"30","635","40","6665","175","117","1225","200","59"
"31","685","50","7300","180","120","1250","200","60"
"32","735","50","7985","185","123","1275","200","61"
"33","785","50","8720","190","126","1300","200","62"
"34","835","50","9505","195","129","1325","200","63"
"35","885","50","10340","200","132","1350","200","64"
"36","945","60","11225","205","135","1375","200","65"
"37","1005","60","12170","210","138","1400","200","66"
"38","1065","60","13175","215","141","1425","200","67"
"39","1125","60","14240","220","144","1450","200","68"
"40","1185","60","15365","225","147","1475","200","69"
"41","1255","70","16550","230","150","1500","200","70"
"42","1325","70","17805","235","153","1525","200","71"
"43","1395","70","19130","240","156","1550","200","72"
"44","1465","70","20525","245","159","1575","200","73"
"45","1535","70","21990","250","162","1600","200","74"
"46","1615","80","23525","255","165","1625","200","75"
"47","1695","80","25140","260","168","1650","200","76"
"48","1775","80","26835","265","171","1675","200","77"
"49","1855","80","28610","270","174","1700","200","78"
"50","1935","80","30465","275","177","1725","200","79"
"51","2035","100","32400","280","180","1750","200","80"
"52","2135","100","34435","285","183","1775","200","81"
"53","2235","100","36570","290","186","1800","200","82"
"54","2335","100","38805","295","189","1825","200","83"
"55","2435","100","41140","300","192","1850","200","84"
"56","2555","120","43575","305","195","1875","200","85"
"57","2675","120","46130","310","198","1900","200","86"
"58","2795","120","48805","315","201","1925","200","87"
"59","2915","120","51600","320","204","1950","200","88"
"60","3035","120","54515","325","207","1975","200","89"
"61","3175","140","57550","330","210","2000","200","90"
"62","3315","140","60725","335","213","2025","200","91"
"63","3455","140","64040","340","216","2050","200","92"
"64","3595","140","67495","345","219","2075","200","93"
"65","3735","140","71090","350","222","2100","200","94"
"66","3895","160","74825","355","225","2125","200","95"
"67","4055","160","78720","360","228","2150","200","96"
"68","4215","160","82775","365","231","2175","200","97"
"69","4375","160","86990","370","234","2200","200","98"
"70","4535","160","91365","375","237","2225","200","99"
"71","4735","200","95900","380","240","2250","200","100"
"72","4935","200","100635","385","243","2275","200","101"
"73","5135","200","105570","390","246","2300","200","102"
"74","5335","200","110705","395","249","2325","200","103"
"75","5535","200","116040","400","252","2350","200","104"
"76","5775","240","121575","405","255","2375","200","105"
"77","6015","240","127350","410","258","2400","200","106"
"78","6255","240","133365","415","261","2425","200","107"
"79","6495","240","139620","420","264","2450","200","108"
"80","6735","240","146115","425","267","2475","200","109"
"81","7015","280","152850","430","270","2500","200","110"
"82","7295","280","159865","435","273","2525","200","111"
"83","7575","280","167160","440","276","2550","200","112"
"84","7855","280","174735","445","279","2575","200","113"
"85","8135","280","182590","450","282","2600","200","114"
"86","8455","320","190725","455","285","2625","200","115"
"87","8775","320","199180","460","288","2650","200","116"
"88","9095","320","207955","465","291","2675","200","117"
"89","9415","320","217050","470","294","2700","200","118"
"90","9735","320","226465","475","297","2725","200","119"
