"id","vip_level","necessary_pay","accumulate_pay","alchemy_limit","stamina_buy_limit","elite_reset_limit","PVP_reset_limit","treasure_limit","max_skill_points","skill_points_reset_limit","shop_reset_limit"
"1","0","0","0","1","1","0","0","3","10","1","5"
"2","1","1","1","2","2","0","0","3","10","2","6"
"3","2","5","6","3","3","1","0","3","10","3","7"
"4","3","24","30","5","3","2","0","3","10","4","8"
"5","4","20","50","7","4","3","1","4","10","5","9"
"6","5","50","100","10","4","4","2","4","15","6","10"
"7","6","100","200","15","5","5","3","5","15","7","11"
"8","7","100","300","20","5","6","4","5","15","8","12"
"9","8","200","500","25","6","7","5","6","15","9","13"
"10","9","200","700","30","6","8","6","6","15","10","14"
"11","10","300","1000","35","7","9","7","6","20","11","15"
"12","11","500","1500","40","7","10","8","6","20","12","16"
"13","12","500","2000","45","8","11","9","7","20","13","17"
"14","13","2000","4000","50","8","12","10","7","20","14","18"
"15","14","4000","8000","55","9","13","11","7","20","15","19"
"16","15","7000","15000","60","10","14","12","7","20","16","20"
