"id","no","for_pic","name","weapon_family","grow_type","limit_grow_type","rarity","attribute","sold_price","exp","limit_exp","attack_grow_type","limit_attack_grow_type","defense_grow_type","limit_defense_grow_type","max_level","max_limit","chain_skill_id","chain_skill_max_level","chain_skill_animation","chain_skill_effect_sac_id","chain_skill_effect_plist_id","chain_skill_effect_ccb_id","active_skill_id","active_skill_max_level","active_skill_animation","active_skill_effect_sac_id","active_skill_effect_plist_id","active_skill_effect_ccb_id","accuracy","critical","default_attack","max_attack","limit_max_attack","default_defense","max_defense","limit_max_defense","chain_level","evolution","coming_soon","hash"
"WPN11001","10001","WPN11001","燃火者","1","800","0","3","1","null","null","null","2","null","0","0","90","null","CSK00161","40","SKA00003","SKE11016","SKE11001","","ASK00161","40","SKA00003","SKE12016","SKE11001","","100000","3000","203","470.64","0","0","0","0","2","","",""
"WPN11002","10001","WPN11002","燃火者","1","800","0","4","1","null","null","null","2","null","0","0","90","null","CSK00161","40","SKA00003","SKE11018","SKE11002","","ASK00162","40","SKA00003","SKE11002","SKE11002","","100000","3000","263.22","678.16","0","0","0","0","2","","",""
"WPN11003","10001","WPN11003","燃火者","1","800","0","5","1","null","null","null","2","null","0","0","90","null","CSK00161","40","SKA00001","","SKE11003","","ASK00163","40","SKA00001","","SKE11003","","100000","3000","485","1366.2","0","0","0","0","3","","",""
"WPN12001","10002","WPN12001","龙脊战斧","2","800","0","3","1","null","null","null","2","null","0","0","90","null","CSK00177","40","SKA00003","SKE12001","SKE12001","","ASK00177","40","SKA00004","SKE12001","SKE12001","","100000","3000","238.36","541.88","0","0","0","0","2","","",""
"WPN12002","10002","WPN12002","龙脊战斧","2","800","0","4","1","null","null","null","2","null","0","0","90","null","CSK00177","40","SKA00004","SKE12002","SKE12002","","ASK00178","40","SKA00004","SKE12002","SKE12002","","100000","3000","314.11","780.73","0","0","0","0","2","","",""
"WPN12003","10002","WPN12003","龙脊战斧","2","800","0","5","1","null","null","null","2","null","0","0","90","null","CSK00177","40","SKA00004","SKE12005","SKE12003","","ASK00179","40","SKA00004","SKE12005","SKE12003","","100000","3000","489","1221.7","0","0","0","0","3","","",""
"WPN13001","10003","WPN13001","炽燃灰刺","3","800","0","3","1","null","null","null","2","null","0","0","90","null","CSK00193","40","SKA00002","SKE13001","SKE13001","","ASK00193","40","SKA00002","SKE13001","SKE13001","","100000","3000","149.94","379.2","0","0","0","0","2","","",""
"WPN13002","10003","WPN13002","炽燃灰刺","3","800","0","4","1","null","null","null","2","null","0","0","90","null","CSK00193","40","SKA00002","SKE13002","SKE13002","","ASK00194","40","SKA00002","SKE13002","SKE13002","","100000","3000","192.24","520.76","0","0","0","0","2","","",""
"WPN13003","10003","WPN13003","炽燃灰刺","3","800","0","5","1","null","null","null","2","null","0","0","90","null","CSK00193","40","SKA00002","SKE13003","SKE13003","","ASK00195","40","SKA00002","SKE13003","SKE13003","","100000","3000","516.22","1062.52","0","0","0","0","3","","",""
"WPN14001","10004","WPN14001","烈焰之眼","4","800","0","3","1","null","null","null","2","null","0","0","90","null","CSK00209","40","SKA00005","SKE14001","SKE14001","","ASK00209","40","SKA00005","SKE14001","SKE14001","","100000","3000","102.82","322.07","0","0","0","0","2","","",""
"WPN14002","10004","WPN14002","烈焰之眼","4","800","0","4","1","null","null","null","2","null","0","0","90","null","CSK00209","40","SKA00005","SKE14002","SKE14002","","ASK00210","40","SKA00005","SKE14002","SKE14002","","100000","3000","153.3","518.4","0","0","0","0","2","","",""
"WPN14003","10004","WPN14003","烈焰之眼","4","800","0","5","1","null","null","null","2","null","0","0","90","null","CSK00209","40","SKA00005","SKE14003","SKE14003","","ASK00211","40","SKA00005","SKE14003","SKE14003","","100000","3000","511.68","1183","0","0","0","0","3","","",""
"WPN15001","10005","WPN15001","血火法杖","5","800","0","3","1","null","null","null","2","null","0","0","90","null","CSK00225","40","SKA00005","SKE15001","SKE15001","","ASK00225","40","SKA00005","SKE15001","SKE15001","","100000","3000","143.78","338.04","0","0","0","0","2","","",""
"WPN15002","10005","WPN15002","血火法杖","5","800","0","4","1","null","null","null","2","null","0","0","90","null","CSK00225","40","SKA00005","SKE15002","SKE15002","","ASK00226","40","SKA00005","SKE15002","SKE15002","","100000","3000","218.28","507.3","0","0","0","0","2","","",""
"WPN15003","10005","WPN15003","血火法杖","5","800","0","5","1","null","null","null","2","null","0","0","90","null","CSK00225","40","SKA00005","SKE15003","SKE15003","","ASK00227","40","SKA00005","SKE15003","SKE15003","","100000","3000","515.79","1212.31","0","0","0","0","3","","",""
"WPN21001","10006","WPN21001","寒冰獠牙","1","800","0","3","2","null","null","null","2","null","0","0","90","null","CSK00165","40","SKA00003","SKE21015","SKE21001","","ASK00165","40","SKA00003","SKE21001","SKE21001","","100000","3000","206.51","470.64","0","0","0","0","2","","",""
"WPN21002","10006","WPN21002","寒冰獠牙","1","800","0","4","2","null","null","null","2","null","0","0","90","null","CSK00165","40","SKA00003","SKE21002","SKE21002","","ASK00166","40","SKA00003","SKE21002","SKE21002","","100000","3000","238.62","698.92","0","0","0","0","2","","",""
"WPN21003","10006","WPN21003","寒冰獠牙","1","800","0","5","2","null","null","null","2","null","0","0","90","null","CSK00165","40","SKA00001","","SKE21003","","ASK00167","40","SKA00001","","SKE21003","","100000","3000","455.9","1366.2","0","0","0","0","3","","",""
"WPN22001","10007","WPN22001","冷冽阔斧","2","800","0","3","2","null","null","null","2","null","0","0","90","null","CSK00181","40","SKA00004","SKE22001","SKE22001","","ASK00181","40","SKA00004","SKE22001","SKE22001","","100000","3000","214.76","583.11","0","0","0","0","2","","",""
"WPN22002","10007","WPN22002","冷冽阔斧","2","800","0","4","2","null","null","null","2","null","0","0","90","null","CSK00181","40","SKA00004","SKE22002","SKE22002","","ASK00182","40","SKA00004","SKE22002","SKE22002","","100000","3000","286.12","842.57","0","0","0","0","2","","",""
"WPN22003","10007","WPN22003","冷冽阔斧","2","800","0","5","2","null","null","null","2","null","0","0","90","null","CSK00181","40","SKA00004","SKE22003","SKE22003","","ASK00183","40","SKA00004","SKE22003","SKE22003","","100000","3000","493.89","1247.42","0","0","0","0","3","","",""
"WPN23001","10008","WPN23001","剔骨夜刃","3","800","0","3","2","null","null","null","2","null","0","0","90","null","CSK00197","40","SKA00002","SKE23001","SKE23001","","ASK00197","40","SKA00002","SKE23001","SKE23001","","100000","3000","137.7","398.95","0","0","0","0","2","","",""
"WPN23002","10008","WPN23002","剔骨夜刃","3","800","0","4","2","null","null","null","2","null","0","0","90","null","CSK00197","40","SKA00002","SKE23002","SKE23002","","ASK00198","40","SKA00002","SKE23002","SKE23002","","100000","3000","176.22","587.24","0","0","0","0","2","","",""
"WPN23003","10008","WPN23003","剔骨夜刃","3","800","0","5","2","null","null","null","2","null","0","0","90","null","CSK00197","40","SKA00002","SKE23003","SKE23003","","ASK00199","40","SKA00002","SKE23003","SKE23003","","100000","3000","516.22","1052","0","0","0","0","3","","",""
"WPN24001","10009","WPN24001","霜噬长弓","4","800","0","3","2","null","null","null","2","null","0","0","90","null","CSK00213","40","SKA00005","SKE24001","SKE24001","","ASK00213","40","SKA00005","SKE24001","SKE24001","","100000","3000","102.82","322.07","0","0","0","0","2","","",""
"WPN24002","10009","WPN24002","霜噬长弓","4","800","0","4","2","null","null","null","2","null","0","0","90","null","CSK00213","40","SKA00005","SKE24002","SKE24002","","ASK00214","40","SKA00005","SKE24002","SKE24002","","100000","3000","144.54","545.4","0","0","0","0","2","","",""
"WPN24003","10009","WPN24003","霜噬长弓","4","800","0","5","2","null","null","null","2","null","0","0","90","null","CSK00213","40","SKA00005","SKE24003","SKE24003","","ASK00215","40","SKA00005","SKE24003","SKE24003","","100000","3000","452.64","1230.32","0","0","0","0","3","","",""
"WPN25001","10010","WPN25001","本能之柱","5","800","0","3","2","null","null","null","2","null","0","0","90","null","CSK00229","40","SKA00005","SKE25001","SKE25001","","ASK00229","40","SKA00005","SKE25001","SKE25001","","100000","3000","170.64","291.09","0","0","0","0","2","","",""
"WPN25002","10010","WPN25002","本能之柱","5","800","0","4","2","null","null","null","2","null","0","0","90","null","CSK00229","40","SKA00005","SKE25002","SKE25002","","ASK00230","40","SKA00005","SKE25002","SKE25002","","100000","3000","233.26","501.96","0","0","0","0","2","","",""
