"id","name","image_name","text","attribute","invoke_chain","level_up_reduction","type","positive_state","negative_state","multiplier","point","percent","absorptance","range","turn","blow_off_distance","hp_attack_percent","hp_down_percent","type_attribute","type_attribute_multiplier","effect_point","multi_attack","max_level","skill_value"
"ASK00009","复国之焰","SIM00017","对十字范围(12格)内的敌人造成火属性的大量伤害","1","120","3","SKT00001","0","0","0","6000","0","0","3","0","0","0","0","0","0","0","1","40","30"
"ASK00103","背叛烈焰","SIM00021","对周围(8格)内的敌人造成火属性的大量伤害","1","120","3","SKT00003","0","0","0","6000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00161","火炎之剑","SIM00024","对剑技能范围内的敌人造成火属性的小量伤害+击退","1","80","2","SKT00005","0","0","0","2000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00162","爆炎之剑","SIM00024","对剑技能范围内的敌人造成火属性的中量伤害+击退","1","110","3","SKT00005","0","0","0","4000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00163","核爆之剑","SIM00024","对剑技能范围内的敌人造成火属性的大量伤害+击退","1","150","3","SKT00005","0","0","0","6000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00165","冰霜之剑","SIM00024","对剑技能范围内的敌人造成水属性的小量伤害+击退","2","80","2","SKT00005","0","0","0","2000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00166","冰冻之剑","SIM00024","对剑技能范围内的敌人造成水属性的中量伤害+击退","2","110","3","SKT00005","0","0","0","4000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00167","暴风雪之剑","SIM00024","对剑技能范围内的敌人造成水属性的大量伤害+击退","2","150","3","SKT00005","0","0","0","6000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00168","究极暴风雪之剑","SIM00024","对剑技能范围内的敌人造成水属性的特大伤害+击退","2","190","4","SKT00005","0","0","0","8000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00169","闪光之剑","SIM00024","对剑技能范围内的敌人造成雷属性的大量伤害+击退","3","80","2","SKT00005","0","0","0","2000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00170","雷电之剑","SIM00024","对剑技能范围内的敌人造成雷属性的中量伤害+击退","3","110","3","SKT00005","0","0","0","4000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00171","圣光之剑","SIM00024","对剑技能范围内的敌人造成雷属性的大量伤害+击退","3","150","3","SKT00005","0","0","0","6000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00173","尖刺之剑","SIM00024","对剑技能范围内的敌人造成森属性的小量伤害+击退","4","80","2","SKT00005","0","0","0","2000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00174","刺棘之剑","SIM00024","对剑技能范围内的敌人造成森属性的中量伤害+击退","4","110","3","SKT00005","0","0","0","4000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00175","荆棘之剑","SIM00024","对剑技能范围内的敌人造成森属性的大量伤害+击退","4","150","3","SKT00005","0","0","0","6000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00177","火炎冲击","SIM00025","对斧头技能范围内的敌人造成火属性的小量伤害+昏迷","1","80","2","SKT00006","0","6","0","2000","40000","0","1","2","0","0","0","0","0","0","1","40","30"
"ASK00178","爆炎冲击","SIM00025","对斧头技能范围内的敌人造成火属性的中量伤害+昏迷","1","110","3","SKT00006","0","6","0","4000","40000","0","1","2","0","0","0","0","0","0","1","40","30"
"ASK00179","核爆冲击","SIM00025","对斧头技能范围内的敌人造成火属性的大量伤害+昏迷","1","150","3","SKT00006","0","6","0","6000","40000","0","1","2","0","0","0","0","0","0","1","40","30"
"ASK00181","冰霜冲击","SIM00025","对斧头技能范围内的敌人造成水属性的小量伤害+昏迷","2","80","2","SKT00006","0","6","0","2000","40000","0","1","2","0","0","0","0","0","0","1","40","30"
"ASK00182","冰冻冲击","SIM00025","对斧头技能范围内的敌人造成水属性的中量伤害+昏迷","2","110","3","SKT00006","0","6","0","4000","40000","0","1","2","0","0","0","0","0","0","1","40","30"
"ASK00183","暴风雪冲击","SIM00025","对斧头技能范围内的敌人造成水属性的大量伤害+昏迷","2","150","3","SKT00006","0","6","0","6000","40000","0","1","2","0","0","0","0","0","0","1","40","30"
"ASK00185","闪光冲击","SIM00025","对斧头技能范围内的敌人造成雷属性的小量伤害+昏迷","3","80","2","SKT00006","0","6","0","2000","40000","0","1","2","0","0","0","0","0","0","1","40","30"
"ASK00186","雷电冲击","SIM00025","对斧头技能范围内的敌人造成雷属性的中量伤害+昏迷","3","110","3","SKT00006","0","6","0","4000","40000","0","1","2","0","0","0","0","0","0","1","40","30"
"ASK00187","圣光冲击","SIM00025","对斧头技能范围内的敌人造成雷属性的大量伤害+昏迷","3","150","3","SKT00006","0","6","0","6000","40000","0","1","2","0","0","0","0","0","0","1","40","30"
"ASK00189","尖刺冲击","SIM00025","对斧头技能范围内的敌人造成森属性的小量伤害+昏迷","4","80","2","SKT00006","0","6","0","2000","40000","0","1","2","0","0","0","0","0","0","1","40","30"
"ASK00190","刺棘冲击","SIM00025","对斧头技能范围内的敌人造成森属性的中量伤害+昏迷","4","110","3","SKT00006","0","6","0","4000","40000","0","1","2","0","0","0","0","0","0","1","40","30"
"ASK00191","荆棘冲击","SIM00025","对斧头技能范围内的敌人造成森属性的大量伤害+昏迷","4","150","3","SKT00006","0","6","0","6000","40000","0","1","2","0","0","0","0","0","0","1","40","30"
"ASK00192","究极荆棘冲击","SIM00025","对斧头技能范围内的敌人造成森属性的特大伤害+昏迷","4","190","4","SKT00006","0","6","0","8000","40000","0","1","2","0","0","0","0","0","0","1","40","30"
