"id","area_id","quest_balloon","monster_balloon","bar_balloon","equipment_balloon","shop_balloon"
"1","NMA00001","元素之力是非常强大的力量，代价也一样大。|不编辑队伍就贸然挑战副本并不明智。|每个敌人都有各式各样的移动攻击范围和攻击模式，长按就会跳出详细信息。|首领的血量降低到一定程度，会变得十分强大，还可能会暴走并且施放强力特殊技。|作战傀儡的飞拳非常厉害！别问我为什么会知道。|多交朋友，危急的时刻他们是你唯一的依靠。|敢在副本内踩按钮的人，你这是在小瞧战斗么？|大意的话有时会在意想不到的地方踩到陷阱，别问我怎么知道的，咳咳|你知道弱点属性吗？使用克制的属性才能完美的完成任务。|副本里有坑洞跟障碍物对吧？新手的话就绕过吧。|当陷入苦战时，请重新检查你的队伍成员跟装备，战斗应该被严谨对待。|多去挑战同一个副本，这样才能搜集全制造装备的素材。|首领非常强，没人能不劳而获！身处战场就当有战斗的觉悟。|消耗体力越多的副本难度就会越高，进入副本前需要多注意一下。|善用四种属性，就可以轻松打通副本！不然你永远不能成为和我一样的战士。|感觉最近穿护甲有点紧，一定是铁匠那个老头又偷工减料！","英雄只能通过同属性的南瓜进行升级，因此平均获取南瓜很重要。|英雄法术强度提升的话，就可以减少发动主动技所需的元素之力。|进化后的英雄技能等级就会延续哦。|若是队伍中有相同属性的英雄，会从左侧开始召唤哦。|升级，进化，进阶各有用处，请妥善利用哟。|针对副本中出现的敌人属性，搭配有利属性的装备与英雄吧！|如果把稀有英雄当作队长的话，关注你的冒险者就会变多哦！","等级提升的话，可关注的玩家数就会增加。最多可提升至50人。|使用推荐搜寻的话，就可以找到与你等级相近的玩家。|是否会被关注，取决于你的队长英雄。|多多增加相互关注的朋友吧。会有好事发生的哟。|虽说是酒馆，可是酒呢。","生命值的总量是由队伍全体的生命决定，防御力也是一样。|武器或防具，使用特定素材就可以进化。|装备也有属性，请在不同的副本使用不同属性的装备。|武器进化后的主动技技能等级也可以继承。|装备一整套的头盔与铠甲，就会有套装的防御力加成。|剑拥有击退效果，是基本的武器。|匕首是攻击次数最多的武器，会朝自己的周围8个方向攻击。|斧拥有一定机率击晕对手的技能。|弓可以近战攻击，技能则是远距离攻击，是很平衡的武器。|杖无法近战攻击，但发动技能时是全体攻击，是非常方便的武器。|你知道强化石这种稀有石头吗？可以一口气强化你的装备。|调整队伍英雄与装备特性，就可以提升你的战力。|打造的话，嘿嘿，不收取额外费用的哟！","主线任务中有大量符石奖励哦。|符石可使鬼推磨，拿到的话要好好珍惜。|每个商店都有独立出售的物品哦，想要的话就要去苦苦守候呢！|性子急的话就只能刷新商店了呢，会不会划算呢？|天梯点数是每日发放的，要记得去邮箱领取。"
"2","NMA00002","元素之力是非常强大的力量，代价也一样大。|不编辑队伍就贸然挑战副本并不明智。|每个敌人都有各式各样的移动攻击范围和攻击模式，长按就会跳出详细信息。|首领的血量降低到一定程度，会变得十分强大，还可能会暴走并且施放强力特殊技。|作战傀儡的飞拳非常厉害！别问我为什么会知道。|多交朋友，危急的时刻他们是你唯一的依靠。|敢在副本内踩按钮的人，你这是在小瞧战斗么？|大意的话有时会在意想不到的地方踩到陷阱，别问我怎么知道的，咳咳|你知道弱点属性吗？使用克制的属性才能完美的完成任务。|副本里有坑洞跟障碍物对吧？新手的话就绕过吧。|当陷入苦战时，请重新检查你的队伍成员跟装备，战斗应该被严谨对待。|多去挑战同一个副本，这样才能搜集全制造装备的素材。|首领非常强，没人能不劳而获！身处战场就当有战斗的觉悟。|消耗体力越多的副本难度就会越高，进入副本前需要多注意一下。|善用四种属性，就可以轻松打通副本！不然你永远不能成为和我一样的战士。|感觉最近穿护甲有点紧，一定是铁匠那个老头又偷工减料！","英雄只能通过同属性的南瓜进行升级，因此平均获取南瓜很重要。|英雄法术强度提升的话，就可以减少发动主动技所需的元素之力。|进化后的英雄技能等级就会延续哦。|若是队伍中有相同属性的英雄，会从左侧开始召唤哦。|升级，进化，进阶各有用处，请妥善利用哟。|针对副本中出现的敌人属性，搭配有利属性的装备与英雄吧！|如果把稀有英雄当作队长的话，关注你的冒险者就会变多哦！","等级提升的话，可关注的玩家数就会增加。最多可提升至50人。|使用推荐搜寻的话，就可以找到与你等级相近的玩家。|是否会被关注，取决于你的队长英雄。|多多增加相互关注的朋友吧。会有好事发生的哟。|虽说是酒馆，可是酒呢。","生命值的总量是由队伍全体的生命决定，防御力也是一样。|武器或防具，使用特定素材就可以进化。|装备也有属性，请在不同的副本使用不同属性的装备。|武器进化后的主动技技能等级也可以继承。|装备一整套的头盔与铠甲，就会有套装的防御力加成。|剑拥有击退效果，是基本的武器。|匕首是攻击次数最多的武器，会朝自己的周围8个方向攻击。|斧拥有一定机率击晕对手的技能。|弓可以近战攻击，技能则是远距离攻击，是很平衡的武器。|杖无法近战攻击，但发动技能时是全体攻击，是非常方便的武器。|你知道强化石这种稀有石头吗？可以一口气强化你的装备。|调整队伍英雄与装备特性，就可以提升你的战力。|打造的话，嘿嘿，不收取额外费用的哟！","主线任务中有大量符石奖励哦。|符石可使鬼推磨，拿到的话要好好珍惜。|每个商店都有独立出售的物品哦，想要的话就要去苦苦守候呢！|性子急的话就只能刷新商店了呢，会不会划算呢？|天梯点数是每日发放的，要记得去邮箱领取。"
"3","NMA00003","元素之力是非常强大的力量，代价也一样大。|不编辑队伍就贸然挑战副本并不明智。|每个敌人都有各式各样的移动攻击范围和攻击模式，长按就会跳出详细信息。|首领的血量降低到一定程度，会变得十分强大，还可能会暴走并且施放强力特殊技。|作战傀儡的飞拳非常厉害！别问我为什么会知道。|多交朋友，危急的时刻他们是你唯一的依靠。|敢在副本内踩按钮的人，你这是在小瞧战斗么？|大意的话有时会在意想不到的地方踩到陷阱，别问我怎么知道的，咳咳|你知道弱点属性吗？使用克制的属性才能完美的完成任务。|副本里有坑洞跟障碍物对吧？新手的话就绕过吧。|当陷入苦战时，请重新检查你的队伍成员跟装备，战斗应该被严谨对待。|多去挑战同一个副本，这样才能搜集全制造装备的素材。|首领非常强，没人能不劳而获！身处战场就当有战斗的觉悟。|消耗体力越多的副本难度就会越高，进入副本前需要多注意一下。|善用四种属性，就可以轻松打通副本！不然你永远不能成为和我一样的战士。|感觉最近穿护甲有点紧，一定是铁匠那个老头又偷工减料！","英雄只能通过同属性的南瓜进行升级，因此平均获取南瓜很重要。|英雄法术强度提升的话，就可以减少发动主动技所需的元素之力。|进化后的英雄技能等级就会延续哦。|若是队伍中有相同属性的英雄，会从左侧开始召唤哦。|升级，进化，进阶各有用处，请妥善利用哟。|针对副本中出现的敌人属性，搭配有利属性的装备与英雄吧！|如果把稀有英雄当作队长的话，关注你的冒险者就会变多哦！","等级提升的话，可关注的玩家数就会增加。最多可提升至50人。|使用推荐搜寻的话，就可以找到与你等级相近的玩家。|是否会被关注，取决于你的队长英雄。|多多增加相互关注的朋友吧。会有好事发生的哟。|虽说是酒馆，可是酒呢。","生命值的总量是由队伍全体的生命决定，防御力也是一样。|武器或防具，使用特定素材就可以进化。|装备也有属性，请在不同的副本使用不同属性的装备。|武器进化后的主动技技能等级也可以继承。|装备一整套的头盔与铠甲，就会有套装的防御力加成。|剑拥有击退效果，是基本的武器。|匕首是攻击次数最多的武器，会朝自己的周围8个方向攻击。|斧拥有一定机率击晕对手的技能。|弓可以近战攻击，技能则是远距离攻击，是很平衡的武器。|杖无法近战攻击，但发动技能时是全体攻击，是非常方便的武器。|你知道强化石这种稀有石头吗？可以一口气强化你的装备。|调整队伍英雄与装备特性，就可以提升你的战力。|打造的话，嘿嘿，不收取额外费用的哟！","主线任务中有大量符石奖励哦。|符石可使鬼推磨，拿到的话要好好珍惜。|每个商店都有独立出售的物品哦，想要的话就要去苦苦守候呢！|性子急的话就只能刷新商店了呢，会不会划算呢？|天梯点数是每日发放的，要记得去邮箱领取。"
"4","NMA00004","元素之力是非常强大的力量，代价也一样大。|不编辑队伍就贸然挑战副本并不明智。|每个敌人都有各式各样的移动攻击范围和攻击模式，长按就会跳出详细信息。|首领的血量降低到一定程度，会变得十分强大，还可能会暴走并且施放强力特殊技。|作战傀儡的飞拳非常厉害！别问我为什么会知道。|多交朋友，危急的时刻他们是你唯一的依靠。|敢在副本内踩按钮的人，你这是在小瞧战斗么？|大意的话有时会在意想不到的地方踩到陷阱，别问我怎么知道的，咳咳|你知道弱点属性吗？使用克制的属性才能完美的完成任务。|副本里有坑洞跟障碍物对吧？新手的话就绕过吧。|当陷入苦战时，请重新检查你的队伍成员跟装备，战斗应该被严谨对待。|多去挑战同一个副本，这样才能搜集全制造装备的素材。|首领非常强，没人能不劳而获！身处战场就当有战斗的觉悟。|消耗体力越多的副本难度就会越高，进入副本前需要多注意一下。|善用四种属性，就可以轻松打通副本！不然你永远不能成为和我一样的战士。|感觉最近穿护甲有点紧，一定是铁匠那个老头又偷工减料！","英雄只能通过同属性的南瓜进行升级，因此平均获取南瓜很重要。|英雄法术强度提升的话，就可以减少发动主动技所需的元素之力。|进化后的英雄技能等级就会延续哦。|若是队伍中有相同属性的英雄，会从左侧开始召唤哦。|升级，进化，进阶各有用处，请妥善利用哟。|针对副本中出现的敌人属性，搭配有利属性的装备与英雄吧！|如果把稀有英雄当作队长的话，关注你的冒险者就会变多哦！","等级提升的话，可关注的玩家数就会增加。最多可提升至50人。|使用推荐搜寻的话，就可以找到与你等级相近的玩家。|是否会被关注，取决于你的队长英雄。|多多增加相互关注的朋友吧。会有好事发生的哟。|虽说是酒馆，可是酒呢。","生命值的总量是由队伍全体的生命决定，防御力也是一样。|武器或防具，使用特定素材就可以进化。|装备也有属性，请在不同的副本使用不同属性的装备。|武器进化后的主动技技能等级也可以继承。|装备一整套的头盔与铠甲，就会有套装的防御力加成。|剑拥有击退效果，是基本的武器。|匕首是攻击次数最多的武器，会朝自己的周围8个方向攻击。|斧拥有一定机率击晕对手的技能。|弓可以近战攻击，技能则是远距离攻击，是很平衡的武器。|杖无法近战攻击，但发动技能时是全体攻击，是非常方便的武器。|你知道强化石这种稀有石头吗？可以一口气强化你的装备。|调整队伍英雄与装备特性，就可以提升你的战力。|打造的话，嘿嘿，不收取额外费用的哟！","主线任务中有大量符石奖励哦。|符石可使鬼推磨，拿到的话要好好珍惜。|每个商店都有独立出售的物品哦，想要的话就要去苦苦守候呢！|性子急的话就只能刷新商店了呢，会不会划算呢？|天梯点数是每日发放的，要记得去邮箱领取。"
"5","NMA00005","元素之力是非常强大的力量，代价也一样大。|不编辑队伍就贸然挑战副本并不明智。|每个敌人都有各式各样的移动攻击范围和攻击模式，长按就会跳出详细信息。|首领的血量降低到一定程度，会变得十分强大，还可能会暴走并且施放强力特殊技。|作战傀儡的飞拳非常厉害！别问我为什么会知道。|多交朋友，危急的时刻他们是你唯一的依靠。|敢在副本内踩按钮的人，你这是在小瞧战斗么？|大意的话有时会在意想不到的地方踩到陷阱，别问我怎么知道的，咳咳|你知道弱点属性吗？使用克制的属性才能完美的完成任务。|副本里有坑洞跟障碍物对吧？新手的话就绕过吧。|当陷入苦战时，请重新检查你的队伍成员跟装备，战斗应该被严谨对待。|多去挑战同一个副本，这样才能搜集全制造装备的素材。|首领非常强，没人能不劳而获！身处战场就当有战斗的觉悟。|消耗体力越多的副本难度就会越高，进入副本前需要多注意一下。|善用四种属性，就可以轻松打通副本！不然你永远不能成为和我一样的战士。|感觉最近穿护甲有点紧，一定是铁匠那个老头又偷工减料！","英雄只能通过同属性的南瓜进行升级，因此平均获取南瓜很重要。|英雄法术强度提升的话，就可以减少发动主动技所需的元素之力。|进化后的英雄技能等级就会延续哦。|若是队伍中有相同属性的英雄，会从左侧开始召唤哦。|升级，进化，进阶各有用处，请妥善利用哟。|针对副本中出现的敌人属性，搭配有利属性的装备与英雄吧！|如果把稀有英雄当作队长的话，关注你的冒险者就会变多哦！","等级提升的话，可关注的玩家数就会增加。最多可提升至50人。|使用推荐搜寻的话，就可以找到与你等级相近的玩家。|是否会被关注，取决于你的队长英雄。|多多增加相互关注的朋友吧。会有好事发生的哟。|虽说是酒馆，可是酒呢。","生命值的总量是由队伍全体的生命决定，防御力也是一样。|武器或防具，使用特定素材就可以进化。|装备也有属性，请在不同的副本使用不同属性的装备。|武器进化后的主动技技能等级也可以继承。|装备一整套的头盔与铠甲，就会有套装的防御力加成。|剑拥有击退效果，是基本的武器。|匕首是攻击次数最多的武器，会朝自己的周围8个方向攻击。|斧拥有一定机率击晕对手的技能。|弓可以近战攻击，技能则是远距离攻击，是很平衡的武器。|杖无法近战攻击，但发动技能时是全体攻击，是非常方便的武器。|你知道强化石这种稀有石头吗？可以一口气强化你的装备。|调整队伍英雄与装备特性，就可以提升你的战力。|打造的话，嘿嘿，不收取额外费用的哟！","主线任务中有大量符石奖励哦。|符石可使鬼推磨，拿到的话要好好珍惜。|每个商店都有独立出售的物品哦，想要的话就要去苦苦守候呢！|性子急的话就只能刷新商店了呢，会不会划算呢？|天梯点数是每日发放的，要记得去邮箱领取。"
"6","NMA00006","元素之力是非常强大的力量，代价也一样大。|不编辑队伍就贸然挑战副本并不明智。|每个敌人都有各式各样的移动攻击范围和攻击模式，长按就会跳出详细信息。|首领的血量降低到一定程度，会变得十分强大，还可能会暴走并且施放强力特殊技。|作战傀儡的飞拳非常厉害！别问我为什么会知道。|多交朋友，危急的时刻他们是你唯一的依靠。|敢在副本内踩按钮的人，你这是在小瞧战斗么？|大意的话有时会在意想不到的地方踩到陷阱，别问我怎么知道的，咳咳|你知道弱点属性吗？使用克制的属性才能完美的完成任务。|副本里有坑洞跟障碍物对吧？新手的话就绕过吧。|当陷入苦战时，请重新检查你的队伍成员跟装备，战斗应该被严谨对待。|多去挑战同一个副本，这样才能搜集全制造装备的素材。|首领非常强，没人能不劳而获！身处战场就当有战斗的觉悟。|消耗体力越多的副本难度就会越高，进入副本前需要多注意一下。|善用四种属性，就可以轻松打通副本！不然你永远不能成为和我一样的战士。|感觉最近穿护甲有点紧，一定是铁匠那个老头又偷工减料！","英雄只能通过同属性的南瓜进行升级，因此平均获取南瓜很重要。|英雄法术强度提升的话，就可以减少发动主动技所需的元素之力。|进化后的英雄技能等级就会延续哦。|若是队伍中有相同属性的英雄，会从左侧开始召唤哦。|升级，进化，进阶各有用处，请妥善利用哟。|针对副本中出现的敌人属性，搭配有利属性的装备与英雄吧！|如果把稀有英雄当作队长的话，关注你的冒险者就会变多哦！","等级提升的话，可关注的玩家数就会增加。最多可提升至50人。|使用推荐搜寻的话，就可以找到与你等级相近的玩家。|是否会被关注，取决于你的队长英雄。|多多增加相互关注的朋友吧。会有好事发生的哟。|虽说是酒馆，可是酒呢。","生命值的总量是由队伍全体的生命决定，防御力也是一样。|武器或防具，使用特定素材就可以进化。|装备也有属性，请在不同的副本使用不同属性的装备。|武器进化后的主动技技能等级也可以继承。|装备一整套的头盔与铠甲，就会有套装的防御力加成。|剑拥有击退效果，是基本的武器。|匕首是攻击次数最多的武器，会朝自己的周围8个方向攻击。|斧拥有一定机率击晕对手的技能。|弓可以近战攻击，技能则是远距离攻击，是很平衡的武器。|杖无法近战攻击，但发动技能时是全体攻击，是非常方便的武器。|你知道强化石这种稀有石头吗？可以一口气强化你的装备。|调整队伍英雄与装备特性，就可以提升你的战力。|打造的话，嘿嘿，不收取额外费用的哟！","主线任务中有大量符石奖励哦。|符石可使鬼推磨，拿到的话要好好珍惜。|每个商店都有独立出售的物品哦，想要的话就要去苦苦守候呢！|性子急的话就只能刷新商店了呢，会不会划算呢？|天梯点数是每日发放的，要记得去邮箱领取。"
"7","NMA00007","中毒的话，每回合都会受到伤害。不过进入下一层就会痊愈了。|遇到步兵的话，千万不要惹他们生气。他们的力量是一流的，就是脑子不好使。|长的一样的敌人，因为出现区域不同，强度也会不同。轻敌是战场最大的禁忌。|飞行敌人的移动范围非常广，注意抓准距离，使出致命一击。|你有捡到过熔岩一样的角么？听说可以拿来做很强力的武器。|最近，听说有人看见奇怪的敌人，也有人说那是外星人，我有点好奇了。|你有在迷宫中捡到过各种颜色的宝箱吗？有的话，能给我看看么？|好像也不是所有的敌人都会冲过来攻击，我还见过胆小的敌人。|愤怒的敌人可是会下起一片冰凌之雨呢，然而我有这身盔甲和护盾，哼哼。|有时会从热带雨林的深处传来地鸣般的声音。那到底是什么呢？|去火山地带时穿水属性的装备比较好喔。会凉凉的。|感觉最近穿护甲有点紧，一定是铁匠那个老头又偷工减料！","英雄只能通过同属性的南瓜进行升级，因此平均获取南瓜很重要。|英雄法术强度提升的话，就可以减少发动主动技所需的元素之力。|进化后的英雄技能等级就会延续哦。|若是队伍中有相同属性的英雄，会从左侧开始召唤哦。|升级，进化，进阶各有用处，请妥善利用哟。|针对副本中出现的敌人属性，搭配有利属性的装备与英雄吧！|如果把稀有英雄当作队长的话，关注你的冒险者就会变多哦！","等级提升的话，可关注的玩家数就会增加。最多可提升至50人。|使用推荐搜寻的话，就可以找到与你等级相近的玩家。|是否会被关注，取决于你的队长英雄。|多多增加相互关注的朋友吧。会有好事发生的哟。|虽说是酒馆，可是酒呢。","生命值的总量是由队伍全体的生命决定，防御力也是一样。|武器或防具，使用特定素材就可以进化。|装备也有属性，请在不同的副本使用不同属性的装备。|武器进化后的主动技技能等级也可以继承。|装备一整套的头盔与铠甲，就会有套装的防御力加成。|剑拥有击退效果，是基本的武器。|匕首是攻击次数最多的武器，会朝自己的周围8个方向攻击。|斧拥有一定机率击晕对手的技能。|弓可以近战攻击，技能则是远距离攻击，是很平衡的武器。|杖无法近战攻击，但发动技能时是全体攻击，是非常方便的武器。|你知道强化石这种稀有石头吗？可以一口气强化你的装备。|调整队伍英雄与装备特性，就可以提升你的战力。|打造的话，嘿嘿，不收取额外费用的哟！","主线任务中有大量符石奖励哦。|符石可使鬼推磨，拿到的话要好好珍惜。|每个商店都有独立出售的物品哦，想要的话就要去苦苦守候呢！|性子急的话就只能刷新商店了呢，会不会划算呢？|天梯点数是每日发放的，要记得去邮箱领取。"
"8","NMA00008","中毒的话，每回合都会受到伤害。不过进入下一层就会痊愈了。|遇到步兵的话，千万不要惹他们生气。他们的力量是一流的，就是脑子不好使。|长的一样的敌人，因为出现区域不同，强度也会不同。轻敌是战场最大的禁忌。|飞行敌人的移动范围非常广，注意抓准距离，使出致命一击。|你有捡到过熔岩一样的角么？听说可以拿来做很强力的武器。|最近，听说有人看见奇怪的敌人，也有人说那是外星人，我有点好奇了。|你有在迷宫中捡到过各种颜色的宝箱吗？有的话，能给我看看么？|好像也不是所有的敌人都会冲过来攻击，我还见过胆小的敌人。|愤怒的敌人可是会下起一片冰凌之雨呢，然而我有这身盔甲和护盾，哼哼。|有时会从热带雨林的深处传来地鸣般的声音。那到底是什么呢？|去火山地带时穿水属性的装备比较好喔。会凉凉的。|感觉最近穿护甲有点紧，一定是铁匠那个老头又偷工减料！","英雄只能通过同属性的南瓜进行升级，因此平均获取南瓜很重要。|英雄法术强度提升的话，就可以减少发动主动技所需的元素之力。|进化后的英雄技能等级就会延续哦。|若是队伍中有相同属性的英雄，会从左侧开始召唤哦。|升级，进化，进阶各有用处，请妥善利用哟。|针对副本中出现的敌人属性，搭配有利属性的装备与英雄吧！|如果把稀有英雄当作队长的话，关注你的冒险者就会变多哦！","等级提升的话，可关注的玩家数就会增加。最多可提升至50人。|使用推荐搜寻的话，就可以找到与你等级相近的玩家。|是否会被关注，取决于你的队长英雄。|多多增加相互关注的朋友吧。会有好事发生的哟。|虽说是酒馆，可是酒呢。","生命值的总量是由队伍全体的生命决定，防御力也是一样。|武器或防具，使用特定素材就可以进化。|装备也有属性，请在不同的副本使用不同属性的装备。|武器进化后的主动技技能等级也可以继承。|装备一整套的头盔与铠甲，就会有套装的防御力加成。|剑拥有击退效果，是基本的武器。|匕首是攻击次数最多的武器，会朝自己的周围8个方向攻击。|斧拥有一定机率击晕对手的技能。|弓可以近战攻击，技能则是远距离攻击，是很平衡的武器。|杖无法近战攻击，但发动技能时是全体攻击，是非常方便的武器。|你知道强化石这种稀有石头吗？可以一口气强化你的装备。|调整队伍英雄与装备特性，就可以提升你的战力。|打造的话，嘿嘿，不收取额外费用的哟！","主线任务中有大量符石奖励哦。|符石可使鬼推磨，拿到的话要好好珍惜。|每个商店都有独立出售的物品哦，想要的话就要去苦苦守候呢！|性子急的话就只能刷新商店了呢，会不会划算呢？|天梯点数是每日发放的，要记得去邮箱领取。"
"9","NMA00009","中毒的话，每回合都会受到伤害。不过进入下一层就会痊愈了。|遇到步兵的话，千万不要惹他们生气。他们的力量是一流的，就是脑子不好使。|长的一样的敌人，因为出现区域不同，强度也会不同。轻敌是战场最大的禁忌。|飞行敌人的移动范围非常广，注意抓准距离，使出致命一击。|你有捡到过熔岩一样的角么？听说可以拿来做很强力的武器。|最近，听说有人看见奇怪的敌人，也有人说那是外星人，我有点好奇了。|你有在迷宫中捡到过各种颜色的宝箱吗？有的话，能给我看看么？|好像也不是所有的敌人都会冲过来攻击，我还见过胆小的敌人。|愤怒的敌人可是会下起一片冰凌之雨呢，然而我有这身盔甲和护盾，哼哼。|有时会从热带雨林的深处传来地鸣般的声音。那到底是什么呢？|去火山地带时穿水属性的装备比较好喔。会凉凉的。|感觉最近穿护甲有点紧，一定是铁匠那个老头又偷工减料！","英雄只能通过同属性的南瓜进行升级，因此平均获取南瓜很重要。|英雄法术强度提升的话，就可以减少发动主动技所需的元素之力。|进化后的英雄技能等级就会延续哦。|若是队伍中有相同属性的英雄，会从左侧开始召唤哦。|升级，进化，进阶各有用处，请妥善利用哟。|针对副本中出现的敌人属性，搭配有利属性的装备与英雄吧！|如果把稀有英雄当作队长的话，关注你的冒险者就会变多哦！","等级提升的话，可关注的玩家数就会增加。最多可提升至50人。|使用推荐搜寻的话，就可以找到与你等级相近的玩家。|是否会被关注，取决于你的队长英雄。|多多增加相互关注的朋友吧。会有好事发生的哟。|虽说是酒馆，可是酒呢。","生命值的总量是由队伍全体的生命决定，防御力也是一样。|武器或防具，使用特定素材就可以进化。|装备也有属性，请在不同的副本使用不同属性的装备。|武器进化后的主动技技能等级也可以继承。|装备一整套的头盔与铠甲，就会有套装的防御力加成。|剑拥有击退效果，是基本的武器。|匕首是攻击次数最多的武器，会朝自己的周围8个方向攻击。|斧拥有一定机率击晕对手的技能。|弓可以近战攻击，技能则是远距离攻击，是很平衡的武器。|杖无法近战攻击，但发动技能时是全体攻击，是非常方便的武器。|你知道强化石这种稀有石头吗？可以一口气强化你的装备。|调整队伍英雄与装备特性，就可以提升你的战力。|打造的话，嘿嘿，不收取额外费用的哟！","主线任务中有大量符石奖励哦。|符石可使鬼推磨，拿到的话要好好珍惜。|每个商店都有独立出售的物品哦，想要的话就要去苦苦守候呢！|性子急的话就只能刷新商店了呢，会不会划算呢？|天梯点数是每日发放的，要记得去邮箱领取。"
"10","NMA00010","中毒的话，每回合都会受到伤害。不过进入下一层就会痊愈了。|遇到步兵的话，千万不要惹他们生气。他们的力量是一流的，就是脑子不好使。|长的一样的敌人，因为出现区域不同，强度也会不同。轻敌是战场最大的禁忌。|飞行敌人的移动范围非常广，注意抓准距离，使出致命一击。|你有捡到过熔岩一样的角么？听说可以拿来做很强力的武器。|最近，听说有人看见奇怪的敌人，也有人说那是外星人，我有点好奇了。|你有在迷宫中捡到过各种颜色的宝箱吗？有的话，能给我看看么？|好像也不是所有的敌人都会冲过来攻击，我还见过胆小的敌人。|愤怒的敌人可是会下起一片冰凌之雨呢，然而我有这身盔甲和护盾，哼哼。|有时会从热带雨林的深处传来地鸣般的声音。那到底是什么呢？|去火山地带时穿水属性的装备比较好喔。会凉凉的。|感觉最近穿护甲有点紧，一定是铁匠那个老头又偷工减料！","英雄只能通过同属性的南瓜进行升级，因此平均获取南瓜很重要。|英雄法术强度提升的话，就可以减少发动主动技所需的元素之力。|进化后的英雄技能等级就会延续哦。|若是队伍中有相同属性的英雄，会从左侧开始召唤哦。|升级，进化，进阶各有用处，请妥善利用哟。|针对副本中出现的敌人属性，搭配有利属性的装备与英雄吧！|如果把稀有英雄当作队长的话，关注你的冒险者就会变多哦！","等级提升的话，可关注的玩家数就会增加。最多可提升至50人。|使用推荐搜寻的话，就可以找到与你等级相近的玩家。|是否会被关注，取决于你的队长英雄。|多多增加相互关注的朋友吧。会有好事发生的哟。|虽说是酒馆，可是酒呢。","生命值的总量是由队伍全体的生命决定，防御力也是一样。|武器或防具，使用特定素材就可以进化。|装备也有属性，请在不同的副本使用不同属性的装备。|武器进化后的主动技技能等级也可以继承。|装备一整套的头盔与铠甲，就会有套装的防御力加成。|剑拥有击退效果，是基本的武器。|匕首是攻击次数最多的武器，会朝自己的周围8个方向攻击。|斧拥有一定机率击晕对手的技能。|弓可以近战攻击，技能则是远距离攻击，是很平衡的武器。|杖无法近战攻击，但发动技能时是全体攻击，是非常方便的武器。|你知道强化石这种稀有石头吗？可以一口气强化你的装备。|调整队伍英雄与装备特性，就可以提升你的战力。|打造的话，嘿嘿，不收取额外费用的哟！","主线任务中有大量符石奖励哦。|符石可使鬼推磨，拿到的话要好好珍惜。|每个商店都有独立出售的物品哦，想要的话就要去苦苦守候呢！|性子急的话就只能刷新商店了呢，会不会划算呢？|天梯点数是每日发放的，要记得去邮箱领取。"
