"id","name","image_name","text","text_1","default_text","levelup_text","attribute","invoke_chain","type","positive_state","negative_state","multiplier","point","percent","absorptance","range","turn","blow_off_distance","hp_attack_percent","hp_down_percent","type_attribute","type_attribute_multiplier","effect_point","multi_attack","max_level","skill_value"
"CSK00002","破隐一击","SIM00016","对十字范围(8格)内的敌人造成火属性伤害并以给予伤害量的15%回复生命。","对十字范围(8格)内的敌人造成火属性伤害(+###%)并以给予伤害量的15%回复生命。","0",".2222222","1","7","SKT00001","0","0","1","0","0","15000","2","0","0","0","0","0","0","0","1","90","15"
"CSK00026","驱雷掣电","SIM00016","对十字范围(8格)内的敌人造成雷属性伤害。","对十字范围(8格)内的敌人造成雷属性伤害(+###%)。","0",".2222222","3","6","SKT00001","0","0","1","0","0","0","2","0","0","0","0","0","0","0","1","90","15"
"CSK00027","雷蛇突刺","SIM00017","对十字范围(12格)内的敌人造成雷属性伤害。","对十字范围(12格)内的敌人造成雷属性伤害(+###%)。","0",".2222222","3","7","SKT00001","0","0","1","0","0","0","3","0","0","0","0","0","0","0","1","90","15"
"CSK00109","滴水成冰","SIM00021","对周围(8格)内的敌人造成水属性伤害。","对周围(8格)内的敌人造成水属性伤害(+###%)。","0",".2222222","2","6","SKT00003","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","90","15"
"CSK00127","雷霆之击","SIM00021","对周围(8格)内的敌人造成雷属性伤害。","对周围(8格)内的敌人造成雷属性伤害(+###%)。","0",".2222222","3","6","SKT00003","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","90","15"
"CSK00161","火焰十字斩","SIM00024","对范围内的敌人造成火属性伤害+击退 达到特定连锁数攻击范围将会扩大。","对范围内的敌人造成火属性伤害(+###%)并击退，达到特定连锁数攻击范围将会扩大。","0",".2222222","1","0","SKT00005","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","90","15"
"CSK00165","冰霜十字斩","SIM00024","对范围内的敌人造成水属性伤害+击退 达到特定连锁数攻击范围将会扩大。","对范围内的敌人造成水属性伤害(+###%)并击退，达到特定连锁数攻击范围将会扩大。","0",".2222222","2","0","SKT00005","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","90","15"
"CSK00169","圣光十字斩","SIM00024","对范围内的敌人造成雷属性伤害+击退 达到特定连锁数攻击范围将会扩大。","对范围内的敌人造成雷属性伤害(+###%)并击退，达到特定连锁数攻击范围将会扩大。","0",".2222222","3","0","SKT00005","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","90","15"
"CSK00173","荆棘十字斩","SIM00024","对范围内的敌人造成森属性伤害+击退 达到特定连锁数攻击范围将会扩大。","对范围内的敌人造成森属性伤害(+###%)并击退，达到特定连锁数攻击范围将会扩大。","0",".2222222","4","0","SKT00005","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","90","15"
"CSK00177","火焰顺劈","SIM00025","对范围内的敌人造成火属性伤害+昏迷 达到特定连锁数攻击范围将会扩大。","对范围内的敌人造成火属性伤害(+###%)并昏迷，达到特定连锁数攻击范围将会扩大。","0",".2222222","1","0","SKT00006","0","6","1","0","0","0","1","2","0","0","0","0","0","0","1","90","15"
