"id","sort_id","mission_type","transition","week_day_id","transition_icon","start_time","end_time","title","content","dungeon_condition","level_limit","mission_count","reward_item_id1","reward_number1","reward_item_id2","reward_number2"
"20001","1","TYPE_DUNGEON_CLEAR_ANY_NORMAL_AREA","normal_area","1|2|3|4|5|6|7","mission_icon_20001.png","","","副本大师","过关10次普通副本","","","10","CON00001","5000","EXP00001","80"
"20002","2","TYPE_DUNGEON_CLEAR_ANY_ELITE_AREA","elite_area","1|2|3|4|5|6|7","mission_icon_20002.png","","","精英副本大师","过关3次精英副本","","10","3","CON00001","5000","EXP00001","80"
"20003","3","TYPE_DUNGEON_CLEAR_SPECIAL_DUNGEON_ID","treasure","1|2|3|4|5|6|7","mission_icon_20003.png","","","秘境常客","过关2次宝藏秘境","SPD00001|SPD00002|SPD00003|SPD00004|SPD00005|SPD00006","20","2","CON00001","5000","EXP00001","80"
"20004","4","TYPE_DUNGEON_CLEAR_SPECIAL_DUNGEON_ID","heroquest","1|2|3|4|5|6|7","mission_icon_20004.png","","","试炼旅人","过关2次英雄试炼","SPD00007|SPD00008|SPD00009|SPD00010|SPD00011|SPD00012","25","2","CON00001","5000","EXP00001","80"
"20005","5","TYPE_PVP_ATTEND","pvp","1|2|3|4|5|6|7","mission_icon_20005.png","","","竞技爱好者","参与PVP挑战2次","","15","2","CON00001","5000","EXP00001","60"
"20006","6","TYPE_ALCHEMY","alchemy","1|2|3|4|5|6|7","mission_icon_20006.png","","","炼金师","点金1次","","10","1","CON00001","5000","EXP00001","60"
"20007","7","TYPE_SUMMON","summon","1|2|3|4|5|6|7","mission_icon_20007.png","","","白手起家","抽卡5次","","3","5","CON00001","5000","EXP00001","60"
"20008","8","TYPE_RECEIVE_STAMINA","receive_stamina","1|2|3|4|5|6|7","mission_icon_20008.png",".5",".583333333333333","豪华午餐","每日12-14时领取60点体力","","","1","STA00001","60","",""
"20009","9","TYPE_RECEIVE_STAMINA","receive_stamina","1|2|3|4|5|6|7","mission_icon_20009.png",".75",".833333333333333","豪华晚餐","每日18-20时领取120点体力","","","1","STA00001","120","",""
"20010","10","TYPE_PRODUCT_STRENGTHEN_MONSTER","monster","1|2|3|4|5|6|7","mission_icon_20010.png","","","修炼之路","升级1次英雄","","5","1","CON00001","5000","EXP00001","60"
"20011","11","TYPE_PRODUCT_STRENGTHEN_WEAPON","weapon","1|2|3|4|5|6|7","mission_icon_20011.png","","","修炼之路","升级1次武器","","5","1","CON00001","5000","EXP00001","60"
"20012","12","TYPE_PRODUCT_STRENGTHEN_EQUIPMENT","equipment","1|2|3|4|5|6|7","mission_icon_20012.png","","","修炼之路","升级1次装备","","5","1","CON00001","5000","EXP00001","60"
"20013","13","TYPE_SKILL_LEVELUP","monster","1|2|3|4|5|6|7","mission_icon_20013.png","","","升级技能","升级10次英雄技能","","15","10","CON00001","5000","EXP00001","60"
"20014","14","TYPE_MONTH_CARD","month_card","1|2|3|4|5|6|7","mission_icon_20014.png","","","月卡","购买月卡，每日领取120符石","","","","STN00001","120","",""
