"area_id","id","sort_id","icon","count","reward_item_id1","reward_number1","reward_item_id2","reward_number2"
"LGA00001","10001","1","MOP10028","1000","MOP10028","5","CON00001","20000"
"LGA00001","10002","2","MOP10026","5000","MOP10026","5","CON00001","50000"
"LGA00001","10003","3","MOP10024","10000","MOP10024","5","CON00001","100000"
"LGA00001","10004","4","MOP10022","25000","MOP10022","5","CON00001","200000"
"LGA00001","10005","5","MOP10030","50000","MOP10030","5","STN00001","100"
"LGA00001","10006","6","MOP10028","100000","MOP10028","5","STN00001","200"
"LGA00001","10007","7","MOP10026","200000","MOP10026","5","STN00001","500"
"LGA00001","10008","8","MOP10024","350000","MOP10024","5","STN00001","800"
"LGA00001","10009","9","MOP10022","500000","MOP10022","5","STN00001","1200"
"LGA00001","10010","10","MOP10030","750000","MOP10030","5","STN00001","1500"
"LGA00001","10011","11","MOP10030","1000000","MOP10030","10","STN00001","2000"
