"id","type","descripiton","hp_percent","turn","atrribute","type_attribute","number","oper"
"DSR01001","DST00001","不使用复活过关。","","","","","","5"
"DSR02001","DST00002","不触发捕兽夹。","","","","","","5"
"DSR03001","DST00003","不触发首领狂暴状态。","","","","","","5"
"DSR04001","DST00004","受到伤害低于3000点。","","","","","3000","3"
"DSR04002","DST00004","受到伤害低于6000点。","","","","","6000","3"
"DSR04003","DST00004","受到伤害低于9000点。","","","","","9000","3"
"DSR04004","DST00004","受到伤害低于12000点。",""," ","","","12000","3"
"DSR05001","DST00005","释放2次以上主动技。","","","","","2","2"
"DSR05002","DST00005","释放4次以上主动技。","","","","","4","2"
"DSR05003","DST00005","释放6次以上主动技。","","","","","6","2"
"DSR05004","DST00005","释放8次以上主动技。","","","","","8","2"
"DSR06001","DST00006","释放3次以上连锁技。","","","","","3","2"
"DSR06002","DST00006","释放5次以上连锁技。","","","","","5","2"
"DSR06003","DST00006","释放7次以上连锁技。","","","","","7","2"
"DSR06004","DST00006","释放9次以上连锁技。","","","","","9","2"
"DSR07001","DST00007","携带1名火属性英雄过关。","","","1","","1","2"
"DSR07002","DST00007","携带2名火属性英雄过关。","","","1","","2","2"
"DSR07003","DST00007","携带3名火属性英雄过关。","","","1","","3","2"
"DSR07004","DST00007","携带4名火属性英雄过关。","","","1","","4","2"
"DSR07005","DST00007","携带1名水属性英雄过关。","","","2","","1","2"
"DSR07006","DST00007","携带2名水属性英雄过关。","","","2","","2","2"
"DSR07007","DST00007","携带3名水属性英雄过关。","","","2","","3","2"
"DSR07008","DST00007","携带4名水属性英雄过关。","","","2","","4","2"
"DSR07009","DST00007","携带1名雷属性英雄过关。","","","3","","1","2"
"DSR07010","DST00007","携带2名雷属性英雄过关。","","","3","","2","2"
"DSR07011","DST00007","携带3名雷属性英雄过关。","","","3","","3","2"
"DSR07012","DST00007","携带4名雷属性英雄过关。","","","3","","4","2"
"DSR07013","DST00007","携带1名森属性英雄过关。","","","4","","1","2"
"DSR07014","DST00007","携带2名森属性英雄过关。","","","4","","2","2"
"DSR07015","DST00007","携带3名森属性英雄过关。","","","4","","3","2"
"DSR07016","DST00007","携带4名森属性英雄过关。","","","4","","4","2"
"DSR08001","DST00008","不携带火属性英雄过关。","","","1","","1","3"
"DSR08002","DST00008","不携带水属性英雄过关。","","","2","","1","3"
"DSR08003","DST00008","不携带雷属性英雄过关。","","","3","","1","3"
"DSR08004","DST00008","不携带森属性英雄过关。","","","4","","1","3"
"DSR09001","DST00009","携带1名输出型英雄过关。","","","","2","1","2"
"DSR09002","DST00009","携带2名输出型英雄过关。","","","","2","2","2"
"DSR09003","DST00009","携带3名输出型英雄过关。","","","","2","3","2"
"DSR09004","DST00009","携带4名输出型英雄过关。","","","","2","4","2"
"DSR09005","DST00009","携带1名坦克型英雄过关。","","","","1","1","2"
"DSR09006","DST00009","携带2名坦克型英雄过关。","","","","1","2","2"
"DSR09007","DST00009","携带3名坦克型英雄过关。","","","","1","3","2"
"DSR09008","DST00009","携带4名坦克型英雄过关。","","","","1","4","2"
"DSR09009","DST00009","携带1名辅助型英雄过关。","","","","3","1","2"
"DSR09010","DST00009","携带2名辅助型英雄过关。","","","","3","2","2"
"DSR09011","DST00009","携带3名辅助型英雄过关。","","","","3","3","2"
"DSR09012","DST00009","携带4名辅助型英雄过关。","","","","3","4","2"
"DSR10001","DST00010","不携带输出型英雄过关。","","","","2","1","3"
"DSR10002","DST00010","不携带坦克型英雄过关。","","","","1","1","3"
"DSR10003","DST00010","不携带辅助型英雄过关。","","","","3","1","3"
"DSR11001","DST00011","达成10连击数。","","","","","10","2"
"DSR11002","DST00011","达成15连击数。","","","","","15","2"
"DSR11003","DST00011","达成20连击数。","","","","","20","2"
"DSR11004","DST00011","达成25连击数。","","","","","25","2"
"DSR11005","DST00011","达成30连击数。","","","","","30","2"
"DSR11006","DST00011","达成35连击数。","","","","","35","2"
"DSR12001","DST00012","达成10连锁数。","","","","","10","2"
"DSR12002","DST00012","达成15连锁数。","","","","","15","2"
"DSR12003","DST00012","达成20连锁数。","","","","","20","2"
"DSR12004","DST00012","达成25连锁数。","","","","","25","2"
"DSR12005","DST00012","达成30连锁数。","","","","","30","2"
"DSR12006","DST00012","达成35连锁数。","","","","","35","2"
"DSR13001","DST00013","30%血量以上过关。","30000","","","","","2"
"DSR13002","DST00013","40%血量以上过关。","40000","","","","","2"
"DSR13003","DST00013","50%血量以上过关。","50000","","","","","2"
"DSR13004","DST00013","60%血量以上过关。","60000","","","","","2"
"DSR13005","DST00013","70%血量以上过关。","70000","","","","","2"
"DSR13006","DST00013","80%血量以上过关。","80000","","","","","2"
"DSR14001","DST00014","4回合内完成最后一层。","","4","","","","4"
"DSR14002","DST00014","5回合内完成最后一层。","","5","","","","4"
"DSR14003","DST00014","6回合内完成最后一层。","","6","","","","4"
"DSR14004","DST00014","7回合内完成最后一层。","","7","","","","4"
"DSR14005","DST00014","8回合内完成最后一层。","","8","","","","4"
"DSR14006","DST00014","9回合内完成最后一层。","","9","","","","4"
"DSR15001","DST00015","破坏障碍物1个。","","","","","1","2"
"DSR15002","DST00015","破坏障碍物2个。","","","","","2","2"
"DSR15003","DST00015","破坏障碍物3个。","","","","","3","2"
"DSR15004","DST00015","破坏障碍物4个。","","","","","4","2"
"DSR15005","DST00015","破坏障碍物5个。","","","","","5","2"
"DSR15006","DST00015","破坏障碍物6个。","","","","","6","2"
