"id","monster_id","name","boss","move_ai","movable_count","attack_ai","attackable_count","ai_change_type","ai_percent","ai_point","hp","parts_count","attack","defense","critical","accuracy","miss","position_restriction","x","y","attribute","drop_coin","drop_material1","material_rate1","drop_material2","material_rate2","drop_material3","material_rate3","drop_piece","drop_piece_number","drop_level"
"EEN02001","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","33","MTR10190","100000","","","","","","",""
"EEN02002","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","28","","","","","","","","",""
"EEN02003","MON10001","火元素","0","MAI00005","1","AAI00002","1","","","","2288","99","965","114","0","100000","0","3","-1","-1","1","31","","","","","","","","",""
"EEN02004","MON10068","火灵兔","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","1072","99","1","229","0","100000","0","3","-1","-1","1","9","","","","","","","","",""
"EEN02005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02006","MON10007","狂怒的奥格瑞玛步兵","0","MAI00005","1","AAI00001","1","","","","786","99","2788","0","0","100000","0","3","-1","-1","1","40","","","","","","","","",""
"EEN02007","MON10069","火小恶魔","0","MAI00005","2","AAI00002","2","","","","1931","99","1501","57","0","100000","0","3","-1","-1","1","39","","","","","","","","",""
"EEN02008","MON10001","火元素","0","MAI00005","1","AAI00002","1","","","","2288","99","965","114","0","100000","0","3","-1","-1","1","36","","","","","","","","",""
"EEN02009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02011","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","29","MTR10191","100000","","","","","","",""
"EEN02012","MON10003","狂怒矿工","0","MAI00005","2","AAI00002","1","","","","1573","99","1359","0","0","100000","0","3","-1","-1","1","32","","","","","","","","",""
"EEN02013","MON10007","狂怒的奥格瑞玛步兵","0","MAI00005","1","AAI00001","1","","","","786","99","2788","0","0","100000","0","3","-1","-1","1","40","","","","","","","","",""
"EEN02014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02016","MON10069","火小恶魔","0","MAI00005","2","AAI00002","2","","","","1931","99","1501","57","0","100000","0","3","-1","-1","1","35","","","","","","","","",""
"EEN02017","MON10001","火元素","0","MAI00005","1","AAI00002","1","","","","2288","99","965","114","0","100000","0","3","-1","-1","1","35","","","","","","","","",""
"EEN02018","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","31","","","","","","","","",""
"EEN02019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02021","MON10003","狂怒矿工","0","MAI00005","2","AAI00002","1","","","","1573","99","1359","0","0","100000","0","3","-1","-1","1","31","MTR10192","100000","","","","","","",""
"EEN02022","MON10007","狂怒的奥格瑞玛步兵","0","MAI00005","1","AAI00001","1","","","","786","99","2788","0","0","100000","0","3","-1","-1","1","31","","","","","","","","",""
"EEN02023","MON10069","火小恶魔","0","MAI00005","2","AAI00002","2","","","","1931","99","1501","57","0","100000","0","3","-1","-1","1","37","","","","","","","","",""
"EEN02024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02026","MON10001","火元素","0","MAI00005","1","AAI00002","1","","","","2288","99","965","114","0","100000","0","3","-1","-1","1","34","MTR10130","100000","","","","","","",""
"EEN02027","MON10001","火元素","0","MAI00005","1","AAI00002","1","","","","2288","99","965","114","0","100000","0","3","-1","-1","1","36","","","","","","","","",""
"EEN02028","MON10003","狂怒矿工","0","MAI00005","2","AAI00002","1","","","","1573","99","1359","0","0","100000","0","3","-1","-1","1","28","","","","","","","","",""
"EEN02029","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
