"id","dungeon_id","probability","exp","door_x","player_x","player_y","boss_map","boss","boss_piece_drop_rate","boss_coin_drop_rate","boss_material_drop_rate","enemy_1","piece_drop_rate_1","coin_drop_rate_1","material_drop_rate_1","enemy_2","piece_drop_rate_2","coin_drop_rate_2","material_drop_rate_2","enemy_3","piece_drop_rate_3","coin_drop_rate_3","material_drop_rate_3","enemy_4","piece_drop_rate_4","coin_drop_rate_4","material_drop_rate_4","enemy_5","piece_drop_rate_5","coin_drop_rate_5","material_drop_rate_5","enemy_6","piece_drop_rate_6","coin_drop_rate_6","material_drop_rate_6","gimmick_id1","gimmick_id2","gimmick_id3","gimmick_id4","gimmick_id5","item_id1","item_id2","item_id3","item_id4","item_id5"
"ELM0010","ELD00004","50000","2","3","3","1","0","","","","","EEN02001","0","20000","80000","EEN02002","0","100000","0","EEN02003","0","100000","0","EEN02004","0","100000","0","","","","","","","","","NGM00023","NGM00007","NGM00031","","","ITM00001","","","",""
"ELM0012","ELD00004","50000","3","3","3","1","0","","","","","EEN02011","0","20000","80000","EEN02012","0","100000","0","EEN02013","0","100000","0","","","","","","","","","","","","","NGM00011","NGM00022","NGM00022","","","","","","",""
"ELM0014","ELD00004","1","7","3","3","1","1","EEN02126","0","15000","85000","EEN02021","0","20000","80000","EEN02022","0","100000","0","EEN02023","0","100000","0","","","","","","","","","","","","","","","","","","ITM00001","","","",""
"ELM0015","ELD00005","50000","2","3","3","1","0","","","","","EEN02026","0","20000","80000","EEN02027","0","100000","0","EEN02028","0","100000","0","","","","","","","","","","","","","NGM00023","NGM00022","NGM00031","","","ITM00001","","","",""
"ELM0017","ELD00005","50000","3","3","3","1","0","","","","","EEN02036","0","10000","90000","EEN02037","0","100000","0","EEN02038","0","100000","0","EEN02039","0","100000","0","","","","","","","","","NGM00011","NGM00023","NGM00023","","","","","","",""
"ELM0019","ELD00005","1","7","3","3","1","1","EEN02127","40000","20000","40000","EEN02046","0","20000","80000","EEN02047","0","100000","0","EEN02048","0","100000","0","","","","","","","","","","","","","","","","","","ITM00001","","","",""
"ELM0020","ELD00006","50000","2","3","3","1","0","","","","","EEN02051","0","20000","80000","EEN02052","0","100000","0","EEN02053","0","100000","0","","","","","","","","","","","","","NGM00011","NGM00031","NGM00031","","","ITM00001","","","",""
"ELM0022","ELD00006","50000","3","3","3","1","0","","","","","EEN02061","0","20000","80000","EEN02062","0","100000","0","EEN02063","0","100000","0","","","","","","","","","","","","","NGM00011","NGM00031","NGM00023","","","","","","",""
"ELM0024","ELD00006","1","7","3","3","1","1","EEN02128","0","15000","85000","EEN02071","0","20000","80000","EEN02072","0","100000","0","EEN02073","0","100000","0","","","","","","","","","","","","","","","","","","ITM00001","","","",""
"ELM0025","ELD00007","50000","2","3","3","1","0","","","","","EEN02076","0","20000","80000","EEN02077","0","100000","0","EEN02078","0","100000","0","EEN02079","0","100000","0","","",""," ","","","","","NGM00023","NGM00006","NGM00031","","","ITM00001","","","",""
"ELM0027","ELD00007","50000","3","3","3","1","0","","","","","EEN02086","0","20000","80000","EEN02087","0","100000","0","EEN02088","0","100000","0","EEN02089","0","100000","0","","","","","","","","","NGM00011","NGM00022","NGM00023","","","","","","",""
"ELM0029","ELD00007","1","7","3","3","1","1","EEN02129","0","15000","85000","EEN02096","0","20000","80000","EEN02097","0","100000","0","EEN02098","0","100000","0","EEN02099","0","100000","0","","","","","","","","","","","","","","ITM00001","","","",""
"ELM0030","ELD00008","50000","2","3","3","1","0","","","","","EEN02101","0","20000","80000","EEN02102","0","100000","0","EEN02103","0","100000","0","EEN02104","0","100000","0","","","","","","","","","NGM00013","NGM00022","NGM00022","","","ITM00001","","","",""
"ELM0032","ELD00008","50000","3","3","3","1","0","","","","","EEN02111","0","10000","90000","EEN02112","0","100000","0","EEN02113","0","100000","0","EEN02114","0","20000","80000","","","","","","","","","NGM00023","NGM00031","NGM00031","","","","","","",""
"ELM0034","ELD00008","1","7","3","3","1","1","EEN02130","40000","20000","40000","EEN02121","0","20000","80000","EEN02122","0","100000","0","EEN02123","0","100000","0","EEN02124","0","100000","0","","","","","","","","","","","","","","ITM00001","","","",""
"ELM0035","ELD00009","50000","2","3","3","1","0","","","","","EEN03001","0","10000","90000","EEN03002","0","100000","0","EEN03003","0","100000","0","","","","","","","","","","","","","NGM00011","NGM00011","NGM00003","","","ITM00001","","","",""
"ELM0037","ELD00009","50000","3","3","3","1","0","","","","","EEN03011","0","20000","80000","EEN03012","0","100000","0","EEN03013","0","100000","0","","","","","","","","","","","","","NGM00011","NGM00011","NGM00024","","","","","","",""
"ELM0039","ELD00009","1","7","3","3","1","1","EEN03126","0","15000","85000","EEN03021","0","20000","80000","EEN03022","0","100000","0","EEN03023","0","100000","0","","","","","","","","","","","","","","","","","","ITM00001","","","",""
"ELM0040","ELD00010","50000","2","3","3","1","0","","","","","EEN03026","0","20000","80000","EEN03027","0","100000","0","EEN03028","0","100000","0","","","","","","","","","","","","","NGM00011","NGM00009","NGM00003","","","ITM00001","","","",""
"ELM0042","ELD00010","50000","3","3","3","1","0","","","","","EEN03036","0","20000","80000","EEN03037","0","100000","0","EEN03038","0","100000","0","EEN03039","0","100000","0","","","","","","","","","NGM00011","NGM00009","NGM00024","","","","","","",""
"ELM0044","ELD00010","1","7","3","3","1","1","EEN03127","40000","20000","40000","EEN03046","0","20000","80000","EEN03047","0","100000","0","EEN03048","0","100000","0","","","","","","","","","","","","","","","","","","ITM00001","","","",""
"ELM0045","ELD00011","50000","2","3","3","1","0","","","","","EEN03051","0","20000","80000","EEN03052","0","100000","0","EEN03053","0","100000","0","","","","","","","","","","","","","NGM00089","NGM00003","NGM00003","","","ITM00001","","","",""
"ELM0047","ELD00011","50000","3","3","3","1","0","","","","","EEN03061","0","20000","80000","EEN03062","0","100000","0","EEN03063","0","100000","0","","","","","","","","","","","","","NGM00089","NGM00089","NGM00024","","","","","","",""
"ELM0049","ELD00011","1","7","3","3","1","1","EEN03128","0","15000","85000","EEN03071","0","20000","80000","EEN03072","0","100000","0","EEN03073","0","100000","0","EEN03074","0","100000","0","","","","","","","","","","","","","","ITM00001","","","",""
"ELM0050","ELD00012","50000","2","3","3","1","0","","","","","EEN03076","0","10000","90000","EEN03077","0","100000","0","EEN03078","0","100000","0","","","","","","","","","","","","","NGM00011","NGM00009","NGM00024","","","ITM00001","","","",""
"ELM0052","ELD00012","50000","3","3","3","1","0","","","","","EEN03086","0","20000","80000","EEN03087","0","100000","0","EEN03088","0","100000","0","EEN03089","0","100000","0","","","","","","","","","NGM00011","NGM00003","NGM00003","","","","","","",""
