"id","type","positive_state","negative_state","attribute1","attribute2","attribute_change_count","percent","multiplier","range","range2","target","attack_through","turn","point","point2","absorptance","blow_off_distance","blow_off_vector","non_target_attack","attackable_areas","attack_area","animation","animation_effect","animation_se","animation_ccb","animation_motion_label","animation_speed","animation_speed
(输入用）","animation_easing","animation_effect_count","animation_effect_interval","animation_shake_timing"
"AAI00001","AAT00005","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","1","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00002","AAT00005","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00003","AAT00005","0","0","0","0","0","0","100000","8","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00003","AAE00032","","","0","7500",".075","0","0","0","0"
"AAI00004","AAT00021","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","1","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00005","AAT00005","0","1","0","0","0","20000","100000","1","0","","0","3","5000","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00006","AAT00005","0","2","0","0","0","10000","100000","1","0","","0","1","0","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00007","AAT00012","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","2","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00008","AAT00014","0","0","0","0","0","0","100000","8","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00002","AAE00056","AAE00061","","1","5000",".05","0","0","0","2"
"AAI00009","AAT00016","0","0","0","0","0","66666","100000","0","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00004","AAE00005","AAE00005","","1","0","0","0","8","8000","0"
"AAI00010","AAT00005","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00011","AAT00020","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","1","0_0","0","0","0_0","AAA00006","AAE00006","AAE00006","","1","0","0","0","0","0","0"
"AAI00012","AAT00020","0","0","0","0","0","0","100000","2","0","","0","0","0","0","0","1","0_0","0","0","0_0","AAA00006","AAE00058","AAE00058","","1","0","0","0","0","0","0"
"AAI00013","AAT00016","0","0","0","0","0","66666","100000","0","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00005","AAE00004","AAE00004","","2","0","0","0","40","5000","1"
"AAI00014","AAT00021","0","0","0","0","0","0","100000","1","0","","0","1","0","0","0","1","0_0","0","0","0_0","AAA00007","","AAE00008","","2","0","0","0","0","0","0"
"AAI00015","AAT00022","0","0","0","0","0","25000","100000","8","0","","0","0","0","0","0","8","0_0","0","0","0_0","AAA00008","AAE00064","AAE00059","","2","10000",".1","0","0","0","3"
"AAI00016","AAT00012","0","0","0","0","0","0","100000","1","0","","0","1","0","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00017","AAT00012","0","0","0","0","0","0","100000","1","0","","0","1","0","0","0","0","0_0","0","0","0_0","AAA00007","","AAE00009","","1","0","0","0","0","0","0"
"AAI00018","AAT00005","0","0","0","0","0","0","100000","8","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00003","AAE00010","AAE00010","","1","7500",".075","0","0","0","0"
"AAI00019","AAT00023","0","0","0","0","0","0","100000","0","0","","0","0","0","0","0","0","0_0","0","6","0_0","AAA00009","AAE00025","AAE00025","","2","0","0","0","0","20000","2"
"AAI00020","AAT00021","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00021","AAT00016","0","0","0","0","0","100000","100000","0","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00010","AAE00026","","SKE20001","1","0","0","0","0","0","0"
"AAI00022","AAT00012","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","1","0_0","0","0","0_0","AAA00001","AAE00054","AAE00007","","0","0","0","0","0","0","0"
"AAI00023","AAT00021","0","6","0","0","0","30000","100000","1","0","","0","1","0","0","0","0","0_0","0","0","0_0","AAA00007","AAE00020","AAE00020","","1","0","0","0","0","0","2"
"AAI00024","AAT00005","0","0","0","0","0","0","100000","8","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00002","","AAE00013","","1","5000",".05","0","0","0","0"
"AAI00025","AAT00005","0","0","0","0","0","0","100000","8","0","","0","8","0","0","0","8","0_0","0","0","0_0","AAA00011","AAE00027","AAE00027","","0","7500",".075","200","0","0","0"
"AAI00026","AAT00026","0","0","0","0","0","0","100000","2","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00012","","","","1","7500",".075","0","0","0","0"
"AAI00027","AAT00021","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","1","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00028","AAT00005","0","7","0","0","0","35000","100000","8","0","","0","3","0","0","0","0","0_0","0","0","0_0","AAA00003","AAE00061","AAE00012","","0","7500",".075","0","0","0","0"
"AAI00029","AAT00005","0","8","0","0","0","35000","100000","8","0","","0","3","0","0","0","0","0_0","0","0","0_0","AAA00003","AAE00012","AAE00012","","0","7500",".075","0","0","0","0"
"AAI00030","AAT00005","0","9","0","0","0","35000","100000","8","0","","0","3","0","0","0","0","0_0","0","0","0_0","AAA00003","AAE00059","AAE00012","","0","7500",".075","0","0","0","0"
"AAI00031","AAT00005","0","10","0","0","0","35000","100000","8","0","","0","3","0","0","0","0","0_0","0","0","0_0","AAA00003","AAE00060","AAE00012","","0","7500",".075","0","0","0","0"
"AAI00032","AAT00005","0","3","0","0","0","30000","100000","8","0","","0","3","0","0","0","0","0_0","0","0","0_0","AAA00003","","","","0","7500",".075","0","0","0","0"
"AAI00033","AAT00005","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","8","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00034","AAT00005","0","1","0","0","0","20000","100000","8","0","","0","3","5000","0","0","0","0_0","0","0","0_0","AAA00003","AAE00017","","","0","7500",".075","0","0","0","0"
"AAI00035","AAT00005","0","2","0","0","0","10000","100000","8","0","","0","1","0","0","0","0","0_0","0","0","0_0","AAA00003","AAE00017","","","0","7500",".075","0","0","0","0"
"AAI00036","AAT00027","0","0","0","0","0","0","100000","8","0","","0","0","0","0","0","8","0_0","0","0","0_0","AAA00013","AAE00028","AAE00028","","0","10000",".1","150","0","0","2"
"AAI00037","AAT00016","0","6","0","0","0","40000","150000","0","0","","0","1","0","0","0","0","0_0","0","0","0_0","AAA00005","AAE00001","AAE00001","","1","0","0","0","20","5000","2"
"AAI00038","AAT00028","0","0","0","0","0","0","300000","1","0","","0","0","0","0","0","1","0_0","0","0","0_0","AAA00014","AAE00029","AAE00029","","1","0","0","0","0","0","2"
"AAI00039","AAT00021","0","9","0","0","0","35000","100000","1","0","","0","3","0","0","0","0","0_0","0","0","0_0","AAA00007","","","","0","0","0","0","0","0","0"
"AAI00040","AAT00021","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00043","AAT00005","0","0","0","0","0","0","50000","8","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00003","","","","0","7500",".075","0","0","0","0"
"AAI00044","AAT00030","0","0","0","0","0","10000","0","0","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00016","","","","0","0","0","0","0","0","0"
"AAI00045","AAT00029","0","0","0","0","0","0","100000","1","3","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00015","AAE00044","","","0","0","0","0","0","0","0"
"AAI00046","AAT00031","0","0","0","0","0","100000","100000","1","0","","0","3","0","0","0","0","0_0","0","0","0_0","AAA00012","AAE00022","AAE00022","","1","7500",".075","0","0","0","0"
"AAI00047","AAT00031","0","0","0","0","0","0","200000","1","0","","0","0","2","0","0","0","0_0","0","0","0_0","AAA00007","AAE00021","AAE00021","","1","0","0","0","0","0","0"
"AAI00048","AAT00030","0","0","0","0","0","30000","0","0","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00016","","","","0","0","0","0","0","0","0"
"AAI00049","AAT00012","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00050","AAT00021","0","3","0","0","0","40000","100000","1","0","","0","3","0","0","0","3","0_0","0","0","0_0","AAA00007","AAE00023","","","1","0","0","0","0","0","0"
"AAI00051","AAT00012","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","1","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00052","AAT00016","0","7","0","0","0","80000","130000","0","0","","0","3","0","0","0","0","0_0","0","0","0_0","AAA00005","AAE00003","AAE00003","","2","0","0","0","20","5000","2"
"AAI00053","AAT00016","0","10","0","0","0","80000","130000","0","0","","0","3","0","0","0","0","0_0","0","0","0_0","AAA00005","AAE00003","AAE00003","","2","0","0","0","20","5000","2"
"AAI00054","AAT00016","0","9","0","0","0","80000","130000","0","0","","0","3","0","0","0","0","0_0","0","0","0_0","AAA00005","AAE00003","AAE00003","","2","0","0","0","20","5000","2"
"AAI00055","AAT00012","0","1","0","0","0","50000","100000","1","0","","0","3","10000","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00056","AAT00012","0","1","0","0","0","50000","100000","1","0","","0","3","10000","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00057","AAT00012","0","1","0","0","0","80000","100000","1","0","","0","3","10000","0","0","0","0_0","0","0","0_0","AAA00007","AAE00024","","","1","0","0","0","0","0","0"
"AAI00058","AAT00012","0","1","0","0","0","80000","200000","1","0","","0","3","10000","0","0","0","0_0","0","0","0_0","AAA00007","AAE00024","","","1","0","0","0","0","0","0"
"AAI00059","AAT00005","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00060","AAT00022","0","0","0","0","0","25000","100000","8","0","","0","0","0","0","0","8","0_0","0","0","0_0","AAA00008","","AAE00059","","2","10000",".1","0","0","0","3"
