"id","type","sort_id","user_equipment_name","item_id","rarity","req_gold","rarity_3_material","rarity_3_quantity","rarity_4_material","rarity_4_quantity","rarity_5_material","rarity_5_quantity","coming_soon"
"10001","1","1","燃火者","WPN11001|WPN11002|WPN11003","3|4|5","3000|30000|150000","MTR00003|MTR00011|MTR00012","3|2|1","MTR00003|MTR00011|MTR00012|MTR00013","20|10|5|3","MTR00003|MTR00011|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10002","1","2","龙脊战斧","WPN12001|WPN12002|WPN12003","3|4|5","3000|30000|150000","MTR00003|MTR00009|MTR00012","3|2|1","MTR00003|MTR00009|MTR00012|MTR00013","20|10|5|3","MTR00003|MTR00009|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10003","1","3","炽燃灰刺","WPN13001|WPN13002|WPN13003","3|4|5","3000|30000|150000","MTR00003|MTR00008|MTR00012","3|2|1","MTR00003|MTR00008|MTR00012|MTR00013","20|10|5|3","MTR00003|MTR00008|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10004","1","4","烈焰之眼","WPN14001|WPN14002|WPN14003","3|4|5","3000|30000|150000","MTR00003|MTR00010|MTR00012","3|2|1","MTR00003|MTR00010|MTR00012|MTR00013","20|10|5|3","MTR00003|MTR00010|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10005","1","5","血火法杖","WPN15001|WPN15002|WPN15003","3|4|5","3000|30000|150000","MTR00003|MTR00007|MTR00012","3|2|1","MTR00003|MTR00007|MTR00012|MTR00013","20|10|5|3","MTR00003|MTR00007|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10006","1","6","寒冰獠牙","WPN21001|WPN21002|WPN21003","3|4|5","3000|30000|150000","MTR00002|MTR00011|MTR00012","3|2|1","MTR00002|MTR00011|MTR00012|MTR00013","20|10|5|3","MTR00002|MTR00011|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10007","1","7","冷冽阔斧","WPN22001|WPN22002|WPN22003","3|4|5","3000|30000|150000","MTR00002|MTR00009|MTR00012","3|2|1","MTR00002|MTR00009|MTR00012|MTR00013","20|10|5|3","MTR00002|MTR00009|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10008","1","8","剔骨夜刃","WPN23001|WPN23002|WPN23003","3|4|5","3000|30000|150000","MTR00002|MTR00008|MTR00012","3|2|1","MTR00002|MTR00008|MTR00012|MTR00013","20|10|5|3","MTR00002|MTR00008|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10009","1","9","霜噬长弓","WPN24001|WPN24002|WPN24003","3|4|5","3000|30000|150000","MTR00002|MTR00010|MTR00012","3|2|1","MTR00002|MTR00010|MTR00012|MTR00013","20|10|5|3","MTR00002|MTR00010|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10010","1","10","本能之柱","WPN25001|WPN25002|WPN25003","3|4|5","3000|30000|150000","MTR00002|MTR00007|MTR00012","3|2|1","MTR00002|MTR00007|MTR00012|MTR00013","20|10|5|3","MTR00002|MTR00007|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10011","1","11","雷霆之锋","WPN31001|WPN31002|WPN31003","3|4|5","3000|30000|150000","MTR00004|MTR00011|MTR00012","3|2|1","MTR00004|MTR00011|MTR00012|MTR00013","20|10|5|3","MTR00004|MTR00011|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10012","1","12","窃取者","WPN32001|WPN32002|WPN32003","3|4|5","3000|30000|150000","MTR00004|MTR00009|MTR00012","3|2|1","MTR00004|MTR00009|MTR00012|MTR00013","20|10|5|3","MTR00004|MTR00009|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10013","1","13","暗影碎片","WPN33001|WPN33002|WPN33003","3|4|5","3000|30000|150000","MTR00004|MTR00008|MTR00012","3|2|1","MTR00004|MTR00008|MTR00012|MTR00013","20|10|5|3","MTR00004|MTR00008|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
