"id","no","quantity","relative_odds","absolute_odds","total_abs_odds"
"1","MON20054","1","200","5.55555555555556E-02","5.55555555555556E-02"
"2","MON30054","1","200","5.55555555555556E-02",".111111111111111"
"3","MON10057","1","200","5.55555555555556E-02",".166666666666667"
"4","MON20057","1","200","5.55555555555556E-02",".222222222222222"
"5","MON30057","1","200","5.55555555555556E-02",".277777777777778"
"6","MON40057","1","200","5.55555555555556E-02",".333333333333333"
"7","MON10060","1","200","5.55555555555556E-02",".388888888888889"
"8","MON20060","1","200","5.55555555555556E-02",".444444444444444"
"9","MON30067","1","200","5.55555555555556E-02",".5"
"10","MON40064","1","200","5.55555555555556E-02",".555555555555556"
"11","MON10065","1","200","5.55555555555556E-02",".611111111111111"
"12","MON20065","1","200","5.55555555555556E-02",".666666666666667"
"13","MON30068","1","200","5.55555555555556E-02",".722222222222222"
"14","MON40065","1","200","5.55555555555556E-02",".777777777777778"
"15","MON10074","1","200","5.55555555555556E-02",".833333333333333"
"16","MON30077","1","200","5.55555555555556E-02",".888888888888889"
"17","MON40074","1","200","5.55555555555556E-02",".944444444444444"
"18","MON20075","1","200","5.55555555555556E-02","1"
