"no","name","attribute","possibility","icon_no","quantity","money_type","cost"
"1","刘备碎片","6","500","MOP10022","2","4","180"
"2","赵云碎片","6","500","MOP10024","2","4","180"
"3","张飞碎片","6","500","MOP10026","2","4","180"
"4","关羽碎片","6","500","MOP10028","2","4","180"
"5","高级强化石","5","500","STS00002","3","4","10"
"6","超级强化石","5","500","STS00003","2","4","25"
"7","大型燃烧南瓜","5","500","PUM10002","3","4","10"
"8","巨型燃烧南瓜","5","500","PUM10003","2","4","25"
"9","大型冰冷南瓜","5","500","PUM20002","3","4","10"
"10","巨型冰冷南瓜","5","500","PUM20003","2","4","25"
"11","大型雷鸣南瓜","5","500","PUM30002","3","4","10"
"12","巨型雷鸣南瓜","5","500","PUM30003","2","4","25"
"13","大型石化南瓜","5","500","PUM40002","3","4","10"
"14","巨型石化南瓜","5","500","PUM40003","2","4","25"
"15","强化石","4","500","STS00001","5","4","2"
"16","高级强化石","4","500","STS00002","2","4","5"
"17","小型燃烧南瓜","4","500","PUM10001","5","4","2"
"18","大型燃烧南瓜","4","500","PUM10002","2","4","5"
"19","小型冰冷南瓜","4","500","PUM20001","5","4","2"
"20","大型冰冷南瓜","4","500","PUM20002","2","4","5"
"21","小型雷鸣南瓜","4","500","PUM30001","5","4","2"
"22","大型雷鸣南瓜","4","500","PUM30002","2","4","5"
"23","小型石化南瓜","4","500","PUM40001","5","4","2"
"24","大型石化南瓜","4","500","PUM40002","2","4","5"
"25","战败头盔","3","500","MTR00005","2","4","7"
"26","战败胸甲","3","500","MTR00006","2","4","7"
"27","战败魔杖","3","500","MTR00007","1","4","12"
"28","战败匕首","3","500","MTR00008","1","4","12"
"29","战败巨斧","3","500","MTR00009","1","4","12"
"30","战败强弓","3","500","MTR00010","1","4","12"
"31","战败长剑","3","500","MTR00011","1","4","12"
"32","氪金圣剑卷轴","2","500","MTR10224","1","4","10"
"33","氪金重枪卷轴","2","500","MTR10223","1","4","10"
"34","皇家召令","2","500","MTR10116","1","4","10"
"35","兄弟会之剑卷轴","2","500","MTR10225","1","4","10"
"36","月布","2","500","MTR10050","1","4","10"
"37","三一护符卷轴","2","500","MTR10204","1","4","10"
"38","次级星界精华","2","500","MTR10102","1","4","10"
"39","皇紫晶","2","500","MTR10079","1","4","10"
"40","熔火肩甲","2","500","MTR10269","1","4","10"
"41","强效天界精华","2","500","MTR10107","1","4","10"
"42","抗辐射装置卷轴","1","500","MTR10196","1","4","5"
"43","时光之力卷轴","1","500","MTR10173","1","4","5"
"44","金矿石","1","500","MTR10054","1","4","5"
"45","毁灭项链卷轴","1","500","MTR10198","1","4","5"
"46","船长瞄准镜卷轴","1","500","MTR10166","1","4","5"
"47","蝎壳","1","500","MTR10069","1","4","5"
