"id","no","quantity","relative_odds","absolute_odds","total_abs_odds"
"1","PUM10001","3","2000","6.83760683760684E-02","6.83760683760684E-02"
"2","PUM10002","2","1000","3.41880341880342E-02",".102564102564103"
"3","PUM10003","1","500","1.70940170940171E-02",".11965811965812"
"4","PUM20001","3","2000","6.83760683760684E-02",".188034188034188"
"5","PUM20002","2","1000","3.41880341880342E-02",".222222222222222"
"6","PUM20003","1","500","1.70940170940171E-02",".239316239316239"
"7","PUM30001","3","2000","6.83760683760684E-02",".307692307692308"
"8","PUM30002","2","1000","3.41880341880342E-02",".341880341880342"
"9","PUM30003","1","500","1.70940170940171E-02",".358974358974359"
"10","PUM40001","3","2000","6.83760683760684E-02",".427350427350427"
"11","PUM40002","2","1000","3.41880341880342E-02",".461538461538462"
"12","PUM40003","1","500","1.70940170940171E-02",".478632478632479"
"13","STS00001","3","4000",".136752136752137",".615384615384615"
"14","STS00002","2","2000","6.83760683760684E-02",".683760683760684"
"15","STS00003","1","500","1.70940170940171E-02",".700854700854701"
"16","MTR00001","2","500","1.70940170940171E-02",".717948717948718"
"17","MTR00002","2","500","1.70940170940171E-02",".735042735042735"
"18","MTR00003","2","500","1.70940170940171E-02",".752136752136752"
"19","MTR00004","2","500","1.70940170940171E-02",".769230769230769"
"20","MTR00005","1","375","1.28205128205128E-02",".782051282051282"
"21","MTR00006","1","375","1.28205128205128E-02",".794871794871795"
"22","MTR00007","1","375","1.28205128205128E-02",".807692307692308"
"23","MTR00008","1","375","1.28205128205128E-02",".82051282051282"
"24","MTR00009","1","375","1.28205128205128E-02",".833333333333333"
"25","MTR00010","1","375","1.28205128205128E-02",".846153846153846"
"26","MTR00011","1","375","1.28205128205128E-02",".858974358974359"
"27","MTR00012","1","500","1.70940170940171E-02",".876068376068376"
"28","MTR00013","1","375","1.28205128205128E-02",".888888888888889"
"29","MTR00014","1","250","8.54700854700855E-03",".897435897435897"
"30","MOP10001","1","150","5.12820512820513E-03",".902564102564103"
"31","MOP10002","1","150","5.12820512820513E-03",".907692307692308"
"32","MOP10003","1","150","5.12820512820513E-03",".912820512820513"
"33","MOP10004","1","150","5.12820512820513E-03",".917948717948718"
"34","MOP10005","1","150","5.12820512820513E-03",".923076923076923"
"35","MOP10006","1","150","5.12820512820513E-03",".928205128205128"
"36","MOP10007","1","150","5.12820512820513E-03",".933333333333333"
"37","MOP10008","1","150","5.12820512820513E-03",".938461538461538"
"38","MOP10009","1","150","5.12820512820513E-03",".943589743589744"
"39","MOP10010","1","150","5.12820512820513E-03",".948717948717949"
"40","MOP10011","1","150","5.12820512820513E-03",".953846153846154"
"41","MOP10012","1","150","5.12820512820513E-03",".958974358974359"
"42","MOP10013","1","150","5.12820512820513E-03",".964102564102564"
"43","MOP10014","1","150","5.12820512820513E-03",".969230769230769"
"44","MOP10015","1","150","5.12820512820513E-03",".974358974358974"
"45","MOP10016","1","150","5.12820512820513E-03",".979487179487179"
"46","MOP10021","1","150","5.12820512820513E-03",".984615384615385"
"47","MOP10023","1","150","5.12820512820513E-03",".98974358974359"
"48","MOP10025","1","150","5.12820512820513E-03",".994871794871795"
"49","MOP10027","1","150","5.12820512820513E-03","1"
