"id","no","quantity","relative_odds","absolute_odds","total_abs_odds"
"1","PUM10001","3","2000",".072289156626506",".072289156626506"
"2","PUM10002","2","1000","4.81927710843374E-02",".120481927710843"
"3","PUM10003","1","500","2.40963855421687E-02",".144578313253012"
"4","PUM20001","3","2000",".072289156626506",".216867469879518"
"5","PUM20002","2","1000","4.81927710843374E-02",".265060240963855"
"6","PUM20003","1","500","2.40963855421687E-02",".289156626506024"
"7","PUM30001","3","2000",".072289156626506",".36144578313253"
"8","PUM30002","2","1000","4.81927710843374E-02",".409638554216867"
"9","PUM30003","1","500","2.40963855421687E-02",".433734939759036"
"10","PUM40001","3","2000",".072289156626506",".506024096385542"
"11","PUM40002","2","1000","4.81927710843374E-02",".55421686746988"
"12","PUM40003","1","500","2.40963855421687E-02",".578313253012048"
"13","STS00001","3","4000",".072289156626506",".650602409638554"
"14","STS00002","2","2000","4.81927710843374E-02",".698795180722892"
"15","STS00003","1","500","2.40963855421687E-02",".72289156626506"
"16","MTR00001","2","500","2.40963855421687E-02",".746987951807229"
"17","MTR00002","2","500","2.40963855421687E-02",".771084337349398"
"18","MTR00003","2","500","2.40963855421687E-02",".795180722891566"
"19","MTR00004","2","500","2.40963855421687E-02",".819277108433735"
"20","MTR00005","1","375","1.80722891566265E-02",".837349397590361"
"21","MTR00006","1","375","1.80722891566265E-02",".855421686746988"
"22","MTR00007","1","375","1.80722891566265E-02",".873493975903614"
"23","MTR00008","1","375","1.80722891566265E-02",".891566265060241"
"24","MTR00009","1","375","1.80722891566265E-02",".909638554216867"
"25","MTR00010","1","375","1.80722891566265E-02",".927710843373494"
"26","MTR00011","1","375","1.80722891566265E-02",".94578313253012"
"27","MTR00012","1","500","2.40963855421687E-02",".969879518072289"
"28","MTR00013","1","375","1.80722891566265E-02",".987951807228916"
"29","MTR00014","1","250","1.20481927710843E-02","1"
"30","MON10054","1","150","4.70957613814757E-03",".828885400313972"
"31","MON20054","1","150","4.70957613814757E-03",".833594976452119"
"32","MON30054","1","150","4.70957613814757E-03",".838304552590267"
"33","MON40054","1","150","4.70957613814757E-03",".843014128728414"
"34","MOP10001","1","250","7.84929356357928E-03",".850863422291994"
"35","MOP10002","1","250","7.84929356357928E-03",".858712715855573"
"36","MOP10003","1","250","7.84929356357928E-03",".866562009419152"
"37","MOP10004","1","250","7.84929356357928E-03",".874411302982732"
"38","MOP10005","1","250","7.84929356357928E-03",".882260596546311"
"39","MOP10006","1","250","7.84929356357928E-03",".89010989010989"
"40","MOP10007","1","250","7.84929356357928E-03",".897959183673469"
"41","MOP10008","1","250","7.84929356357928E-03",".905808477237049"
"42","MOP10009","1","250","7.84929356357928E-03",".913657770800628"
"43","MOP10010","1","250","7.84929356357928E-03",".921507064364207"
"44","MOP10011","1","250","7.84929356357928E-03",".929356357927786"
"45","MOP10012","1","250","7.84929356357928E-03",".937205651491366"
"46","MOP10013","1","250","7.84929356357928E-03",".945054945054945"
"47","MOP10014","1","250","7.84929356357928E-03",".952904238618524"
"48","MOP10015","1","250","7.84929356357928E-03",".960753532182104"
"49","MOP10016","1","250","7.84929356357928E-03",".968602825745683"
"50","MOP10021","1","250","7.84929356357928E-03",".976452119309262"
"51","MOP10023","1","250","7.84929356357928E-03",".984301412872841"
"52","MOP10025","1","250","7.84929356357928E-03",".992150706436421"
"53","MOP10027","1","250","7.84929356357928E-03","1"
