"name","title","info"
"normal_shop","商店说明","   [w在商店中，可以花费金币和少量符石购买大量的游戏道具。[n [n [w 商店道具自动刷新时间为每日的9时、12时、18时，手动刷新需花费一定符石。[n [n [w 不同商店之间手动刷新相互独立。"
"special_shop","黑市说明","   [w在黑市中，可以花费金币和符石购买稀有的游戏道具，这些道具仅在黑市中出售。[n [n [w 商店道具自动刷新时间为每日的9时、12时、18时，手动刷新需花费一定符石。[n [n [w 不同商店之间手动刷新相互独立。"
"pvp_shop","竞技场商店说明","   [w在天梯竞技场商店中，可以花费天梯点购买稀有的游戏道具，这些道具仅在天梯竞技场商店中出售。[n [n [w 商店道具自动刷新时间为每日的9时、12时、18时，手动刷新需花费一定符石。[n [n [w 不同商店之间手动刷新相互独立。"
"guild_shop","公会商店说明","   [w在公会商店中，可以花费公会币购买稀有的游戏道具，这些道具仅在公会商店中出售。[n [n [w 商店道具自动刷新时间为每日的9时、12时、18时，手动刷新需花费一定符石。[n [n [w 不同商店之间手动刷新相互独立。"
"hero","英雄说明","   [w战斗力说明:[n [w 英雄战斗力是衡量英雄是否强大的标志，由等级、星级、阶级、技能等级等因素影响。不同的英雄会有不同的成长曲线和技能。"
"blacksmith","打造说明","   [w战斗力说明:[n [w 装备战斗力是衡量装备是否强大的标志，由等级、星级、技能等级等因素影响。不同的装备会有不同的成长曲线和技能。"
"package","背包说明","   [w背包说明：[n [w 背包是用来存放还未使用的素材及道具的功能。[n [n [w 背包中物品堆叠数量最大为999件，若超过上限，多余的物品将丢失。"
"daily_mission","每日活动说明","   [w每日活动将指引玩家完成每日大部分的游戏内容，并给予大量经验值奖励。[n [n [w 每日任务将在每日0点重置，请在重置时间前领取当日奖励。"
"main_mission","任务说明","   [w任务将根据玩家游戏的探索收集的程度给予大量符石和金币奖励。[n [n [w 主线任务的每一个阶段只能够被完成一次。"
"treasure","宝藏秘境说明","   [w宝藏秘境将在每周一、三、五、日的00:00-23:59开放。[n [n [w 南瓜派对将掉落大量南瓜和强化石，金龙峡谷将掉落大量金币。"
"heroquest","英雄试炼说明","   [w英雄试炼将在每周二、四、六、日的00:00-23:59开放。[n [n [w 奥术神殿将掉落大量装备素材，神力山峰将掉落其他稀有素材。"
"guild","公会说明","   [w公会活跃度由公会人数、公会当日在线人数及公会成员在竞技场三方面的数据构成。[n [n [w 每日将根据公会活跃度向成员发放公会币，公会币可用于公会商店消费。[n [n [w 公会只能由会长解散，且解散前需要解散全体其他成员。[n [n [w 退出公会功能请到个人面板中使用，不要随便离开自己的朋友哦。"
"guild_send","公会派遣说明","   [w将英雄派遣到公会驻扎，每次英雄被使用都将给予双方公会币。[n [n [w 每次派遣为期24个小时，到期后公会币不再累计。"
"gold","普通召唤说明","   [w在普通召唤中，可花费金币购买1次或10次高级强化石，将获得附赠的神秘好礼。[n [n [w "
"stone","传说召唤说明","   [w在传说召唤中，可花费符石购买1次或10次超级强化石，将获得附赠的神秘好礼。[n [n [w 神秘好礼中有几率获得游戏中大部分的英雄。"
"northeuro","活动召唤说明","   [w在普通召唤中，可花费符石购买1次或10次超级强化石，将获得附赠的神秘好礼。[n [n [w 活动召唤将不定时出现，神秘好礼中包含限定主题英雄。"
"legend_dungeon","降临系统说明","   [w降临副本限时开启，在开启时间内每次通关降临副本不仅可获得积分，还可获得降临的主题英雄，在降临结束前可根据积分总数领取相应的积分奖励，降临结束后根据最高积分的排名还会通过邮件发放史诗英雄亚种及大量符石等排名奖励。"
"sanguo","魔镇虎牢","   [w魔镇虎牢副本开启时间为1月18日12:00时到2月5日24:00时，降临开启时间内玩家可挑战首领吕布，打败吕布可从中获得[r刘备、[l赵云、[a张飞、[g关羽、[r吕布等强力英雄。"
