"rankingL","rankingR","reward_name1","reward_number1","reward_name2","reward_number2","reward_name3","reward_number3","reward_name4","reward_number4","reward_name5","reward_number5","guild_honor"
"1","1","STN00001","275","CON00001","50000","LPT00001","400","","","","","550"
"2","2","STN00001","250","CON00001","47500","LPT00001","390","","","","","500"
"3","3","STN00001","225","CON00001","45000","LPT00001","375","","","","","450"
"4","4","STN00001","200","CON00001","42500","LPT00001","365","","","","","400"
"5","5","STN00001","175","CON00001","40000","LPT00001","350","","","","","350"
"6","6","STN00001","170","CON00001","37500","LPT00001","340","","","","","340"
"7","7","STN00001","165","CON00001","35000","LPT00001","330","","","","","330"
"8","8","STN00001","160","CON00001","32500","LPT00001","320","","","","","320"
"9","9","STN00001","155","CON00001","30000","LPT00001","310","","","","","310"
"10","10","STN00001","150","CON00001","27500","LPT00001","300","","","","","300"
"11","20","STN00001","125","CON00001","25000","LPT00001","295","","","","","250"
"21","30","STN00001","100","CON00001","22500","LPT00001","290","","","","","200"
"31","40","STN00001","75","CON00001","20000","LPT00001","280","","","","","150"
"41","50","STN00001","65","CON00001","17500","LPT00001","275","","","","","130"
"51","70","STN00001","55","CON00001","15000","LPT00001","265","","","","","110"
"71","100","STN00001","50","CON00001","13750","LPT00001","260","","","","","100"
"101","200","STN00001","45","CON00001","12500","LPT00001","250","","","","","90"
"201","300","STN00001","40","CON00001","11250","LPT00001","225","","","","","80"
"301","400","STN00001","35","CON00001","10000","LPT00001","215","","","","","70"
"401","500","STN00001","30","CON00001","9000","LPT00001","200","","","","","60"
"501","700","STN00001","30","CON00001","8000","LPT00001","175","","","","","55"
"701","1000","STN00001","30","CON00001","7000","LPT00001","150","","","","","55"
"1001","2000","STN00001","30","CON00001","6000","LPT00001","130","","","","","55"
"2001","3000","STN00001","25","CON00001","5000","LPT00001","110","","","","","50"
"3001","4000","STN00001","25","CON00001","4500","LPT00001","90","","","","","50"
"4001","5000","STN00001","25","CON00001","4000","LPT00001","70","","","","","50"
"5001","7000","STN00001","25","CON00001","3500","LPT00001","50","","","","","45"
"7001","10000","STN00001","25","CON00001","2500","LPT00001","25","","","","","45"
"10001","15000","STN00001","25","CON00001","1250","","","","","","","45"
