"id","name","monster_id","boss","move_ai","movable_count","attack_ai","attackable_count","ai_change_type","ai_percent","ai_point","hp","parts_count","attack","defense","critical","accuracy","miss","position_restriction","x","y","attribute","drop_coin","drop_material1","material_rate1","drop_material2","material_rate2","drop_material3","material_rate3","drop_material4","material_rate4","drop_piece","drop_piece_number","drop_level"
"LGN01001","强力火元素","MON10002","0","MAI00005","2","AAI00002","1","","","","2010","99","850","93","1000","100000","0","3","-1","-1","1","27","","","","","","","","","MOP10022","1",""
"LGN01002","迪菲亚女法师","MON10010","0","MAI00006","2","AAI00003","1","","","","2280","99","1391","0","1000","100000","0","3","-1","-1","1","32","","","","","","","","","","",""
"LGN01003","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","1391","99","1198","0","1000","100000","0","3","-1","-1","1","29","","","","","","","","","","",""
"LGN01004","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","2010","99","850","93","1000","100000","0","3","-1","-1","1","31","","","","","","","","","","",""
"LGN01005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN01006","熔岩领主","MON10073","0","MAI00005","1","AAI00033","1","","","","6025","99","1581","46","1000","100000","0","3","-1","-1","1","82","","","","","","","","","MOP10024","1",""
"LGN01007","火灵兔","MON10068","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","965","99","1","186","1000","100000","0","3","-1","-1","1","10","","","","","","","","","","",""
"LGN01008","火小恶魔","MON10069","0","MAI00005","2","AAI00002","2","","","","1700","99","1351","46","1000","100000","0","3","-1","-1","1","29","","","","","","","","","","",""
"LGN01009","迪菲亚女法师","MON10010","0","MAI00006","2","AAI00003","1","","","","2280","99","1391","0","1000","100000","0","3","-1","-1","1","37","","","","","","","","","","",""
"LGN01010","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1547","99","1120","23","1000","100000","0","3","-1","-1","1","26","","","","","","","","","","",""
"LGN01011","龙人暴怒者","MON10015","0","MAI00005","1","AAI00002","1","","","","2968","99","1668","139","1000","100000","0","3","-1","-1","1","52","","","","","","","","","MOP10026","1",""
"LGN01012","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","2010","99","850","93","1000","100000","0","3","-1","-1","1","29","","","","","","","","","","",""
"LGN01013","加兹瑞拉的子嗣","MON30038","0","MAI00005","1","AAI00002","1","","","","6956","99","1581","139","1000","100000","0","3","-1","-1","3","80","","","","","","","","","","",""
"LGN01014","雷小恶魔","MON30072","0","MAI00005","1","AAI00002","1","","","","1700","99","1351","46","1000","100000","0","3","-1","-1","3","30","","","","","","","","","","",""
"LGN01015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN01016","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","732","99","2547","0","1000","100000","0","3","-1","-1","1","36","","","","","","","","","MOP10028","1",""
"LGN01017","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","732","99","2547","0","1000","100000","0","3","-1","-1","1","36","","","","","","","","","","",""
"LGN01018","迪菲亚女法师","MON10010","0","MAI00006","2","AAI00003","1","","","","2280","99","1391","0","1000","100000","0","3","-1","-1","1","35","","","","","","","","","","",""
"LGN01019","熔岩作战傀儡","MON10028","0","MAI00005","2","AAI00010","1","","","","5094","99","1198","93","1000","100000","0","3","-1","-1","1","62","","","","","","","","","","",""
"LGN01020","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","1391","99","1198","0","1000","100000","0","3","-1","-1","1","30","","","","","","","","","","",""
"LGN01021","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","732","99","2547","0","1000","100000","0","3","-1","-1","1","31","","","","","","","","","","",""
"LGN01022","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","2010","99","850","93","1000","100000","0","3","-1","-1","1","29","","","","","","","","","","",""
"LGN01023","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1547","99","1120","23","1000","100000","0","3","-1","-1","1","27","","","","","","","","","","",""
"LGN01024","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00029","1","","","","1700","99","849","0","1000","100000","0","3","-1","-1","1","26","","","","","","","","","","",""
"LGN01025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN01026","火灵兔","MON10068","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","965","99","1","186","1000","100000","0","3","-1","-1","1","9","","","","","","","","","","",""
"LGN01027","火小恶魔","MON10069","0","MAI00005","2","AAI00002","2","","","","1700","99","1351","46","1000","100000","0","3","-1","-1","1","27","","","","","","","","","","",""
"LGN01028","火重火炮","MON10070","0","MAI00006","1","AAI00110","2","","","","5","99","888","100000","1000","100000","0","3","-1","-1","1","9","","","","","","","","","","",""
"LGN01029","火咒术魔书","MON10071","0","MAI00006","2","AAI00028","1","","","","1314","99","717","0","1000","100000","0","3","-1","-1","1","23","","","","","","","","","","",""
"LGN01030","火JJ怪","MON10072","0","MAI00005|MAI00005","1|0","AAI00002|AAI00102","1|1","ACT00004","50000","","1581","99","849","240","1000","100000","0","3","-1","-1","1","24","","","","","","","","","","",""
"LGN01031","燃烧南瓜国王","MON10053","0","MAI00005","2","AAI00002","1","","","","6","99","1092","4500","1000","100000","0","3","-1","-1","1","10","","","","","","","","","","",""
"LGN01032","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00029","1","","","","1700","99","849","0","1000","100000","0","3","-1","-1","1","23","","","","","","","","","","",""
"LGN01033","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","1391","99","1198","0","1000","100000","0","3","-1","-1","1","27","","","","","","","","","","",""
"LGN01034","火灵兔","MON10068","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","965","99","1","186","1000","100000","0","3","-1","-1","1","9","","","","","","","","","","",""
"LGN01035","龙人暴怒者","MON10015","0","MAI00005","1","AAI00002","1","","","","2968","99","1668","139","1000","100000","0","3","-1","-1","1","45","","","","","","","","","","",""
"LGN01036","火灵兔","MON10068","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","965","99","1","186","1000","100000","0","3","-1","-1","1","8","","","","","","","","","","",""
"LGN01037","火灵兔","MON10068","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","965","99","1","186","1000","100000","0","3","-1","-1","1","8","","","","","","","","","","",""
"LGN01038","龙人暴怒者","MON10015","0","MAI00005","1","AAI00002","1","","","","2968","99","1668","139","1000","100000","0","3","-1","-1","1","42","","","","","","","","","","",""
"LGN01039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN01040","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN01041","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00029","1","","","","1700","99","849","0","1000","100000","0","3","-1","-1","1","25","","","","","","","","","","",""
"LGN01042","火咒术魔书","MON10071","0","MAI00006","2","AAI00028","1","","","","1314","99","717","0","1000","100000","0","3","-1","-1","1","23","","","","","","","","","","",""
"LGN01043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN01044","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN01045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN01046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN01047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN01048","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN01049","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN01050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN01051","吕布","MON10079","1","MAI00005|MAI00006|MAI00005","2|2|2","AAI00124|AAI00125|AAI00124","1|1|1","ACT00001","33000","2","46767.5257408073","99","2254.32048293313","572.41774943732","3000","100000","0","3","-1","-1","1","549","","","","","","","","","MOP10030","1",""
"LGN01051","吕布","MON10079","1","MAI00005|MAI00006|MAI00005","2|2|2","AAI00124|AAI00125|AAI00124","1|1|1","ACT00001","33000","2","46767.5257408073","99","2254.32048293313","572.41774943732","3000","100000","0","3","-1","-1","1","466","","","","","","","","","MOP10030","1",""
"LGN01053","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN01054","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN01055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN02001","强力火元素","MON10002","0","MAI00005","2","AAI00002","1","","","","3193","99","1339","184","1000","100000","0","3","-1","-1","1","41","","","","","","","","","MOP10022","1",""
"LGN02002","迪菲亚女法师","MON10010","0","MAI00006","2","AAI00003","1","","","","3531","99","2165","0","1000","100000","0","3","-1","-1","1","56","","","","","","","","","","",""
"LGN02003","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","2165","99","1880","0","1000","100000","0","3","-1","-1","1","35","","","","","","","","","","",""
"LGN02004","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","3193","99","1339","184","1000","100000","0","3","-1","-1","1","49","","","","","","","","","","",""
"LGN02005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN02006","熔岩领主","MON10073","0","MAI00005","1","AAI00033","1","","","","8983","99","2150","92","1000","100000","0","3","-1","-1","1","97","","","","","","","","","MOP10024","1",""
"LGN02007","火灵兔","MON10068","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","1420","99","1","368","1000","100000","0","3","-1","-1","1","14","","","","","","","","","","",""
