"id","dungeon_id","probability","exp","door_x","player_x","player_y","boss_map","boss","boss_piece_drop_rate","boss_coin_drop_rate","boss_material_drop_rate","enemy_1","piece_drop_rate_1","coin_drop_rate_1","material_drop_rate_1","enemy_2","piece_drop_rate_2","coin_drop_rate_2","material_drop_rate_2","enemy_3","piece_drop_rate_3","coin_drop_rate_3","material_drop_rate_3","enemy_4","piece_drop_rate_4","coin_drop_rate_4","material_drop_rate_4","enemy_5","piece_drop_rate_5","coin_drop_rate_5","material_drop_rate_5","enemy_6","piece_drop_rate_6","coin_drop_rate_6","material_drop_rate_6","gimmick_id1","gimmick_id2","gimmick_id3","gimmick_id4","gimmick_id5","item_id1","item_id2","item_id3","item_id4","item_id5"
"LGM00001","LGD00001","15000","3","3","3","1","0","","","","","LGN01001","100000","0","0","LGN01002","0","100000","0","LGN01003","0","100000","0","LGN01004","0","100000","0","LGN01005","0","100000","0","","","","","","","","","","","","","",""
"LGM00002","LGD00001","15000","3","3","3","1","0","","","","","LGN01006","100000","0","0","LGN01007","0","100000","0","LGN01008","0","100000","0","LGN01009","0","100000","0","LGN01010","0","100000","0","","","","","","","","","","","","","",""
"LGM00003","LGD00001","15000","3","3","3","1","0","","","","","LGN01011","100000","0","0","LGN01012","0","100000","0","LGN01013","0","100000","0","LGN01014","0","100000","0","LGN01015","0","100000","0","","","","","","","","","","ITM00001","","","",""
"LGM00004","LGD00001","15000","3","3","3","1","0","","","","","LGN01016","100000","0","0","LGN01017","0","100000","0","LGN01018","0","100000","0","LGN01019","0","100000","0","LGN01020","0","100000","0","","","","","","","","","","","","","",""
"LGM00005","LGD00001","15000","3","3","3","1","0","","","","","LGN01021","0","100000","0","LGN01022","0","100000","0","LGN01023","0","100000","0","LGN01024","0","100000","0","LGN01025","0","100000","0","","","","","","","","","","","","","",""
"LGM00006","LGD00001","15000","3","3","3","1","0","","","","","LGN01026","0","100000","0","LGN01027","0","100000","0","LGN01028","0","100000","0","LGN01029","0","100000","0","LGN01030","0","100000","0","","","","","","","","","","","","","",""
"LGM00007","LGD00001","10000","3","3","3","1","0","","","","","LGN01031","0","100000","0","LGN01032","0","100000","0","LGN01033","0","100000","0","LGN01034","0","100000","0","LGN01035","0","100000","0","","","","","","","","","","","","","",""
"LGM00008","LGD00001","50000","8","3","3","1","1","LGN01051","100000","0","0","LGN01036","0","100000","0","LGN01037","0","100000","0","LGN01038","0","100000","0","LGN01039","0","100000","0","LGN01040","0","100000","0","","","","","","","","","","","","","",""
"LGM00009","LGD00001","50000","8","3","3","1","1","LGN01052","100000","0","0","LGN01041","0","100000","0","LGN01042","0","100000","0","LGN01043","0","100000","0","LGN01044","0","100000","0","LGN01045","0","100000","0","","","","","","","","","","ITM00001","","","",""
"LGM00010","LGD00002","15000","5","3","3","1","0","","","","","LGN02001","100000","0","0","LGN02002","0","100000","0","LGN02003","0","100000","0","LGN02004","0","100000","0","LGN02005","0","100000","0","","","","","","","","","","","","","",""
"LGM00011","LGD00002","15000","5","3","3","1","0","","","","","LGN02006","100000","0","0","LGN02007","0","100000","0","LGN02008","0","100000","0","LGN02009","0","100000","0","LGN02010","0","100000","0","","","","","","","","","","","","","",""
"LGM00012","LGD00002","15000","5","3","3","1","0","","","","","LGN02011","100000","0","0","LGN02012","0","100000","0","LGN02013","0","100000","0","LGN02014","0","100000","0","LGN02015","0","100000","0","","","","","","","","","","ITM00001","","","",""
"LGM00013","LGD00002","15000","5","3","3","1","0","","","","","LGN02016","100000","0","0","LGN02017","0","100000","0","LGN02018","0","100000","0","LGN02019","0","100000","0","LGN02020","0","100000","0","","","","","","","","","","","","","",""
