"id","sort_id","mission_type","stage","icon_no","title","content","dungeon_condition","material_condition","mission_count","level","reward_item_id1","reward_number1","reward_item_id2","reward_number2"
"100501","1","TYPE_MONSTER_UPGRADE_GREEN","1","1","升阶能手","将1名英雄进阶至绿色品质","","","1","","PUM10002","5","",""
"100502","2","TYPE_MONSTER_UPGRADE_GREEN","2","2","升阶能手","将5名英雄进阶至绿色品质","","","5","","PUM20002","5","",""
"100503","3","TYPE_MONSTER_UPGRADE_GREEN","3","3","升阶能手","将10名英雄进阶至绿色品质","","","10","","PUM30002","5","",""
"100504","4","TYPE_MONSTER_UPGRADE_GREEN","4","4","升阶能手","将20名英雄进阶至绿色品质","","","20","","PUM40002","5","",""
"100601","5","TYPE_MONSTER_UPGRADE_BLUE","1","1","升阶专家","将1名英雄进阶至蓝色品质","","","1","","PUM10002","10","",""
"100602","6","TYPE_MONSTER_UPGRADE_BLUE","2","2","升阶专家","将5名英雄进阶至蓝色品质","","","5","","PUM20002","10","",""
"100603","7","TYPE_MONSTER_UPGRADE_BLUE","3","3","升阶专家","将10名英雄进阶至蓝色品质","","","10","","PUM30002","10","",""
"100604","8","TYPE_MONSTER_UPGRADE_BLUE","4","4","升阶专家","将20名英雄进阶至蓝色品质","","","20","","PUM40002","10","",""
"100701","9","TYPE_MONSTER_UPGRADE_PURPLE","1","1","升阶大师","将1名英雄进阶至紫色品质","","","1","","PUM10003","5","",""
"100702","10","TYPE_MONSTER_UPGRADE_PURPLE","2","2","升阶大师","将5名英雄进阶至紫色品质","","","5","","PUM20003","5","",""
"100703","11","TYPE_MONSTER_UPGRADE_PURPLE","3","3","升阶大师","将10名英雄进阶至紫色品质","","","10","","PUM30003","5","",""
"100704","12","TYPE_MONSTER_UPGRADE_PURPLE","4","4","升阶大师","将20名英雄进阶至紫色品质","","","20","","PUM40003","5","",""
"100801","13","TYPE_WEAPON_4_STARS","1","1","武器收藏家：精良","拥有1把四星及以上的武器","","","1","","STS00002","10","",""
"100802","14","TYPE_WEAPON_4_STARS","2","2","武器收藏家：精良","拥有5把四星及以上的武器","","","5","","STS00002","10","",""
"100803","15","TYPE_WEAPON_4_STARS","3","3","武器收藏家：精良","拥有10把四星及以上的武器","","","10","","STS00002","10","",""
"100804","16","TYPE_WEAPON_4_STARS","4","4","武器收藏家：精良","拥有20把四星及以上的武器","","","20","","STS00002","10","",""
"100901","17","TYPE_WEAPON_5_STARS","1","1","武器收藏家：史诗","拥有1把五星及以上的武器","","","1","","STS00003","5","",""
"100902","18","TYPE_WEAPON_5_STARS","2","2","武器收藏家：史诗","拥有5把五星及以上的武器","","","5","","STS00003","5","",""
"100903","19","TYPE_WEAPON_5_STARS","3","3","武器收藏家：史诗","拥有10把五星及以上的武器","","","10","","STS00003","5","",""
"100904","20","TYPE_WEAPON_5_STARS","4","4","武器收藏家：史诗","拥有20把五星及以上的武器","","","20","","STS00003","5","",""
"101001","21","TYPE_ARMOR_4_STARS","1","1","铠甲收藏家：精良","拥有1件四星及以上的铠甲","","","1","","STS00002","10","",""
"101002","22","TYPE_ARMOR_4_STARS","2","2","铠甲收藏家：精良","拥有5件四星及以上的铠甲","","","5","","STS00002","10","",""
"101003","23","TYPE_ARMOR_4_STARS","3","3","铠甲收藏家：精良","拥有10件四星及以上的铠甲","","","10","","STS00002","10","",""
"101004","24","TYPE_ARMOR_4_STARS","4","4","铠甲收藏家：精良","拥有20件四星及以上的铠甲","","","20","","STS00002","10","",""
"101101","25","TYPE_ARMOR_5_STARS","1","1","铠甲收藏家：史诗","拥有1件五星及以上的铠甲","","","1","","STS00003","5","",""
"101102","26","TYPE_ARMOR_5_STARS","2","2","铠甲收藏家：史诗","拥有5件五星及以上的铠甲","","","5","","STS00003","5","",""
"101103","27","TYPE_ARMOR_5_STARS","3","3","铠甲收藏家：史诗","拥有10件五星及以上的铠甲","","","10","","STS00003","5","",""
"101104","28","TYPE_ARMOR_5_STARS","4","4","铠甲收藏家：史诗","拥有20件五星及以上的铠甲","","","20","","STS00003","5","",""
"101201","29","TYPE_HELMET_4_STARS","1","1","头盔收藏家：精良","拥有1件四星及以上的头盔","","","1","","STS00002","10","",""
"101202","30","TYPE_HELMET_4_STARS","2","2","头盔收藏家：精良","拥有5件四星及以上的头盔","","","5","","STS00002","10","",""
"101203","31","TYPE_HELMET_4_STARS","3","3","头盔收藏家：精良","拥有10件四星及以上的头盔","","","10","","STS00002","10","",""
"101204","32","TYPE_HELMET_4_STARS","4","4","头盔收藏家：精良","拥有20件四星及以上的头盔","","","20","","STS00002","10","",""
"101301","33","TYPE_HELMET_5_STARS","1","1","头盔收藏家：史诗","拥有1件五星及以上的头盔","","","1","","STS00003","5","",""
"101302","34","TYPE_HELMET_5_STARS","2","2","头盔收藏家：史诗","拥有5件五星及以上的头盔","","","5","","STS00003","5","",""
