"id","no","name","id","grow_type","rarity","max_level","cost","attribute","type_attribute","attack_area_type","family_type","sold_price","exp","hp_grow_type","attack_grow_type","defense_grow_type","chain_skill_id","chain_skill_animation","chain_skill_effect_sac_id","chain_skill_effect_plist_id","chain_skill_effect_ccb_id","active_skill_id","active_skill_animation","active_skill_effect_sac_id","active_skill_effect_plist_id","active_skill_effect_ccb_id","default_hp","default_attack","default_defense","max_hp","max_attack","max_defense","critical","accuracy","missing","ability_power","evolution","enemy_passive_skill","movable_place","flying","width","height","weakpoint_type","max_luck","family_attribute","coming_soon","description","hash"
"MON10001","1","火元素","MON10001","400","3","90","","1","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","111","27","0","241","99","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","",""
"MON10002","2","强力火元素","MON10002","400","3","90","","1","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","260","88","0","420","142","0","5000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，皮厚但攻击力不高。",""
"MON20001","3","水元素","MON20001","400","3","90","","2","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","113","26","0","243","97","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","",""
"MON20002","4","强力水元素","MON20002","400","3","90","","2","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","274","81","0","434","132","0","5000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，皮厚但攻击力不高。",""
"MON30001","5","雷元素","MON30001","400","3","90","","3","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","115","23","0","245","95","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","",""
"MON30002","6","强力雷元素","MON30002","400","3","90","","3","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","251","85","0","421","141","0","5000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，皮厚但攻击力不高。",""
"MON40001","7","森元素","MON40001","400","3","90","","4","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","117","21","0","248","93","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","",""
"MON40002","8","强力森元素","MON40002","400","3","90","","4","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","277","78","0","451","127","0","5000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，皮厚但攻击力不高。",""
"MON10003","9","狂怒矿工","MON10003","400","3","90","","1","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","73","46","0","163","116","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","",""
"MON20003","10","冷酷矿工","MON20003","400","3","90","","2","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","71","40","0","166","115","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","",""
"MON30003","11","暴躁矿工","MON30003","400","3","90","","3","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","71","41","0","167","112","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","",""
"MON40003","12","阴森矿工","MON40003","400","3","90","","4","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","70","44","0","162","116","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","",""
"MON10005","13","燃烧蝙蝠","MON10005","400","3","90","","1","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","209","101","0","261","155","0","5000","100000","0","0","0","","GMT00001","1","1","1","","1","1","0","",""
"MON20005","14","冰冷蝙蝠","MON20005","400","3","90","","2","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","201","106","0","255","156","0","5000","100000","0","0","0","","GMT00001","1","1","1","","1","1","0","",""
"MON30005","15","雷鸣蝙蝠","MON30005","400","3","90","","3","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","198","109","0","255","159","0","5000","100000","0","0","0","","GMT00001","1","1","1","","1","1","0","",""
"MON40005","16","隐匿蝙蝠","MON40005","400","3","90","","4","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","206","103","0","265","154","0","5000","100000","0","0","0","","GMT00001","1","1","1","","1","1","0","",""
"MON10007","17","狂怒的奥格瑞玛步兵","MON10007","400","3","90","","1","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","117","52","0","204","132","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","",""
"MON20007","18","冷酷的奥格瑞玛步兵","MON20007","400","3","90","","2","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","116","54","0","205","130","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","",""
"MON30007","19","暴躁的奥格瑞玛步兵","MON30007","400","3","90","","3","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","112","55","0","206","132","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","",""
"MON40007","20","阴森的奥格瑞玛步兵","MON40007","400","3","90","","4","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","111","56","0","201","135","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","",""
