"number","name","level","color","description","hp","attack","defense","critical","missing","magic_power","craft_gold","craft_component1","craft_component_quantity1","craft_component2","craft_component_quantity2","craft_component3","craft_component_quantity3","craft_component4","craft_component_quantity4","craft_component5","craft_component_quantity5"
"EQP00001","无袖T恤","1","1","质检通过，艾尔。","5","0","1","0","0","0","200","MTR10040","1","MTR10012","1","","","","","",""
"EQP00002","剥皮小刀","1","1","上面有刻着主人的名字：Bolton。","0","3","0","0","0","0","200","MTR10013","1","MTR10020","1","","","","","",""
"EQP00004","回复指环","2","1","每年回复的生命能绕地球三圈。","7","0","0","0","0","0","400","MTR10052","1","MTR10019","1","","","","","",""
"EQP00005","练习法杖","3","1","每天挥一下的成了法神，挥一千下的成了厨神。","0","2","0","0","0","1","600","MTR10035","1","MTR10257","1","","","","","",""
"EQP00006","能量坠饰","3","1","会给你提供能量，应该吧。","0","2","0","0","0","1","600","MTR10019","1","MTR10001","1","","","","","",""
"EQP00007","啤酒盾","4","1","在合适的人手里，它能抵挡任何攻击。","3","0","1","0","0","0","800","MTR10257","2","MTR10064","1","","","","","",""
"EQP00008","幸运兔爪","5","1","听说，它能带来运气。","0","4","0","0","0","0","1000","MTR10037","1","MTR10258","2","","","","","",""
"EQP00009","修道剑","6","1","它有一个更诗意的名字：轻狂之剑。","2","4","0","0","0","0","1200","MTR10011","1","MTR10029","1","","","","","",""
"EQP00010","指挥家手套","7","1","跟我左手右手一个慢动作。","0","2","0","0","0","2","1400","MTR10040","1","MTR10064","1","","","","","",""
"EQP00011","绿林外套","8","1","你有我有全都有啊。","4","0","2","0","0","0","1600","MTR10012","1","MTR10018","3","","","","","",""
"EQP00012","旅行便鞋","9","1","我不知道你的，旅行的意义。","9","0","1","0","0","0","1800","MTR10016","1","MTR10015","3","","","","","",""
"EQP00013","地精护目镜","10","1","注意：本产品不含透视功能。","2","0","1","0","0","2","2000","MTR10011","1","MTR10088","2","","","","","",""
"EQP00014","至尊一戒","11","1","隐身等无敌，鱼塘真难混。","2","4","0","0","0","0","2200","MTR10261","3","MTR10030","1","","","","","",""
"EQP00015","暗影宝珠","12","1","无法直视的力量。","12","0","0","0","0","0","2400","MTR10020","2","MTR10001","3","","","","","",""
