"id","name","upgrade_level","hp","attack","defense","critical","missing","ability_power"
"10001","火卡","1","15","8","2","0","0","2"
"10001","火卡","2","18","7","4","0","0","6"
"10001","火卡","3","30","13","5","0","0","8"
"10001","火卡","4","25","14","7","0","0","20"
"10001","火卡","5","35","24","7","0","0","23"
"10001","火卡","6","49","48","3","0","0","34"
"10001","火卡","7","29","40","12","0","0","53"
"10001","火卡","8","92","50","17","0","500","57"
"10001","火卡","9","101","71","18","500","0","60"
"10002","光明王子","1","21","6","2","0","0","4"
"10002","光明王子","2","35","9","2","0","0","4"
"10002","光明王子","3","29","15","4","0","0","15"
"10002","光明王子","4","25","22","6","0","0","14"
"10002","光明王子","5","53","30","4","0","0","18"
"10002","光明王子","6","57","41","8","0","0","29"
"10002","光明王子","7","36","41","12","0","0","50"
"10002","光明王子","8","56","47","12","500","500","64"
"10002","光明王子","9","52","33","12","500","500","75"
"10003","团长","1","17","11","2","0","0","0"
"10003","团长","2","13","19","3","0","0","5"
"10003","团长","3","29","33","6","0","0","5"
"10003","团长","4","44","33","4","0","0","5"
"10003","团长","5","42","44","6","0","0","9"
"10003","团长","6","61","59","18","0","0","0"
"10003","团长","7","48","88","19","0","0","0"
"10003","团长","8","61","109","6","0","0","27"
"10003","团长","9","118","82","14","1500","0","13"
"10004","巫医","1","16","7","3","0","0","2"
"10004","巫医","2","28","8","2","0","0","4"
"10004","巫医","3","32","18","9","0","0","10"
"10004","巫医","4","25","15","5","0","0","19"
"10004","巫医","5","38","31","5","0","0","15"
"10004","巫医","6","71","47","14","0","0","18"
"10004","巫医","7","70","62","4","0","0","35"
"10004","巫医","8","95","75","2","0","0","39"
"10004","巫医","9","70","77","3","1000","500","45"
"10005","脑残吼","1","12","7","4","0","0","3"
"10005","脑残吼","2","19","10","4","0","0","4"
"10005","脑残吼","3","49","20","10","0","0","4"
"10005","脑残吼","4","40","20","9","0","0","9"
"10005","脑残吼","5","55","44","7","0","0","11"
"10005","脑残吼","6","48","52","9","0","0","27"
"10005","脑残吼","7","53","84","13","0","0","19"
"10005","脑残吼","8","77","95","1","0","500","33"
"10005","脑残吼","9","68","65","17","500","500","14"
"10006","女王","1","15","9","2","0","0","1"
"10006","女王","2","21","10","2","0","0","5"
"10006","女王","3","38","14","6","0","0","10"
"10006","女王","4","50","24","5","0","0","8"
"10006","女王","5","57","24","6","0","0","19"
"10006","女王","6","38","72","6","0","0","23"
"10006","女王","7","55","55","3","0","0","35"
"10006","女王","8","69","65","24","0","0","41"
"10006","女王","9","54","46","30","500","0","59"
"10007","世界萨","1","8","11","2","0","0","2"
"10007","世界萨","2","22","9","2","0","0","3"
