"id","name","sub_name","sort","area_icon_id","stage_type","attribute","companion_type","start_time","end_time","delete_flag","bonus1_name","bonus1_count","bonus2_name","bonus2_count","bonus3_name","bonus3_count","bonus4_name","bonus4_count","bonus5_name","bonus5_count","bonus6_name","bonus6_count"
"NMA00002","火之洞窟","第四章","5","NMA00005","mine","1","1","2000/1/1","2030/3/31 23:59:00","0","STN00001","20","CON00001","10000","STN00001","30","CON00001","15000","STN00001","40","CON00001","20000"
"NMA00003","地下水路","第三章","4","NMA00004","underwaterway","2","1","2000/1/1","2030/3/31 23:59:00","0","STN00001","20","CON00001","10000","STN00001","30","CON00001","15000","STN00001","40","CON00001","20000"
"NMA00004","东部荒野","第二章","3","NMA00003","wilderness","3","1","2000/1/1","2030/3/31 23:59:00","0","STN00001","20","CON00001","10000","STN00001","30","CON00001","15000","STN00001","40","CON00001","20000"
"NMA00005","沼泽迷宫","第一章","2","NMA00002","prairie","4","1","2000/1/1","2030/3/31 23:59:00","0","STN00001","20","CON00001","10000","STN00001","30","CON00001","15000","STN00001","40","CON00001","20000"
"NMA00006","部族要塞","第五章","6","NMA00006","tower","1|2|3|4","1","2000/1/1","2030/3/31 23:59:00","0","STN00001","20","CON00001","10000","STN00001","30","CON00001","15000","STN00001","40","CON00001","20000"
"NMA00007","黑炎深渊","第九章","10","NMA00007","volcano","1","1","2000/1/1","2030/3/31 23:59:00","0","STN00001","20","CON00001","10000","STN00001","30","CON00001","15000","STN00001","40","CON00001","20000"
"NMA00008","雪原苔地","第八章","9","NMA00008","icecave","2","1","2000/1/1","2030/3/31 23:59:00","0","STN00001","20","CON00001","10000","STN00001","30","CON00001","15000","STN00001","40","CON00001","20000"
"NMA00009","沙漠遗迹","第七章","8","NMA00009","desert","3","1","2000/1/1","2030/3/31 23:59:00","0","STN00001","20","CON00001","10000","STN00001","30","CON00001","15000","STN00001","40","CON00001","20000"
"NMA00010","荆棘谷地","第六章","7","NMA00010","jungle","4","1","2000/1/1","2030/3/31 23:59:00","0","STN00001","20","CON00001","10000","STN00001","30","CON00001","15000","STN00001","40","CON00001","20000"
"NMA00011","阴暗大厅","第十章","11","NMA00011","temple","1|2|3|4","1","2000/1/1","2030/3/31 23:59:00","0","STN00001","20","CON00001","10000","STN00001","30","CON00001","15000","STN00001","40","CON00001","20000"
"NMA00012","黑石塔上","第十四章","15","NMA00012","firefactory","1","1","2000/1/1","2030/3/31 23:59:00","0","STN00001","20","CON00001","10000","STN00001","30","CON00001","15000","STN00001","40","CON00001","20000"
"NMA00013","潮汐王座","第十三章","14","NMA00013","cemetery","2","1","2000/1/1","2030/3/31 23:59:00","0","STN00001","20","CON00001","10000","STN00001","30","CON00001","15000","STN00001","40","CON00001","20000"
"NMA00014","古国故城","第十二章","13","NMA00014","skytower","3","1","2000/1/1","2030/3/31 23:59:00","0","STN00001","20","CON00001","10000","STN00001","30","CON00001","15000","STN00001","40","CON00001","20000"
"NMA00015","永茂林地","第十一章","12","NMA00015","woodsremains","4","1","2000/1/1","2030/3/31 23:59:00","0","STN00001","20","CON00001","10000","STN00001","30","CON00001","15000","STN00001","40","CON00001","20000"
"NMA00016","幽邃晶林","第十五章","16","NMA00011","crystaltower","1|2|3|4","1","2000/1/1","2030/3/31 23:59:00","0","STN00001","20","CON00001","10000","STN00001","30","CON00001","15000","STN00001","40","CON00001","20000"
