"id","area_id","name","sub_name","sub_disp_name","attribute","lost_block_attribute","integrate_release_condition","next_dungeon_id1","next_dungeon_id2","next_dungeon_id3","next_dungeon_id4","stamina","floor_count","reward_stone_type","reward_stone_free","boss_bgm","guerilla_boss_bgm","daily_limit","sync_id","max_skip_ticket","skip_drop_rate","boss_icon1","boss_icon2","material_drop1","material_drop2","material_drop3","material_drop4","quest1","quest2","quest3"
"NMD00019","NMA00005","1-1 新的起点","","2015/2/1","4","3","","NMD00020","","","","6","3","","","","","","SYD0019","1","33333","MON40002","","MTR00001","MTR10019","MTR10257","MTR10040","DSR05001","DSR07001","DSR14004"
"NMD00020","NMA00005","1-2 寸步难行","","2015/2/2","4","3","","NMD00021","","","","6","3","","","","","","SYD0020","1","33333","MON40054","","MTR00012","MTR10012","MTR10258","MTR10064","DSR05001","DSR07001","DSR14004"
"NMD00021","NMA00005","1-3 血战撼地者","","2015/2/3","4","3","","NMD00022","","","","6","3","","","","","","SYD0021","1","33333","MON40015","","MTR00001","MTR10020","MTR10001","MTR10013","DSR05001","DSR07001","DSR14004"
"NMD00022","NMA00005","1-4 骷髅的箭法","","2015/2/4","4","0","","NMD00023","","","","6","3","","","","","","SYD0022","1","33333","MON40010","","MTR00010","MTR10035","MTR10011","MTR10018","DSR05001","DSR07001","DSR14004"
"NMD00023","NMA00005","1-5 苏醒的古树","","2015/2/5","4","0","","NMD00014","","","","6","3","","","","","","SYD0023","2","25000","MON40073","","MTR00001","MTR10052","MTR10015","MTR10037","DSR05001","DSR07001","DSR14004"
"NMD00014","NMA00004","2-1 越过山丘","","2015/3/1","3","2","","NMD00015","","","","6","3","","","","","","SYD0014","1","33333","MON30002","","MTR00004","MTR10029","MTR10088","MTR10261","DSR06001","DSR07013","DSR15001"
"NMD00015","NMA00004","2-2 白银之手","","2015/3/2","3","2","","NMD00016","","","","6","3","","","","","","SYD0015","1","33333","MON30054","","MTR00005","MTR10016","MTR10030","MTR10024","DSR06001","DSR07013","DSR15001"
"NMD00016","NMA00004","2-3 唤雷者登场","","2015/3/3","3","2","","NMD00017","","","","6","3","","","","","","SYD0016","1","33333","MON30015","","MTR00004","MTR10160","MTR10161","MTR10028","DSR06001","DSR07013","DSR15001"
"NMD00017","NMA00004","2-4 大法师的魔法","","2015/3/4","3","0","","NMD00018","","","","6","3","","","","","","SYD0017","1","33333","MON30067","","MTR00012","MTR10162","MTR10039","MTR10163","DSR06002","DSR07013","DSR15001"
"NMD00018","NMA00004","2-5 古神的宠物","","2015/3/5","3","0","","NMD00009","","","","6","3","","","","","","SYD0018","2","25000","MON30038","","MTR00004","MTR10164","MTR10165","MTR10273","DSR06002","DSR07013","DSR15001"
"NMD00009","NMA00003","3-1 下水道探险","","2015/4/1","2","1","","NMD00010","","","","6","3","","","","","","SYD0009","1","33333","MON20002","","MTR00002","MTR10142","MTR10166","MTR10263","DSR12001","DSR09001","DSR13003"
"NMD00010","NMA00003","3-2 迷茫的王子","","2015/4/2","2","1","","NMD00011","","","","6","3","","","","","","SYD0010","1","33333","MON20054","","MTR00007","MTR10017","MTR10167","MTR10168","DSR12001","DSR09001","DSR13003"
"NMD00011","NMA00003","3-3 唤潮者之怒","","2015/4/3","2","1","","NMD00012","","","","6","3","","","","","","SYD0011","1","33333","MON20015","","MTR00002","MTR10169","MTR10090","MTR10170","DSR12001","DSR09001","DSR13003"
"NMD00012","NMA00003","3-4 饥饿食人魔","","2015/4/4","2","0","","NMD00013","","","","6","3","","","","","","SYD0012","1","33333","MON20010","","MTR00002","MTR10112","MTR10053","MTR10171","DSR12001","DSR09001","DSR13003"
"NMD00013","NMA00003","3-5 极寒领域","","2015/4/5","2","0","","NMD00004","","","","6","3","","","","","","SYD0013","2","25000","MON20060","","MTR00011","MTR10172","MTR10173","MTR10174","DSR12001","DSR09001","DSR13003"
"NMD00004","NMA00002","4-1 火焰试炼","","2015/5/1","1","4","","NMD00005","","","","6","3","","","","","","SYD0004","1","33333","MON10002","","MTR00003","MTR10027","MTR10014","MTR10175","DSR11001","DSR05001","DSR04002"
"NMD00005","NMA00002","4-2 堕落王子","","2015/5/2","1","4","","NMD00006","","","","6","3","","","","","","SYD0005","1","33333","MON10054","","MTR00006","MTR10176","MTR10266","MTR10036","DSR11001","DSR05001","DSR04002"
"NMD00006","NMA00002","4-3 暴怒者来袭","","2015/5/3","1","4","","NMD00007","","","","6","3","","","","","","SYD0006","1","33333","MON10015","","MTR00003","MTR10118","MTR10041","MTR10177","DSR11001","DSR05001","DSR04002"
"NMD00007","NMA00002","4-4 兄弟会法师","","2015/5/4","1","0","","NMD00008","","","","6","3","","","","","","SYD0007","1","33333","MON10010","","MTR00003","MTR10023","MTR10123","MTR10031","DSR11001","DSR05001","DSR04002"
"NMD00008","NMA00002","4-5 与猎手相遇","","2015/5/5","1","0","","NMD00024","","","","6","3","","","","","","SYD0008","2","25000","MON10060","","MTR00008","MTR10178","MTR10179","MTR10264","DSR11002","DSR05002","DSR04002"
