"id","name","monster_id","boss","move_ai","movable_count","attack_ai","attackable_count","ai_change_type","ai_percent","ai_point","hp","parts_count","attack","defense","critical","accuracy","miss","position_restriction","x","y","attribute","drop_coin","drop_material1","material_rate1","drop_material2","material_rate2","drop_material3","material_rate3","drop_piece","drop_level"
"NEN02001","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","21","MTR10027","100000","","","","","",""
"NEN02002","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","21","","","","","","","",""
"NEN02003","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","1499","99","639","54","0","100000","0","3","-1","-1","1","21","","","","","","","",""
"NEN02004","火灵兔","MON10068","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","769","99","1","107","0","100000","0","3","-1","-1","1","8","","","","","","","",""
"NEN02005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02006","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","634","99","2104","0","0","100000","0","3","-1","-1","1","28","","","","","","","",""
"NEN02007","火小恶魔","MON10069","0","MAI00005","2","AAI00002","2","","","","1278","99","1076","27","0","100000","0","3","-1","-1","1","22","","","","","","","",""
"NEN02008","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","1499","99","639","54","0","100000","0","3","-1","-1","1","20","","","","","","","",""
"NEN02009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02011","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","20","MTR10014","100000","","","","","",""
"NEN02012","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","1057","99","903","0","0","100000","0","3","-1","-1","1","20","","","","","","","",""
"NEN02013","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","634","99","2104","0","0","100000","0","3","-1","-1","1","30","","","","","","","",""
"NEN02014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02016","火小恶魔","MON10069","0","MAI00005","2","AAI00002","2","","","","1278","99","1076","27","0","100000","0","3","-1","-1","1","22","","","","","","","",""
"NEN02017","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","1499","99","639","54","0","100000","0","3","-1","-1","1","19","","","","","","","",""
"NEN02018","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","22","","","","","","","",""
"NEN02019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02021","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","1057","99","903","0","0","100000","0","3","-1","-1","1","17","MTR10175","100000","","","","","",""
"NEN02022","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","634","99","2104","0","0","100000","0","3","-1","-1","1","26","","","","","","","",""
"NEN02023","火小恶魔","MON10069","0","MAI00005","2","AAI00002","2","","","","1278","99","1076","27","0","100000","0","3","-1","-1","1","26","","","","","","","",""
"NEN02024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02026","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","1499","99","639","54","0","100000","0","3","-1","-1","1","19","MTR10176","100000","","","","","",""
"NEN02027","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","1499","99","639","54","0","100000","0","3","-1","-1","1","24","","","","","","","",""
"NEN02028","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","1057","99","903","0","0","100000","0","3","-1","-1","1","20","","","","","","","",""
"NEN02029","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02031","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","1499","99","639","54","0","100000","0","3","-1","-1","1","19","","","","","","","",""
"NEN02032","火重火炮","MON10070","0","MAI00006","1","AAI00110","2","","","","5","99","682","100000","0","100000","0","3","-1","-1","1","8","","","","","","","",""
"NEN02033","火重火炮","MON10070","0","MAI00006","1","AAI00110","2","","","","5","99","682","100000","0","100000","0","3","-1","-1","1","6","","","","","","","",""
"NEN02034","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02036","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","20","MTR10266","100000","","","","","",""
"NEN02037","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","1057","99","903","0","0","100000","0","3","-1","-1","1","19","","","","","","","",""
"NEN02038","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","1057","99","903","0","0","100000","0","3","-1","-1","1","21","","","","","","","",""
"NEN02039","火灵兔","MON10068","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","769","99","1","107","0","100000","0","3","-1","-1","1","8","","","","","","","",""
"NEN02040","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02041","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","1499","99","639","54","0","100000","0","3","-1","-1","1","22","","","","","","","",""
