"id","gimmick_id","cell_x","cell_y","damage","attribute","negative_state","target","enemy_id","piece_drop_rate","coin_drop_rate","material_drop_rate","position_restriction","turn_count","start_turn_count","max_execute","move","range","item_id"
"NGM00001","GMK00001","-1","-1","500","0","2","3","","0","0","0","2","0","0","0","0","0",""
"NGM00002","GMK00005","-1","-1","0","0","0","3","","0","0","0","0","1","1","0","4","0",""
"NGM00003","GMK00006","-1","-1","0","0","0","3","","0","0","0","0","1","1","0","1","0",""
"NGM00004","GMK00007","-1","-1","0","0","0","3","","0","0","0","0","1","1","0","2","0",""
"NGM00005","GMK00011","-1","-1","100","0","0","3","","0","0","0","2","0","0","0","0","9",""
"NGM00006","GMK00012","-1","-1","0","0","0","0","","0","0","0","2","0","0","0","0","0",""
"NGM00007","GMK00013","-1","-1","0","0","0","0","","0","0","0","2","0","0","0","0","0",""
"NGM00008","GMK00014","-1","-1","0","0","0","0","","0","0","0","2","0","0","0","0","0",""
"NGM00009","GMK00015","-1","-1","0","0","0","0","","0","0","0","2","0","0","0","0","0",""
"NGM00010","GMK00016","-1","-1","0","0","0","0","","0","0","0","2","0","0","0","0","0",""
"NGM00011","GMK00023","-1","-1","0","0","0","0","","0","0","0","2","0","0","0","0","0",""
"NGM00012","GMK00024","-1","-1","0","0","0","0","","0","0","0","2","0","0","0","0","0",""
"NGM00013","GMK00025","-1","-1","0","0","0","0","","0","0","0","2","0","0","0","0","0",""
"NGM00014","GMK00026","-1","-1","0","0","0","0","","0","0","0","2","0","0","0","0","0",""
"NGM00015","GMK00027","-1","-1","0","0","0","0","","0","0","0","2","0","0","0","0","0",""
"NGM00016","GMK00034","-1","-1","0","0","0","0","","0","0","0","2","0","0","0","0","0",""
"NGM00017","GMK00035","-1","-1","0","0","0","0","","0","0","0","2","0","0","0","0","0",""
"NGM00018","GMK00036","-1","-1","0","0","0","0","","0","0","0","2","0","0","0","0","0",""
"NGM00019","GMK00037","-1","-1","0","0","0","0","","0","0","0","2","0","0","0","0","0",""
"NGM00020","GMK00038","-1","-1","0","0","0","0","","0","0","0","2","0","0","0","0","0",""
"NGM00021","GMK00045","-1","-1","0","0","1","1","","0","0","0","2","3","3","0","0","1",""
"NGM00022","GMK00046","-1","-1","700","100","0","3","","0","0","0","2","3","3","0","0","1",""
"NGM00023","GMK00048","-1","-1","1500","100","0","3","","0","0","0","2","2","2","0","0","3",""
"NGM00024","GMK00050","-1","-1","100","0","1","3","","0","0","0","2","0","0","0","0","9",""
"NGM00025","GMK00051","-1","-1","100","0","2","3","","0","0","0","2","0","0","0","0","9",""
"NGM00026","GMK00008","-1","-1","0","0","0","0","NEN06047","0","100000","0","2","5","5","0","0","0",""
"NGM00027","GMK00052","-1","-1","0","0","0","0","NEN06072","0","100000","0","6","0","0","0","0","0",""
"NGM00028","GMK00053","-1","-1","0","0","0","0","NEN06072","0","100000","0","6","0","0","0","0","0",""
"NGM00029","GMK00049","-1","-1","0","0","0","3","NEN03012","0","100000","0","2","0","0","0","0","0",""
"NGM00030","GMK00047","-1","-1","500","0","0","3","","0","0","0","2","0","0","0","0","0",""
"NGM00031","GMK00009","-1","-1","33333","0","0","3","","0","0","0","2","0","0","0","0","1",""
"NGM00032","GMK00003","-1","-1","0","0","0","0","NEN06013","0","100000","0","2","0","0","0","0","0",""
"NGM00033","GMK00049","-1","-1","0","0","0","1","NEN06013","0","100000","0","2","0","0","0","0","0",""
"NGM00034","GMK00049","-1","-1","0","0","0","2","NEN06013","0","100000","0","2","0","0","0","0","0",""
"NGM00035","GMK00049","-1","-1","0","0","0","3","NEN06013","0","100000","0","2","0","0","0","0","0",""
"NGM00036","GMK00052","-1","-1","0","0","0","0","NEN06072","0","100000","0","6","0","0","0","0","0",""
"NGM00037","GMK00053","-1","-1","0","0","0","0","NEN06072","0","100000","0","6","0","0","0","0","0",""
"NGM00038","GMK00054","-1","-1","0","0","0","0","NEN06072","0","100000","0","0","0","0","0","0","0",""
"NGM00039","GMK00055","-1","-1","0","0","0","0","NEN06072","0","100000","0","0","0","0","0","0","0",""
"NGM00040","GMK00056","-1","-1","0","0","0","0","NEN06072","0","100000","0","0","0","0","0","0","0",""
"NGM00041","GMK00057","-1","-1","0","0","0","0","NEN06072","0","100000","0","0","0","0","0","0","0",""
"NGM00042","GMK00058","-1","-1","0","0","0","0","NEN06096","0","100000","0","0","0","0","0","0","0",""
"NGM00043","GMK00059","-1","-1","0","0","0","0","NEN06096","0","100000","0","0","0","0","0","0","0",""
"NGM00044","GMK00060","-1","-1","0","0","0","3","","0","0","0","0","1","1","0","4","0",""
"NGM00045","GMK00003","-1","-1","0","0","0","0","NEN20010","0","0","0","2","0","0","0","0","0",""
"NGM00046","GMK00003","-1","-1","0","0","0","0","NEN20003","0","0","0","2","0","0","0","0","0",""
"NGM00047","GMK00008","-1","-1","0","0","0","0","NEN20008","0","0","0","2","5","5","0","0","0",""
"NGM00048","GMK00049","-1","-1","0","0","0","3","NEN18007","20000","60000","20000","2","0","0","0","0","0",""
"NGM00049","GMK00003","-1","-1","0","0","0","0","NEN18003","0","0","0","2","0","0","0","0","0",""
"NGM00050","GMK00054","-1","-1","0","0","0","0","NEN17008","20000","60000","20000","0","0","0","0","0","0",""
"NGM00051","GMK00055","-1","-1","0","0","0","0","NEN17028","20000","60000","20000","0","0","0","0","0","0",""
"NGM00052","GMK00056","-1","-1","0","0","0","0","NEN17008","20000","60000","20000","0","0","0","0","0","0",""
