"id","dungeon_id","probability","exp","door_x","player_x","player_y","boss_map","boss","boss_piece_drop_rate","boss_coin_drop_rate","boss_material_drop_rate","enemy_1","piece_drop_rate_1","coin_drop_rate_1","material_drop_rate_1","enemy_2","piece_drop_rate_2","coin_drop_rate_2","material_drop_rate_2","enemy_3","piece_drop_rate_3","coin_drop_rate_3","material_drop_rate_3","enemy_4","piece_drop_rate_4","coin_drop_rate_4","material_drop_rate_4","enemy_5","piece_drop_rate_5","coin_drop_rate_5","material_drop_rate_5","enemy_6","piece_drop_rate_6","coin_drop_rate_6","material_drop_rate_6","gimmick_id1","gimmick_id2","gimmick_id3","gimmick_id4","gimmick_id5","item_id1","item_id2","item_id3","item_id4","item_id5"
"NMM0010","NMD00004","50000","1","3","3","1","0","","","","","NEN02001","0","10000","90000","NEN02002","0","100000","0","NEN02003","0","100000","0","NEN02004","0","100000","0","","","","","","","","","NGM00023","NGM00007","NGM00031","","","ITM00001","","","",""
"NMM0012","NMD00004","50000","2","3","3","1","0","","","","","NEN02011","0","10000","90000","NEN02012","0","100000","0","NEN02013","0","100000","0","","","","","","","","","","","","","NGM00011","NGM00022","NGM00022","","","","","","",""
"NMM0014","NMD00004","1","6","3","3","1","1","NEN02126","0","50000","50000","NEN02021","0","40000","60000","NEN02022","0","100000","0","NEN02023","0","100000","0","","","","","","","","","","","","","","","","","","ITM00001","","","",""
"NMM0015","NMD00005","50000","1","3","3","1","0","","","","","NEN02026","0","40000","60000","NEN02027","0","100000","0","NEN02028","0","100000","0","","","","","","","","","","","","","NGM00023","NGM00022","NGM00031","","","ITM00001","","","",""
"NMM0017","NMD00005","50000","2","3","3","1","0","","","","","NEN02036","0","30000","70000","NEN02037","0","100000","0","NEN02038","0","100000","0","NEN02039","0","100000","0","","","","","","","","","NGM00011","NGM00023","NGM00023","","","","","","",""
"NMM0019","NMD00005","1","6","3","3","1","1","NEN02127","0","50000","50000","NEN02046","0","40000","60000","NEN02047","0","100000","0","NEN02048","0","100000","0","","","","","","","","","","","","","","","","","","ITM00001","","","",""
"NMM0020","NMD00006","50000","1","3","3","1","0","","","","","NEN02051","0","40000","60000","NEN02052","0","100000","0","NEN02053","0","100000","0","","","","","","","","","","","","","NGM00011","NGM00031","NGM00031","","","ITM00001","","","",""
"NMM0022","NMD00006","50000","2","3","3","1","0","","","","","NEN02061","0","40000","60000","NEN02062","0","100000","0","NEN02063","0","100000","0","","","","","","","","","","","","","NGM00011","NGM00031","NGM00023","","","","","","",""
"NMM0024","NMD00006","1","6","3","3","1","1","NEN02128","0","50000","50000","NEN02071","0","40000","60000","NEN02072","0","100000","0","NEN02073","0","100000","0","","","","","","","","","","","","","","","","","","ITM00001","","","",""
"NMM0025","NMD00007","50000","1","3","3","1","0","","","","","NEN02076","0","40000","60000","NEN02077","0","100000","0","NEN02078","0","100000","0","NEN02079","0","100000","0","","",""," ","","","","","NGM00023","NGM00006","NGM00031","","","ITM00001","","","",""
"NMM0027","NMD00007","50000","2","3","3","1","0","","","","","NEN02086","0","40000","60000","NEN02087","0","100000","0","NEN02088","0","100000","0","NEN02089","0","100000","0","","","","","","","","","NGM00011","NGM00022","NGM00023","","","","","","",""
"NMM0029","NMD00007","1","6","3","3","1","1","NEN02129","0","50000","50000","NEN02096","0","30000","70000","NEN02097","0","100000","0","NEN02098","0","100000","0","NEN02099","0","100000","0","","","","","","","","","","","","","","ITM00001","","","",""
"NMM0030","NMD00008","50000","1","3","3","1","0","","","","","NEN02101","0","40000","60000","NEN02102","0","100000","0","NEN02103","0","100000","0","NEN02104","0","100000","0","","","","","","","","","NGM00013","NGM00022","NGM00022","","","ITM00001","","","",""
"NMM0032","NMD00008","50000","2","3","3","1","0","","","","","NEN02111","0","40000","60000","NEN02112","0","100000","0","NEN02113","0","100000","0","NEN02114","0","20000","80000","","","","","","","","","NGM00023","NGM00031","NGM00031","","","","","","",""
"NMM0034","NMD00008","1","6","3","3","1","1","NEN02130","0","50000","50000","NEN02121","0","30000","70000","NEN02122","0","100000","0","NEN02123","0","100000","0","NEN02124","0","100000","0","","","","","","","","","","","","","","ITM00001","","","",""
"NMM0035","NMD00009","50000","1","3","3","1","0","","","","","NEN03001","0","20000","80000","NEN03002","0","100000","0","NEN03003","0","100000","0","","","","","","","","","","","","","NGM00011","NGM00011","NGM00003","","","ITM00001","","","",""
"NMM0037","NMD00009","50000","2","3","3","1","0","","","","","NEN03011","0","20000","80000","NEN03012","0","100000","0","NEN03013","0","100000","0","","","","","","","","","","","","","NGM00011","NGM00011","NGM00024","","","","","","",""
"NMM0039","NMD00009","1","6","3","3","1","1","NEN03126","0","50000","50000","NEN03021","0","20000","80000","NEN03022","0","100000","0","NEN03023","0","100000","0","","","","","","","","","","","","","","","","","","ITM00001","","","",""
"NMM0040","NMD00010","50000","1","3","3","1","0","","","","","NEN03026","0","10000","90000","NEN03027","0","100000","0","NEN03028","0","100000","0","","","","","","","","","","","","","NGM00011","NGM00009","NGM00003","","","ITM00001","","","",""
"NMM0042","NMD00010","50000","2","3","3","1","0","","","","","NEN03036","0","20000","80000","NEN03037","0","100000","0","NEN03038","0","100000","0","NEN03039","0","100000","0","","","","","","","","","NGM00011","NGM00009","NGM00024","","","","","","",""
"NMM0044","NMD00010","1","6","3","3","1","1","NEN03127","0","50000","50000","NEN03046","0","20000","80000","NEN03047","0","100000","0","NEN03048","0","100000","0","","","","","","","","","","","","","","","","","","ITM00001","","","",""
"NMM0045","NMD00011","50000","1","3","3","1","0","","","","","NEN03051","0","20000","80000","NEN03052","0","100000","0","NEN03053","0","100000","0","","","","","","","","","","","","","NGM00029","NGM00003","NGM00003","","","ITM00001","","","",""
"NMM0047","NMD00011","50000","2","3","3","1","0","","","","","NEN03061","0","10000","90000","NEN03062","0","100000","0","NEN03063","0","100000","0","","","","","","","","","","","","","NGM00029","NGM00029","NGM00024","","","","","","",""
"NMM0049","NMD00011","1","6","3","3","1","1","NEN03128","0","50000","50000","NEN03071","0","20000","80000","NEN03072","0","100000","0","NEN03073","0","100000","0","NEN03074","0","100000","0","","","","","","","","","","","","","","ITM00001","","","",""
"NMM0050","NMD00012","50000","1","3","3","1","0","","","","","NEN03076","0","20000","80000","NEN03077","0","100000","0","NEN03078","0","100000","0","","","","","","","","","","","","","NGM00011","NGM00009","NGM00024","","","ITM00001","","","",""
"NMM0052","NMD00012","50000","2","3","3","1","0","","","","","NEN03086","0","10000","90000","NEN03087","0","100000","0","NEN03088","0","100000","0","NEN03089","0","100000","0","","","","","","","","","NGM00011","NGM00003","NGM00003","","","","","","",""
"NMM0054","NMD00012","1","6","3","3","1","1","NEN03129","0","50000","50000","NEN03096","0","20000","80000","NEN03097","0","100000","0","NEN03098","0","100000","0","NEN03099","0","100000","0","","","","","","","","","","","","","","ITM00001","","","",""
"NMM0055","NMD00013","50000","1","3","3","1","0","","","","","NEN03101","0","20000","80000","NEN03102","0","100000","0","NEN03103","0","100000","0","NEN03104","0","100000","0","NEN03105","0","100000","0","","","","","NGM00029","NGM00029","NGM00024","","","ITM00001","","","",""
"NMM0057","NMD00013","50000","2","3","3","1","0","","","","","NEN03111","0","20000","80000","NEN03112","0","100000","0","NEN03113","0","100000","0","NEN03114","0","20000","80000","","","","","","","","","NGM00009","NGM00003","NGM00003","","","","","","",""
