"no","attribute","possibility","icon_no","quantity","money_type","cost"
"1","6","500","MOP10001","2","1","60000"
"2","6","500","MOP10002","2","1","60000"
"3","6","500","MOP10003","2","1","60000"
"4","6","500","MOP10004","2","1","60000"
"5","5","500","STS00001","5","1","1500"
"6","5","350","STS00002","2","1","5000"
"7","5","500","PUM10001","5","1","1500"
"8","5","350","PUM10002","2","1","5000"
"9","5","500","PUM20001","5","1","1500"
"10","5","350","PUM20002","5","1","5000"
"11","5","500","PUM30001","5","1","1500"
"12","5","350","PUM30002","2","1","5000"
"13","5","500","PUM40001","5","1","1500"
"14","5","350","PUM40002","5","1","5000"
"15","4","500","MTR00001","3","1","4500"
"16","4","500","MTR00002","3","1","4500"
"17","4","500","MTR00003","3","1","4500"
"18","4","500","MTR00004","3","1","4500"
"19","3","500","MTR10172","1","1","2000"
"20","3","500","MTR10056","1","1","3800"
"21","3","500","MTR10171","1","1","2000"
"22","3","500","MTR10259","1","1","4000"
"23","3","500","MTR10273","1","1","2000"
"24","3","500","MTR10003","1","1","4000"
"25","3","500","MTR10005","1","1","4000"
"26","3","500","MTR10184","1","1","2500"
"27","3","500","MTR10002","1","1","4000"
"28","3","500","MTR10004","1","1","4000"
"29","1","500","MTR10016","1","1","2500"
"30","1","500","MTR10031","1","1","3500"
"31","1","500","MTR10040","1","1","3000"
"32","1","500","MTR10028","1","1","2500"
"33","1","500","MTR10064","1","1","2000"
"34","1","500","MTR10090","1","1","2000"
"35","1","500","MTR10266","1","1","3000"
"36","1","500","MTR10077","1","1","2500"
"37","1","500","MTR10013","1","1","2000"
"38","2","500","MTR10163","1","1","3000"
"39","2","500","MTR10164","1","1","3000"
"40","2","500","MTR10165","1","1","3000"
"41","2","500","MTR10092","1","1","3500"
"42","2","500","MTR10047","1","1","3000"
"43","2","500","MTR10124","1","1","3500"
"44","2","500","MTR10078","1","1","2500"
"45","2","500","MTR10151","1","1","3000"
"46","2","500","MTR10026","1","1","2500"
"47","2","500","MTR10191","1","1","3000"
"48","6","500","MOP10021","2","1","90000"
"49","6","500","MOP10025","2","1","90000"
"50","6","500","MOP10027","2","1","90000"
"51","6","500","MOP10023","2","1","90000"
