"id","no","quantity","relative_odds","absolute_odds","total_abs_odds"
"1","PUM10002","10","1000","1.56128024980484E-02","1.56128024980484E-02"
"2","PUM10003","5","750","1.17096018735363E-02","2.73224043715847E-02"
"3","PUM20002","10","1000","1.56128024980484E-02","4.29352068696331E-02"
"4","PUM20003","5","750","1.17096018735363E-02","5.46448087431694E-02"
"5","PUM30002","10","1000","1.56128024980484E-02","7.02576112412178E-02"
"6","PUM30003","5","500","7.8064012490242E-03",".078064012490242"
"7","PUM40002","10","1000","1.56128024980484E-02","9.36768149882904E-02"
"8","PUM40003","5","750","1.17096018735363E-02",".105386416861827"
"9","STS00002","10","2000","3.12256049960968E-02",".136612021857924"
"10","STS00003","5","1500","2.34192037470726E-02",".160031225604996"
"11","MTR00012","8","1000","1.56128024980484E-02",".175644028103044"
"12","MTR00013","4","1000","1.56128024980484E-02",".191256830601093"
"13","MTR00014","1","1000","1.56128024980484E-02",".206869633099141"
"14","MOP10001","3","1600","2.49804839968774E-02",".231850117096019"
"15","MOP10002","3","1600","2.49804839968774E-02",".256830601092896"
"16","MOP10003","3","1600","2.49804839968774E-02",".281811085089774"
"17","MOP10004","3","1600","2.49804839968774E-02",".306791569086651"
"18","MOP10005","2","1600","2.49804839968774E-02",".331772053083528"
"19","MOP10006","3","1600","2.49804839968774E-02",".356752537080406"
"20","MOP10007","3","1600","2.49804839968774E-02",".381733021077283"
"21","MOP10008","3","1600","2.49804839968774E-02",".406713505074161"
"22","MOP10009","3","1600","2.49804839968774E-02",".431693989071038"
"23","MOP10010","3","1600","2.49804839968774E-02",".456674473067916"
"24","MOP10011","3","1600","2.49804839968774E-02",".481654957064793"
"25","MOP10012","3","1600","2.49804839968774E-02",".506635441061671"
"26","MOP10013","3","1600","2.49804839968774E-02",".531615925058548"
"27","MOP10014","3","1600","2.49804839968774E-02",".556596409055425"
"28","MOP10015","3","1600","2.49804839968774E-02",".581576893052303"
"29","MOP10016","3","1600","2.49804839968774E-02",".60655737704918"
"30","MOP10017","3","4000","6.24512099921936E-02",".669008587041374"
"31","MOP10018","3","4000","6.24512099921936E-02",".731459797033568"
"32","MOP10019","3","4000","6.24512099921936E-02",".793911007025761"
"33","MOP10020","3","4000","6.24512099921936E-02",".856362217017955"
"34","MOP10021","3","800","1.24902419984387E-02",".868852459016393"
"35","MOP10023","3","800","1.24902419984387E-02",".881342701014832"
"36","MOP10025","3","800","1.24902419984387E-02",".893832943013271"
"37","MOP10027","3","800","1.24902419984387E-02",".90632318501171"
"38","MON10054","1","200","3.12256049960968E-03",".909445745511319"
"39","MON20054","1","200","3.12256049960968E-03",".912568306010929"
"40","MON30054","1","200","3.12256049960968E-03",".915690866510539"
"41","MON40054","1","200","3.12256049960968E-03",".918813427010148"
"42","MON10057","1","200","3.12256049960968E-03",".921935987509758"
"43","MON20057","1","200","3.12256049960968E-03",".925058548009368"
"44","MON30057","1","200","3.12256049960968E-03",".928181108508977"
"45","MON40057","1","200","3.12256049960968E-03",".931303669008587"
"46","MON10060","1","200","3.12256049960968E-03",".934426229508197"
"47","MON20060","1","200","3.12256049960968E-03",".937548790007806"
"48","MON30067","1","200","3.12256049960968E-03",".940671350507416"
"49","MON40064","1","200","3.12256049960968E-03",".943793911007026"
"50","MON10065","1","200","3.12256049960968E-03",".946916471506635"
"51","MON20065","1","200","3.12256049960968E-03",".950039032006245"
"52","MON30068","1","200","3.12256049960968E-03",".953161592505855"
"53","MON40065","1","200","3.12256049960968E-03",".956284153005464"
"54","MON10074","1","200","3.12256049960968E-03",".959406713505074"
"55","MON30077","1","200","3.12256049960968E-03",".962529274004684"
"56","MON40074","1","200","3.12256049960968E-03",".965651834504293"
"57","MON20075","1","200","3.12256049960968E-03",".968774395003903"
"58","MON10066","1","500","7.8064012490242E-03",".976580796252927"
"59","MON20066","1","500","7.8064012490242E-03",".984387197501952"
"60","MON30069","1","500","7.8064012490242E-03",".992193598750976"
"61","MON40066","1","500","7.8064012490242E-03","1"
