"no","name","attribute","possibility","icon_no","quantity","money_type","cost"
"1","奥丁碎片","6","500","MOP10017","2","3","500"
"2","洛基碎片","6","500","MOP10018","2","3","500"
"3","托尔碎片","6","500","MOP10019","2","3","500"
"4","西芙碎片","6","500","MOP10020","2","3","500"
"5","超级强化石","5","500","STS00003","2","3","150"
"6","巨型燃烧南瓜","5","500","PUM10003","2","3","150"
"7","巨型冰冷南瓜","5","500","PUM20003","2","3","150"
"8","巨型雷鸣南瓜","5","500","PUM30003","2","3","150"
"9","巨型石化南瓜","5","500","PUM40003","2","3","150"
"10","顽强勋章","4","500","MTR00012","2","3","300"
"11","好战勋章","4","350","MTR00013","2","3","300"
"12","残酷勋章","4","150","MTR00014","1","3","500"
"13","所罗门宝藏卷轴","3","500","MTR10240","1","3","60"
"14","永恒之赐卷轴","3","500","MTR10232","1","3","80"
"15","咒逐卷轴","3","500","MTR10238","1","3","60"
"16","赫尔神使杖卷轴","3","500","MTR10241","1","3","80"
"17","欧西里天平卷轴","3","500","MTR10244","1","3","80"
"18","不动之印卷轴","3","500","MTR10228","1","3","60"
"19","饮血者卷轴","3","500","MTR10231","1","3","60"
"20","脑残吼腰带扣","3","500","MTR10126","1","3","60"
"21","影霜碎片","3","500","MTR10141","1","3","60"
"22","全见者卷轴","3","500","MTR10229","1","3","60"
"23","精密触发器","2","500","MTR10091","1","3","35"
"24","小块微光碎片","2","500","MTR10100","1","3","35"
"25","翡翠","2","500","MTR10080","1","3","35"
"26","英雄套牌卷轴","2","500","MTR10192","1","3","35"
"27","咆哮战斧碎片","2","500","MTR10125","1","3","35"
"28","秘银矿石","2","500","MTR10055","1","3","35"
"29","蓝龙套牌卷轴","2","500","MTR10189","1","3","35"
"30","虚空套牌卷轴","2","500","MTR10190","1","3","35"
"31","波纹剑卷轴","2","500","MTR10197","1","3","35"
"32","灼热龙人盾卷轴","2","500","MTR10199","1","3","35"
"33","铜矿石","1","500","MTR10053","1","3","20"
"34","符文布","1","500","MTR10043","1","3","35"
"35","轻皮","1","500","MTR10065","1","3","50"
"36","小恶魔尾","1","500","MTR10261","1","3","35"
"37","雷电之囊","1","500","MTR10022","1","3","40"
"38","亡者骸骨","1","500","MTR10030","1","3","50"
"39","强盗口罩","1","500","MTR10024","1","3","50"
"40","兔毛","1","500","MTR10258","1","3","50"
"41","元素之核","1","500","MTR10001","1","3","35"
"42","碎裂的鳞片","1","500","MTR10038","1","3","35"
