"id","no","quantity","relative_odds","absolute_odds","total_abs_odds"
"1","MON10054","1","200","3.33333333333333E-02","3.33333333333333E-02"
"2","MON20054","1","200","3.33333333333333E-02","6.66666666666667E-02"
"3","MON30054","1","200","3.33333333333333E-02",".1"
"4","MON40054","1","200","3.33333333333333E-02",".133333333333333"
"5","MON10057","1","200","3.33333333333333E-02",".166666666666667"
"6","MON20057","1","200","3.33333333333333E-02",".2"
"7","MON30057","1","200","3.33333333333333E-02",".233333333333333"
"8","MON40057","1","200","3.33333333333333E-02",".266666666666667"
"9","MON10060","1","200","3.33333333333333E-02",".3"
"10","MON20060","1","200","3.33333333333333E-02",".333333333333333"
"11","MON30067","1","200","3.33333333333333E-02",".366666666666667"
"12","MON40064","1","200","3.33333333333333E-02",".4"
"13","MON10065","1","200","3.33333333333333E-02",".433333333333333"
"14","MON20065","1","200","3.33333333333333E-02",".466666666666667"
"15","MON30068","1","200","3.33333333333333E-02",".5"
"16","MON40065","1","200","3.33333333333333E-02",".533333333333333"
"17","MON10074","1","200","3.33333333333333E-02",".566666666666667"
"18","MON30077","1","200","3.33333333333333E-02",".6"
"19","MON40074","1","200","3.33333333333333E-02",".633333333333333"
"20","MON20075","1","200","3.33333333333333E-02",".666666666666667"
"21","MON10077","1","500","8.33333333333333E-02",".75"
"22","MON20078","1","500","8.33333333333333E-02",".833333333333333"
"23","MON30080","1","500","8.33333333333333E-02",".916666666666667"
"24","MON40077","1","500","8.33333333333333E-02","1"
