"id","area_id","name","sub_name","attribute","integrate_release_condition","next_dungeon_id1","next_dungeon_id2","next_dungeon_id3","next_dungeon_id4","stamina","floor_count","reward_stone_type","reward_stone_free","none_reward_check_target","dungeon_add_time","boss_bgm","guerilla_boss_bgm","open_days","daily_limit","level_limit","share_limit_dungeon","max_skip_ticket","skip_drop_rate","boss_icon1","boss_icon2","material_drop1","material_drop2","material_drop3","material_drop4","quest1","quest2","quest3"
"SPD00001","SPA00001","南瓜派对 初级","","1|2|3|4","","","","","","6","3","","","","","","","2|4|6|7","3","20","SPD00001|SPD00002|SPD00003","0","0","MON10052","MON20052","PUM10002","PUM20002","STS00001","STS00002","DSR12001","DSR05001","DSR04002"
"SPD00002","SPA00001","南瓜派对 中级","","1|2|3|4","","","","","","6","3","","","","","","","2|4|6|7","3","40","SPD00001|SPD00002|SPD00003","0","0","MON10053","MON20053","PUM10003","PUM20003","STS00002","STS00003","DSR12002","DSR05002","DSR04002"
"SPD00003","SPA00001","南瓜派对 高级","","1|2|3|4","","","","","","6","3","","","","","","","2|4|6|7","3","60","SPD00001|SPD00002|SPD00003","0","0","MON10053","MON20053","PUM10003","PUM20003","STS00002","STS00003","DSR12003","DSR05003","DSR04003"
"SPD00004","SPA00002","金龙峡谷 初级","","3","","","","","","6","3","","","","","","","1|3|5|7","3","20","SPD00004|SPD00005|SPD00006","0","0","MON30065","","","","","","DSR12001","DSR05001","DSR04002"
"SPD00005","SPA00002","金龙峡谷 中级","","3","","","","","","6","3","","","","","","","1|3|5|7","3","40","SPD00004|SPD00005|SPD00006","0","0","MON30066","","","","","","DSR12002","DSR05002","DSR04002"
"SPD00006","SPA00002","金龙峡谷 高级","","3","","","","","","6","3","","","","","","","1|3|5|7","3","60","SPD00004|SPD00005|SPD00006","0","0","MON30066","","","","","","DSR12003","DSR05003","DSR04003"
"SPD00007","SPA00003","奥术神殿 初级","","1|2|3|4","","","","","","6","3","","","","","","","1|3|5|7","3","25","SPD00007|SPD00008|SPD00009","0","0","MON20057","MON10060","MTR10053","MTR10172","MTR10002","MTR10173","DSR12001","DSR05001","DSR04002"
"SPD00008","SPA00003","奥术神殿 中级","","1|2|3|4","","","","","","6","3","","","","","","","1|3|5|7","3","45","SPD00007|SPD00008|SPD00009","0","0","MON20063","MON10055","MTR10219","MTR10222","MTR10220","MTR10131","DSR12002","DSR05002","DSR04002"
"SPD00009","SPA00003","奥术神殿 高级","","1|2|3|4","","","","","","6","3","","","","","","","1|3|5|7","3","65","SPD00007|SPD00008|SPD00009","0","0","MON40063","MON10064","MTR10063","MTR10237","MTR10238","MTR10241","DSR12003","DSR05003","DSR04003"
"SPD00010","SPA00004","神力山峰 初级","","1|2|3|4","","","","","","6","3","","","","","","","2|4|6|7","3","25","SPD00010|SPD00011|SPD00012","0","0","MON10065","MON30068","MTR10259","MTR10171","MTR10273","MTR10184","DSR12001","DSR05001","DSR04002"
"SPD00011","SPA00004","神力山峰 中级","","1|2|3|4","","","","","","6","3","","","","","","","2|4|6|7","3","45","SPD00010|SPD00011|SPD00012","0","0","MON40058","MON30060","MTR10208","MTR10211","MTR10210","MTR10212","DSR12002","DSR05002","DSR04002"
"SPD00012","SPA00004","神力山峰 高级","","1|2|3|4","","","","","","6","3","","","","","","","2|4|6|7","3","65","SPD00010|SPD00011|SPD00012","0","0","MON20062","MON40061","MTR10233","MTR10234","MTR10242","MTR10240","DSR12003","DSR05003","DSR04003"
