"id","name","monster_id","boss","move_ai","movable_count","attack_ai","attackable_count","ai_change_type","ai_percent","ai_point","hp","parts_count","attack","defense","critical","accuracy","miss","position_restriction","x","y","attribute","drop_coin","drop_material1","material_rate1","drop_material2","material_rate2","drop_material3","material_rate3","drop_material4","material_rate4","drop_piece","drop_level"
"SEN01001","燃烧南瓜","MON10051","0","MAI00005","1","AAI00002","1","","","","6","99","735","4500","1000","100000","0","3","-1","-1","1","65","PUM10001","50000","STS00001","50000","","","","","",""
"SEN01002","冰冷南瓜","MON20051","0","MAI00005","1","AAI00002","1","","","","6","99","718","4500","1000","100000","0","3","-1","-1","2","65","PUM20001","50000","STS00001","50000","","","","","",""
"SEN01003","雷鸣南瓜","MON30051","0","MAI00005","1","AAI00002","1","","","","6","99","679","4500","1000","100000","0","3","-1","-1","3","72","PUM30001","50000","STS00001","50000","","","","","",""
"SEN01004","石化南瓜","MON40051","0","MAI00005","1","AAI00002","1","","","","6","99","709","4500","1000","100000","0","3","-1","-1","4","79","PUM40001","50000","STS00001","50000","","","","","",""
"SEN01005","燃烧南瓜男爵","MON10052","1","MAI00005","2","AAI00002","1","","","","12","99","1313","7000","3000","100000","0","3","-1","-1","1","117","PUM10002","50000","STS00002","50000","","","","","",""
"SEN01006","冰冷南瓜男爵","MON20052","1","MAI00005","2","AAI00002","1","","","","12","99","1212","7000","3000","100000","0","3","-1","-1","2","111","PUM20002","50000","STS00002","50000","","","","","",""
"SEN01007","雷鸣南瓜男爵","MON30052","1","MAI00005","2","AAI00002","1","","","","12","99","1081","7000","3000","100000","0","3","-1","-1","3","107","PUM30002","50000","STS00002","50000","","","","","",""
"SEN01008","石化南瓜男爵","MON40052","1","MAI00005","2","AAI00002","1","","","","12","99","1056","7000","3000","100000","0","3","-1","-1","4","92","PUM40002","50000","STS00002","50000","","","","","",""
"SEN02001","燃烧南瓜","MON10051","0","MAI00005","1","AAI00002","1","","","","6","99","780","4500","1000","100000","0","3","-1","-1","1","89","PUM10001","50000","STS00001","50000","","","","","",""
"SEN02002","燃烧南瓜男爵","MON10052","0","MAI00005","2","AAI00002","1","","","","12","99","887","8700","1000","100000","0","3","-1","-1","1","102","PUM10002","50000","STS00002","50000","","","","","",""
"SEN02003","冰冷南瓜","MON20051","0","MAI00005","1","AAI00002","1","","","","6","99","791","6000","1000","100000","0","3","-1","-1","2","80","PUM20001","50000","STS00001","50000","","","","","",""
"SEN02004","冰冷南瓜男爵","MON20052","0","MAI00005","2","AAI00002","1","","","","12","99","1060","8700","1000","100000","0","3","-1","-1","2","104","PUM20002","50000","STS00002","50000","","","","","",""
"SEN02005","雷鸣南瓜","MON30051","0","MAI00005","1","AAI00002","1","","","","6","99","884","4500","1000","100000","0","3","-1","-1","3","101","PUM30001","50000","STS00001","50000","","","","","",""
"SEN02006","雷鸣南瓜男爵","MON30052","0","MAI00005","2","AAI00002","1","","","","12","99","994","8700","1000","100000","0","3","-1","-1","3","99","PUM30002","50000","STS00002","50000","","","","","",""
"SEN02007","石化南瓜","MON40051","0","MAI00005","1","AAI00002","1","","","","6","99","948","6000","1000","100000","0","3","-1","-1","4","98","PUM40001","50000","STS00001","50000","","","","","",""
"SEN02008","石化南瓜男爵","MON40052","0","MAI00005","2","AAI00002","1","","","","12","99","1060","8700","1000","100000","0","3","-1","-1","4","114","PUM40002","50000","STS00002","50000","","","","","",""
"SEN02009","燃烧南瓜国王","MON10053","1","MAI00005","2","AAI00002","1","","","","18","99","1365","11500","3000","100000","0","3","-1","-1","1","152","PUM10003","50000","STS00003","50000","","","","","",""
"SEN02010","冰冷南瓜国王","MON20053","1","MAI00005","2","AAI00002","1","","","","18","99","1479","11500","3000","100000","0","3","-1","-1","2","156","PUM20003","50000","STS00003","50000","","","","","",""
"SEN02011","雷鸣南瓜国王","MON30053","1","MAI00005","2","AAI00002","1","","","","18","99","1526","11500","3000","100000","0","3","-1","-1","3","147","PUM30003","50000","STS00003","50000","","","","","",""
"SEN02012","石化南瓜国王","MON40053","1","MAI00005","2","AAI00002","1","","","","18","99","1418","11500","3000","100000","0","3","-1","-1","4","141","PUM40003","50000","STS00003","50000","","","","","",""
"SEN03001","燃烧南瓜","MON10051","0","MAI00005","1","AAI00002","1","","","","6","99","1139","10500","1000","100000","0","3","-1","-1","1","100","PUM10001","50000","STS00001","50000","","","","","",""
"SEN03002","燃烧南瓜男爵","MON10052","0","MAI00005","2","AAI00002","1","","","","12","99","1325","11000","1000","100000","0","3","-1","-1","1","134","PUM10002","50000","STS00002","50000","","","","","",""
"SEN03003","燃烧南瓜国王","MON10053","0","MAI00005","2","AAI00002","1","","","","18","99","1428","11500","1000","100000","0","3","-1","-1","1","129","PUM10003","50000","STS00003","50000","","","","","",""
"SEN03004","冰冷南瓜","MON20051","0","MAI00005","1","AAI00002","1","","","","6","99","1173","10500","1000","100000","0","3","-1","-1","2","129","PUM20001","50000","STS00001","50000","","","","","",""
"SEN03005","冰冷南瓜男爵","MON20052","0","MAI00005","2","AAI00002","1","","","","12","99","1125","11000","1000","100000","0","3","-1","-1","2","130","PUM20002","50000","STS00002","50000","","","","","",""
"SEN03006","冰冷南瓜国王","MON20053","0","MAI00005","2","AAI00002","1","","","","18","99","1375","11500","1000","100000","0","3","-1","-1","2","138","PUM20003","50000","STS00003","50000","","","","","",""
"SEN03007","雷鸣南瓜","MON30051","0","MAI00005","1","AAI00002","1","","","","6","99","1127","10500","1000","100000","0","3","-1","-1","3","108","PUM30001","50000","STS00001","50000","","","","","",""
"SEN03008","雷鸣南瓜男爵","MON30052","0","MAI00005","2","AAI00002","1","","","","12","99","1238","11000","1000","100000","0","3","-1","-1","3","135","PUM30002","50000","STS00002","50000","","","","","",""
