"id","dungeon_id","probability","exp","door_x","player_x","player_y","boss_map","boss","boss_piece_drop_rate","boss_coin_drop_rate","boss_material_drop_rate","enemy_1","piece_drop_rate_1","coin_drop_rate_1","material_drop_rate_1","enemy_2","piece_drop_rate_2","coin_drop_rate_2","material_drop_rate_2","enemy_3","piece_drop_rate_3","coin_drop_rate_3","material_drop_rate_3","enemy_4","piece_drop_rate_4","coin_drop_rate_4","material_drop_rate_4","enemy_5","piece_drop_rate_5","coin_drop_rate_5","material_drop_rate_5","enemy_6","piece_drop_rate_6","coin_drop_rate_6","material_drop_rate_6","gimmick_id1","gimmick_id2","gimmick_id3","gimmick_id4","gimmick_id5","gimmick_id6","gimmick_id7","gimmick_id8","gimmick_id9","gimmick_id10","gimmick_id11","gimmick_id12","gimmick_id13","gimmick_id14","gimmick_id15","gimmick_id16","gimmick_id17","gimmick_id18","gimmick_id19","gimmick_id20","gimmick_id21","gimmick_id22","gimmick_id23","gimmick_id24","gimmick_id25","gimmick_id26","gimmick_id27","gimmick_id28","gimmick_id29","gimmick_id30","gimmick_id31","gimmick_id32","gimmick_id33","gimmick_id34","gimmick_id35","gimmick_id36","gimmick_id37","gimmick_id38","gimmick_id39","gimmick_id40","item_id1","item_id2","item_id3","item_id4","item_id5"
"SPM00001","SPD00001","25000","2","3","3","1","0","","","","","SEN01001","0","25000","75000","SEN01001","0","25000","75000","SEN01002","0","25000","75000","SEN01004","0","25000","75000","SEN01003","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00002","SPD00001","25000","2","3","3","1","0","","","","","SEN01002","0","25000","75000","SEN01002","0","25000","75000","SEN01003","0","25000","75000","SEN01001","0","25000","75000","SEN01004","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00003","SPD00001","25000","2","3","3","1","0","","","","","SEN01003","0","25000","75000","SEN01003","0","25000","75000","SEN01004","0","25000","75000","SEN01002","0","25000","75000","SEN01001","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00004","SPD00001","25000","2","3","3","1","0","","","","","SEN01004","0","25000","75000","SEN01004","0","25000","75000","SEN01001","0","25000","75000","SEN01003","0","25000","75000","SEN01002","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00005","SPD00001","25000","5","3","3","1","1","SEN01005","0","0","100000","SEN01001","0","25000","75000","SEN01001","0","25000","75000","SEN01005","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00006","SPD00001","25000","5","3","3","1","1","SEN01006","0","0","100000","SEN01002","0","25000","75000","SEN01002","0","25000","75000","SEN01006","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00007","SPD00001","25000","5","3","3","1","1","SEN01007","0","0","100000","SEN01003","0","25000","75000","SEN01003","0","25000","75000","SEN01007","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00008","SPD00001","25000","5","3","3","1","1","SEN01008","0","0","100000","SEN01004","0","25000","75000","SEN01004","0","25000","75000","SEN01008","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00009","SPD00002","25000","2","3","3","1","0","","","","","SEN02002","0","25000","75000","SEN02002","0","25000","75000","SEN02001","0","25000","75000","SEN02001","0","25000","75000","SEN02001","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00010","SPD00002","25000","2","3","3","1","0","","","","","SEN02004","0","25000","75000","SEN02004","0","25000","75000","SEN02003","0","25000","75000","SEN02003","0","25000","75000","SEN02003","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
