"no","name","attribute","possibility","icon_no","quantity","money_type","cost"
"1","脑残吼碎片","6","500","MOP10005","2","2","150"
"2","女王碎片","6","500","MOP10006","2","2","150"
"3","世界萨碎片","6","500","MOP10007","2","2","150"
"4","白虎碎片","6","500","MOP10008","2","2","150"
"5","蛋总碎片","6","500","MOP10009","2","2","150"
"6","堕落王子碎片","6","500","MOP10010","2","2","150"
"7","光法碎片","6","500","MOP10011","2","2","150"
"8","陈的碎片","6","500","MOP10012","2","2","150"
"9","瓦娘碎片","6","500","MOP10013","2","2","150"
"10","冰女碎片","6","500","MOP10014","2","2","150"
"11","大帝碎片","6","500","MOP10015","2","2","150"
"12","兽王碎片","6","500","MOP10016","2","2","150"
"13","强化石","5","500","STS00001","5","1","2000"
"14","高级强化石","5","500","STS00002","3","2","10"
"15","超级强化石","5","350","STS00003","1","2","15"
"16","小型燃烧南瓜","5","500","PUM10001","5","1","2000"
"17","大型燃烧南瓜","5","500","PUM10002","3","2","10"
"18","巨型燃烧南瓜","5","350","PUM10003","1","2","15"
"19","小型冰冷南瓜","5","500","PUM20001","5","1","2000"
"20","大型冰冷南瓜","5","500","PUM20002","3","2","10"
"21","巨型冰冷南瓜","5","350","PUM20003","1","2","15"
"22","小型雷鸣南瓜","5","500","PUM30001","5","1","2000"
"23","大型雷鸣南瓜","5","500","PUM30002","3","2","10"
"24","巨型雷鸣南瓜","5","350","PUM30003","1","2","15"
"25","小型石化南瓜","5","500","PUM40001","5","1","2000"
"26","大型石化南瓜","5","500","PUM40002","3","2","10"
"27","巨型石化南瓜","5","350","PUM40003","1","2","15"
"28","永恒生命","4","500","MTR00001","5","1","10000"
"29","永恒之水","4","500","MTR00002","5","1","10000"
"30","永恒之火","4","500","MTR00003","5","1","10000"
"31","永恒空气","4","500","MTR00004","5","1","10000"
"32","战败头盔","4","500","MTR00005","3","2","7"
"33","战败胸甲","4","500","MTR00006","3","2","7"
"34","战败魔杖","4","500","MTR00007","1","2","12"
"35","战败匕首","4","500","MTR00008","1","2","12"
"36","战败巨斧","4","500","MTR00009","1","2","12"
"37","战败强弓","4","500","MTR00010","1","2","12"
"38","战败长剑","4","500","MTR00011","1","2","12"
"39","荷鲁斯之眼卷轴","3","500","MTR10237","1","2","30"
"40","赛特圣甲虫卷轴","3","500","MTR10234","1","2","30"
"41","尼伯龙根卷轴","3","500","MTR10242","1","2","30"
"42","炎魔之锤卷轴","3","500","MTR10248","1","2","20"
"43","守护传说杖卷轴","3","500","MTR10251","1","2","20"
"44","橙斧卷轴","3","500","MTR10255","1","2","20"
"45","强效神秘精华","3","500","MTR10110","1","2","20"
"46","圣光凝聚核心","3","500","MTR10117","1","2","20"
"47","雷霆之怒卷轴","3","500","MTR10250","1","2","20"
"48","龙之父卷轴","3","500","MTR10254","1","2","20"
"49","救赎之手碎片","2","500","MTR10120","1","2","20"
"50","太阳披风","2","500","MTR10114","1","2","20"
"51","熔火核心","2","500","MTR10268","1","2","20"
"52","背叛者的断角","2","500","MTR10138","1","2","20"
"53","散落的念珠","2","500","MTR10132","1","2","20"
"54","誓约胜利剑卷轴","2","500","MTR10245","1","2","20"
"55","群星之怒卷轴","2","500","MTR10252","1","2","20"
"56","蛋刀卷轴","2","500","MTR10253","1","2","20"
"57","美杜莎之盾卷轴","2","500","MTR10246","1","2","20"
"58","乃锤卷轴","2","500","MTR10249","1","2","20"
"59","燃铁矿石","1","350","MTR10063","1","1","30000"
"60","急性鞋卷轴","1","350","MTR10233","1","1","30000"
"61","至尊二戒卷轴","1","500","MTR10219","1","1","20000"
"62","粉碎之力卷轴","1","500","MTR10222","1","1","18000"
"63","白虎之怒卷轴","1","500","MTR10208","1","1","20000"
"64","玄武之韧卷轴","1","500","MTR10211","1","1","20000"
"65","部落徽记","1","500","MTR10131","1","1","18000"
"66","朱雀之仁卷轴","1","500","MTR10212","1","1","20000"
"67","救赎卷轴","1","500","MTR10220","1","1","18000"
"68","青龙之息卷轴","1","500","MTR10210","1","1","20000"
"69","普罗米修斯碎片","6","500","MOP10021","2","2","180"
"70","潘多拉碎片","6","500","MOP10025","2","2","180"
"71","阿瑞斯碎片","6","500","MOP10027","2","2","180"
"72","美杜莎碎片","6","500","MOP10023","2","2","180"
