"id","no","quantity","relative_odds","absolute_odds","total_abs_odds"
"1","PUM10002","10","1000","2.08116545265349E-02","2.08116545265349E-02"
"2","PUM10003","5","750","1.56087408949011E-02",".036420395421436"
"3","PUM20002","10","1000","2.08116545265349E-02","5.72320499479709E-02"
"4","PUM20003","5","750","1.56087408949011E-02",".072840790842872"
"5","PUM30002","10","1000","2.08116545265349E-02","9.36524453694069E-02"
"6","PUM30003","5","500","1.04058272632674E-02",".104058272632674"
"7","PUM40002","10","1000","2.08116545265349E-02",".124869927159209"
"8","PUM40003","5","750","1.56087408949011E-02",".14047866805411"
"9","STS00002","10","2000","4.16233090530697E-02",".18210197710718"
"10","STS00003","5","1500","3.12174817898023E-02",".213319458896982"
"11","MTR00012","8","1000","2.08116545265349E-02",".234131113423517"
"12","MTR00013","4","1000","2.08116545265349E-02",".254942767950052"
"13","MTR00014","1","1000","2.08116545265349E-02",".275754422476587"
"14","MOP10001","3","1600","3.32986472424558E-02",".309053069719043"
"15","MOP10002","3","1600","3.32986472424558E-02",".342351716961498"
"16","MOP10003","3","1600","3.32986472424558E-02",".375650364203954"
"17","MOP10004","3","1600","3.32986472424558E-02",".40894901144641"
"18","MOP10005","2","1600","3.32986472424558E-02",".442247658688866"
"19","MOP10006","3","1600","3.32986472424558E-02",".475546305931322"
"20","MOP10007","3","1600","3.32986472424558E-02",".508844953173777"
"21","MOP10008","3","1600","3.32986472424558E-02",".542143600416233"
"22","MOP10009","3","1600","3.32986472424558E-02",".575442247658689"
"23","MOP10010","3","1600","3.32986472424558E-02",".608740894901145"
"24","MOP10011","3","1600","3.32986472424558E-02",".6420395421436"
"25","MOP10012","3","1600","3.32986472424558E-02",".675338189386056"
"26","MOP10013","3","1600","3.32986472424558E-02",".708636836628512"
"27","MOP10014","3","1600","3.32986472424558E-02",".741935483870968"
"28","MOP10015","3","1600","3.32986472424558E-02",".775234131113424"
"29","MOP10016","3","1600","3.32986472424558E-02",".808532778355879"
"30","MOP10021","3","800","1.66493236212279E-02",".825182101977107"
"31","MOP10023","3","800","1.66493236212279E-02",".841831425598335"
"32","MOP10025","3","800","1.66493236212279E-02",".858480749219563"
"33","MOP10027","3","800","1.66493236212279E-02",".875130072840791"
"34","MON10054","1","300","6.24349635796046E-03",".881373569198751"
"35","MON20054","1","300","6.24349635796046E-03",".887617065556712"
"36","MON30054","1","300","6.24349635796046E-03",".893860561914672"
"37","MON40054","1","300","6.24349635796046E-03",".900104058272633"
"38","MON10057","1","300","6.24349635796046E-03",".906347554630593"
"39","MON20057","1","300","6.24349635796046E-03",".912591050988554"
"40","MON30057","1","300","6.24349635796046E-03",".918834547346514"
"41","MON40057","1","300","6.24349635796046E-03",".925078043704475"
"42","MON10060","1","300","6.24349635796046E-03",".931321540062435"
"43","MON20060","1","300","6.24349635796046E-03",".937565036420395"
"44","MON30067","1","300","6.24349635796046E-03",".943808532778356"
"45","MON40064","1","300","6.24349635796046E-03",".950052029136316"
"46","MON10065","1","300","6.24349635796046E-03",".956295525494277"
"47","MON20065","1","300","6.24349635796046E-03",".962539021852237"
"48","MON30068","1","300","6.24349635796046E-03",".968782518210198"
"49","MON40065","1","300","6.24349635796046E-03",".975026014568158"
"50","MON10074","1","300","6.24349635796046E-03",".981269510926119"
"51","MON30077","1","300","6.24349635796046E-03",".987513007284079"
"52","MON40074","1","300","6.24349635796046E-03",".993756503642039"
"53","MON20075","1","300","6.24349635796046E-03","1"
