"id","no","quantity","relative_odds","absolute_odds","total_abs_odds"
"1","MON10054","1","200",".05",".05"
"2","MON20054","1","200",".05",".1"
"3","MON30054","1","200",".05",".15"
"4","MON40054","1","200",".05",".2"
"5","MON10057","1","200",".05",".25"
"6","MON20057","1","200",".05",".3"
"7","MON30057","1","200",".05",".35"
"8","MON40057","1","200",".05",".4"
"9","MON10060","1","200",".05",".45"
"10","MON20060","1","200",".05",".5"
"11","MON30067","1","200",".05",".55"
"12","MON40064","1","200",".05",".6"
"13","MON10065","1","200",".05",".65"
"14","MON20065","1","200",".05",".7"
"15","MON30068","1","200",".05",".75"
"16","MON40065","1","200",".05",".8"
"17","MON10074","1","200",".05",".85"
"18","MON30077","1","200",".05",".9"
"19","MON40074","1","200",".05",".95"
"20","MON20075","1","200",".05","1"
