"id","name","monster_id","boss","move_ai","movable_count","attack_ai","attackable_count","ai_change_type","ai_percent","ai_point","hp","parts_count","attack","defense","critical","accuracy","miss","position_restriction","x","y","attribute","drop_coin","drop_material1","material_rate1","drop_material2","material_rate2","drop_material3","material_rate3","drop_piece_id","drop_piece_number"
"NEN00001","森元素","MON40001","0","MAI00005","1","AAI00002","1","","","","280","0","180","0","0","100000","0","0","2","3","4","234","","","","","","","",""
"NEN00002","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","130","0","170","0","0","100000","0","0","1","8","1","132","MTR00001","100000","","","","","",""
"NEN00003","冰冷蝙蝠","MON20005","0","MAI00005","1","AAI00002","1","","","","200","0","160","0","0","100000","0","0","5","5","2","332","MTR00007","100000","","","","","",""
"NEN00004","阴森的奥格瑞玛步兵","MON40007","0","MAI00005","1","AAI00002","1","","","","200","0","1000","0","0","100000","0","0","1","3","4","163","","","","","","","",""
"NEN00005","雷鸣猫头鹰","MON30008","0","MAI00005","1","AAI00002","1","","","","200","0","1000","0","0","100000","0","0","3","4","3","252","","","","","","","",""
"NEN00006","龙人猎潮者","MON20015","0","MAI00005","1","AAI00002","1","","","","1100","0","1000","0","0","100000","0","0","1","6","2","421","","","","","","","",""
"NEN00007","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","200","0","1000","0","0","100000","0","0","3","7","1","213","MTR00001","100000","","","","","",""
"NEN00008","鹰身人","MON30010","0","MAI00005","1","AAI00002","1","","","","600","0","1000","0","0","100000","0","0","6","5","3","123","","","","","","","",""
"NEN00009","水元素","MON20001","0","MAI00005","1","AAI00002","1","","","","100","0","150","0","0","100000","0","0","5","4","2","342","","","","","","","",""
"NEN00010","暴躁的奥格瑞玛步兵","MON30007","0","MAI00005","1","AAI00002","1","","","","100","0","150","0","0","100000","0","0","0","4","3","123","MTR00007","100000","","","","","",""
"NEN00011","骷髅弓箭手","MON40010","0","MAI00005","1","AAI00002","1","","","","100","0","170","0","0","100000","0","0","1","6","4","235","MTR00001","100000","","","","","",""
"NEN00012","森元素","MON40001","0","MAI00005","1","AAI00002","1","","","","100","0","170","0","0","100000","0","0","3","7","1","235","","","","","","","",""
"NEN00013","强力森元素","MON40002","1","MAI00005","2","AAI00002","1","","","","6000","0","900","0","0","100000","0","0","2","4","4","745","MTR00012","100000","","","","","",""
